"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
2.025654167E-2,-6.809339905E-1,-3.772006073E0,-1.287322998E-2,1.901454176E-2,-1.797741890E0,-3.605058908E0,-1.513585597E-1
3.020254173E-2,-5.837860107E-1,-2.507136383E0,1.135987701E0,2.896054182E-2,-1.425018668E0,-3.840462685E0,-3.300947547E-1
4.014754179E-2,-9.226812744E-1,-1.810036011E0,1.822609863E0,3.890554188E-2,-8.384685516E-1,-3.465967894E0,-3.987164795E-1
5.009254185E-2,-1.229692841E0,-1.117126923E0,1.522783356E0,4.885154171E-2,-2.629283369E-1,-2.761775970E0,-4.154270291E-1
6.003854168E-2,-1.300046539E0,-1.125509491E0,4.117936707E-1,5.879654177E-2,1.957021356E-1,-1.955761194E0,-3.171866834E-1
6.998354173E-2,-8.409512329E-1,-1.392853546E0,-1.272354126E0,6.874154182E-2,3.745771050E-1,-1.409608603E0,-2.840787768E-1
7.992954180E-2,-6.951544189E-1,-1.746268616E0,-2.430196381E0,7.868754189E-2,3.590849638E-1,-1.245745301E0,-2.690463960E-1
8.987454185E-2,-9.370513916E-1,-2.664010162E0,-2.316283264E0,8.863254171E-2,2.597368062E-1,-1.235356331E0,-2.846722305E-1
9.981954168E-2,-9.195378113E-1,-3.861519928E0,-2.393522644E0,9.857854177E-2,1.772040874E-1,-1.286972642E0,-2.385696024E-1
1.097655417E-1,-7.045848083E-1,-5.249733124E0,-2.351759491E0,1.085235418E-1,1.356537193E-1,-1.202600479E0,-1.954956353E-1
1.197105418E-1,-1.293310547E-1,-5.814808044E0,-2.276466064E0,1.184685419E-1,1.280620843E-1,-1.002892017E0,-2.462828457E-1
1.296565419E-1,1.297801208E-1,-6.743327179E0,-1.903142395E0,1.284145417E-1,2.309956551E-1,-7.045918703E-1,-2.334243059E-1
1.396015417E-1,2.553689575E-1,-7.679630127E0,-2.510130157E0,1.383595418E-1,3.514579535E-1,-5.978757143E-1,-2.290446460E-1
1.495465417E-1,2.995271301E-1,-9.176367645E0,-4.279899902E0,1.483055418E-1,2.820144296E-1,-8.937219977E-1,-1.821258813E-1
1.594925418E-1,6.999444580E-1,-9.718689880E0,-4.095184021E0,1.582505419E-1,1.802697480E-1,-1.086884499E0,-1.849846840E-1
1.694375419E-1,1.345252533E0,-9.643845520E0,-3.803141327E0,1.681955417E-1,1.607226729E-1,-1.061586261E0,-3.130680621E-1
