"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.479458392E-3,-3.706897327E0,-1.656592208E-1,3.808638879E0
1.346245850E-2,-2.956419477E0,-4.285149533E-1,3.690432737E0
2.344545838E-2,-2.056127337E0,-8.292509544E-1,3.388013574E0
3.342845850E-2,-1.170297555E0,-1.127853640E0,2.953061421E0
4.341045837E-2,-3.269184119E-1,-1.180317782E0,2.489207650E0
5.339345848E-2,4.760574943E-1,-1.046867364E0,2.000806099E0
6.337645836E-2,1.181768915E0,-6.547554213E-1,1.563972312E0
7.335945847E-2,1.722265211E0,-1.585133386E-1,1.080372494E0
8.334245835E-2,1.965690353E0,6.339258850E-2,3.952916586E-1
9.332445846E-2,2.228028899E0,5.038142270E-1,-5.097567523E-1
1.033074583E-1,2.632117109E0,1.535950116E0,-1.383558812E0
1.132904585E-1,2.671294916E0,2.177100821E0,-2.192898243E0
1.232734583E-1,2.567280843E0,2.556578684E0,-2.793399104E0
1.332554584E-1,2.506009332E0,2.754096460E0,-2.906435723E0
1.432384583E-1,1.939693486E0,2.225052667E0,-2.626451742E0
1.532214584E-1,1.034615839E0,1.725165430E0,-2.035146212E0
1.632044583E-1,4.542042201E-1,1.231580322E0,-1.392953534E0
1.731864584E-1,4.625072298E-1,9.376793826E-1,-7.691725677E-1
1.831694585E-1,6.358731540E-1,7.476179767E-1,-1.934248705E-1
1.931524584E-1,7.474992051E-1,5.598182738E-1,9.017093584E-2
2.031354585E-1,1.060604374E0,4.652009690E-1,3.512486762E-1
2.131184584E-1,1.457768603E0,5.011367869E-1,6.070385601E-1
2.231004585E-1,1.772821407E0,6.021819359E-1,7.447668743E-1
2.330834584E-1,1.907983597E0,7.110477358E-1,6.607020396E-1
2.430664585E-1,1.954604763E0,7.845636088E-1,2.749243855E-1
2.530494584E-1,1.876986630E0,8.545840162E-1,-2.719677410E-1
2.630314585E-1,1.696648705E0,7.751899374E-1,-8.030317470E-1
2.730144584E-1,1.291102931E0,2.912281770E-1,-1.285471185E0
2.829974585E-1,9.556593514E-1,-6.101399964E-1,-1.744307021E0
2.929804584E-1,1.246362083E0,-1.454430574E0,-2.128363109E0
3.029624585E-1,2.145971560E0,-1.796439480E0,-2.404141041E0
3.129454583E-1,3.323837458E0,-1.518363445E0,-2.551415593E0
3.229284585E-1,4.418383604E0,-8.658404911E-1,-2.496717814E0
3.329114583E-1,5.189788054E0,-3.284059435E-1,-2.366632761E0
3.428944584E-1,5.668500769E0,-3.571830153E-2,-2.275946978E0
3.528764583E-1,5.812185568E0,1.216337800E-2,-2.004939496E0
3.628594584E-1,5.656032751E0,-1.824588561E-1,-1.411355598E0
3.728424583E-1,5.382880656E0,-7.165634143E-1,-5.803788382E-1
3.828254584E-1,5.399750458E0,-1.672117150E0,2.429459631E-1
3.928074585E-1,5.557350461E0,-2.665056814E0,9.610547966E-1
4.027904584E-1,5.208593869E0,-3.021605406E0,1.864526652E0
4.127734585E-1,4.554305932E0,-2.776626366E0,2.695772530E0
4.227564584E-1,3.759445669E0,-2.447281360E0,2.692805653E0
4.327384585E-1,3.066986817E0,-2.534967375E0,1.836379471E0
4.427214584E-1,2.507807351E0,-2.945140783E0,5.180779248E-1
4.527044585E-1,1.804693702E0,-3.255637289E0,-6.991644394E-1
4.626874584E-1,9.345369427E-1,-3.316766421E0,-1.981589810E0
4.726694585E-1,-1.564628114E-1,-2.850520554E0,-3.207888342E0
4.826524584E-1,-1.258230030E0,-2.170345532E0,-4.118677549E0
4.926354585E-1,-1.851782645E0,-1.820477968E0,-4.498252476E0
5.026184584E-1,-1.891701294E0,-1.768517271E0,-4.005936799E0
5.126014585E-1,-1.936305171E0,-2.008554829E0,-2.928149943E0
5.225834583E-1,-1.936647087E0,-2.470887739E0,-1.788247531E0
5.325664585E-1,-1.760452499E0,-3.032684126E0,-2.746402109E-1
5.425494583E-1,-1.843765236E0,-3.620595932E0,9.867679274E-1
5.525324584E-1,-2.914422143E0,-3.987360195E0,1.997545692E0
5.625144583E-1,-3.725980592E0,-3.801712267E0,2.981836739E0
5.724974584E-1,-4.202047150E0,-3.553760503E0,3.709937879E0
5.824804583E-1,-4.839997673E0,-3.431410439E0,4.148131728E0
5.924634584E-1,-5.375904928E0,-3.181061316E0,4.233361913E0
6.024464583E-1,-5.804204704E0,-2.938687211E0,3.666390156E0
6.124284584E-1,-6.222175373E0,-2.621261753E0,2.370518528E0
6.224114585E-1,-6.258535114E0,-1.986538308E0,1.197604491E0
6.323944584E-1,-6.005806759E0,-1.204926374E0,5.174423325E-1
6.423774585E-1,-5.468113765E0,-3.167536122E-1,7.179012573E-1
6.523600833E-1,-4.297489789E0,6.214216143E-1,1.628964114E0
6.623430834E-1,-1.919149148E0,1.329171520E0,1.677604762E0
6.723260835E-1,3.134967130E-1,1.919719836E0,1.381861950E0
6.823090834E-1,1.465031869E0,2.157989196E0,6.961157012E-1
6.922910835E-1,1.781771740E0,2.119265426E0,-4.181928635E-3
7.022740834E-1,1.601856715E0,1.978638720E0,-2.631784987E-1
7.122570835E-1,9.104939228E-1,1.924308146E0,-1.528111339E-1
7.222400834E-1,1.365263459E-1,2.104546230E0,-8.860516112E-2
7.322230835E-1,-3.330784535E-1,2.372696031E0,1.468083823E-1
7.422050834E-1,-5.273577484E-1,2.844847586E0,4.721158862E-1
7.521880835E-1,-8.198875156E-1,3.329871785E0,7.966317502E-1
7.621710834E-1,-1.120863586E0,3.699631577E0,1.085147331E0
7.721540835E-1,-1.404578383E0,4.021154178E0,1.314892620E0
7.821360833E-1,-1.650096536E0,4.348334545E0,1.488951366E0
7.921190835E-1,-1.917851651E0,4.668610520E0,1.613764862E0
8.021020833E-1,-2.173123252E0,4.870057039E0,1.700810022E0
8.120850835E-1,-2.395306045E0,5.060535352E0,1.621639892E0
8.220670833E-1,-2.770926501E0,5.143992076E0,1.528519474E0
8.320500834E-1,-3.467925716E0,5.049297588E0,1.582124408E0
8.420330833E-1,-4.119556678E0,4.745839375E0,1.612205994E0
8.520160834E-1,-4.186541503E0,4.545492716E0,1.268696108E0
8.619990833E-1,-3.363008249E0,4.321154348E0,1.027671540E-1
8.719810834E-1,-2.512953193E0,3.764908723E0,-8.586952666E-1
8.819640835E-1,-1.269475249E0,2.884854820E0,-1.570275611E0
8.919470834E-1,9.732971120E-1,1.484805690E0,-2.410086637E0
9.019300835E-1,3.650771365E0,-1.164744308E0,-3.056123275E0
9.119120834E-1,6.887139448E0,-4.968385572E0,-1.315748652E0
9.218950835E-1,9.167750019E0,-8.067466001E0,4.435990886E-1
9.318780834E-1,9.395677409E0,-9.942607834E0,-1.712106843E0
9.418610835E-1,9.257178504E0,-9.697995999E0,-4.734994544E0
9.518430834E-1,8.129910756E0,-6.317268056E0,-6.431306888E0
9.618260835E-1,5.180000399E0,-2.219169783E0,-5.819119781E0
9.718090834E-1,2.373631001E0,3.056263608E-1,-3.635050249E0
9.817920835E-1,3.393645027E-1,1.488035692E0,-2.398286371E0
9.917750834E-1,-5.272302791E-1,1.015222818E0,-2.720848607E0
1.001757083E0,-1.678209364E-1,-2.272021011E0,-4.037631047E-1
1.011740083E0,2.012256702E0,-5.967180637E0,2.504194064E0
1.021723083E0,3.382610454E0,-8.189976863E0,3.140048361E0
1.031706083E0,1.429800932E0,-8.390866728E0,2.708015138E0
1.041688083E0,-1.490761079E0,-6.581527120E0,1.493244392E0
1.051671083E0,-4.245289941E0,-4.117494072E0,-6.209034048E-2
1.061654083E0,-6.235153268E0,-1.721100445E0,9.380291922E-1
1.071637083E0,-7.096463336E0,1.154082495E-1,2.630044856E0
1.081620083E0,-7.312020941E0,1.235164665E0,3.284206785E0
1.091602084E0,-7.347481381E0,1.912347667E0,3.062874470E0
1.101585083E0,-7.180936307E0,2.253522760E0,2.905938710E0
1.111568084E0,-6.827110763E0,2.085900629E0,3.136026646E0
1.121551083E0,-6.690324508E0,1.494159481E0,3.496923813E0
1.131533084E0,-6.539619541E0,7.217732835E-1,3.707996603E0
1.141516083E0,-6.160020640E0,8.806140661E-2,3.671353272E0
1.151499083E0,-5.375978603E0,-4.348854947E-1,3.689973146E0
1.161482083E0,-4.185830189E0,-7.138947451E-1,3.635053757E0
1.171465083E0,-3.176728529E0,-7.519221121E-1,3.603843659E0
1.181447083E0,-2.444215373E0,-7.934198016E-1,3.511435432E0
1.191430083E0,-1.689107843E0,-9.553596085E-1,3.320760069E0
1.201413083E0,-9.013672963E-1,-1.001457887E0,3.001891519E0
1.211396083E0,-1.079654749E-1,-9.819568384E-1,2.458433754E0
1.221378083E0,7.346275100E-1,-9.320485139E-1,1.886780716E0
1.231361083E0,1.508753546E0,-7.157220000E-1,1.356138879E0
1.241344083E0,2.138460958E0,-3.310371906E-1,8.433848441E-1
1.251327083E0,2.600685986E0,1.866267514E-1,4.129432333E-1
1.261310083E0,2.962951109E0,7.184783775E-1,-3.354721209E-2
1.271292083E0,3.206145287E0,1.259660990E0,-6.473358893E-1
1.281275083E0,3.105429043E0,1.732804232E0,-1.314553481E0
1.291258083E0,2.618547476E0,2.016451494E0,-1.850159605E0
1.301241083E0,1.909284310E0,2.133912701E0,-2.103524721E0
1.311223083E0,1.176883055E0,2.084563370E0,-2.119779396E0
1.321206084E0,4.428504988E-1,1.857915351E0,-1.947170175E0
1.331189083E0,-1.879770197E-2,1.407368090E0,-1.540544273E0
1.341172084E0,-2.729999207E-1,1.001557875E0,-9.413314804E-1
1.351155083E0,-3.867047301E-1,7.026914799E-1,-2.811966938E-1
1.361137083E0,-3.621765375E-1,5.350640863E-1,3.834761900E-1
1.371120083E0,-1.978814721E-1,4.035853493E-1,9.691731439E-1
1.381103083E0,7.470494080E-2,2.229490703E-1,1.276250710E0
1.391086083E0,4.663897445E-1,2.380407339E-1,1.371828128E0
1.401069083E0,7.882548098E-1,5.367515928E-1,1.145949603E0
1.411051083E0,9.826899330E-1,9.183771390E-1,8.031904989E-1
1.421034083E0,1.119454114E0,1.151181107E0,4.351677690E-1
1.431017083E0,1.319006136E0,1.175118438E0,5.319212079E-3
1.441000083E0,1.563790025E0,1.099964760E0,-6.323933297E-1
1.450982083E0,1.897855050E0,7.037697065E-1,-1.556812250E0
1.460965083E0,1.914383082E0,1.071853101E-2,-2.596725667E0
1.470948083E0,1.796417992E0,-7.836590445E-1,-3.519735555E0
1.480931083E0,1.956107059E0,-1.491169215E0,-3.980580933E0
1.490914083E0,2.434051596E0,-1.593668566E0,-3.739580339E0
1.500896083E0,3.230585771E0,-1.108459010E0,-2.998349276E0
1.510879083E0,4.063519594E0,-3.937362993E-1,-2.074867517E0
1.520862083E0,4.721506771E0,2.430167145E-1,-1.269841724E0
1.530845083E0,5.246148781E0,5.656105256E-1,-7.235299332E-1
1.540827083E0,5.647058444E0,5.868610615E-1,-3.751561868E-1
1.550810084E0,5.933342215E0,4.005284250E-1,-1.046417713E-2
1.560793083E0,6.182606095E0,7.281771541E-2,4.217275053E-1
1.570776084E0,6.369741554E0,-5.531313980E-1,1.062930981E0
1.580759083E0,6.551409867E0,-1.549144943E0,1.764955148E0
1.590741083E0,6.442295560E0,-2.372086751E0,2.542420821E0
1.600724083E0,5.830887887E0,-2.774780985E0,3.245240355E0
1.610707083E0,4.848976950E0,-2.694634954E0,3.427049001E0
1.620690083E0,4.120123565E0,-2.449244270E0,2.690227323E0
1.630673083E0,3.585880136E0,-2.488010141E0,1.024293311E0
1.640655083E0,2.905600449E0,-2.663888540E0,-7.018699461E-1
1.650637958E0,1.941127808E0,-2.858004405E0,-2.241913405E0
1.660620958E0,1.019942471E0,-3.133545672E0,-3.686877630E0
1.670603958E0,8.281195913E-2,-3.253157485E0,-4.920230827E0
1.680585958E0,-9.847401861E-1,-2.919722936E0,-5.384267616E0
1.690568958E0,-1.748030382E0,-2.319329664E0,-4.967112048E0
1.700551959E0,-1.853929451E0,-1.771691725E0,-4.106375007E0
1.710534958E0,-1.576041696E0,-1.425201513E0,-2.787258359E0
1.720517959E0,-1.325792268E0,-1.327923140E0,-1.171767472E0
1.730499958E0,-1.465324668E0,-1.762174212E0,1.249316096E-1
1.740482958E0,-1.823236831E0,-2.534294361E0,1.090230900E0
1.750465958E0,-2.163548436E0,-3.004581238E0,2.035466639E0
1.760448958E0,-2.428574071E0,-3.242824286E0,2.722263633E0
1.770431958E0,-3.078611081E0,-3.343712729E0,3.337716994E0
1.780413958E0,-3.854880999E0,-3.424457515E0,3.840216182E0
1.790396958E0,-4.312238221E0,-3.490659690E0,4.019011173E0
1.800379958E0,-4.842075189E0,-3.573900068E0,3.842127053E0
1.810362958E0,-5.575191486E0,-3.661453936E0,3.173577465E0
1.820345958E0,-6.176638427E0,-3.385189953E0,2.050636071E0
1.830327958E0,-6.441623715E0,-2.493345725E0,1.098344496E0
1.840310958E0,-5.977126751E0,-1.318213838E0,7.345295691E-1
1.850293958E0,-5.085663176E0,-1.909764951E-1,1.407187411E0
1.860276958E0,-3.047531084E0,8.149662066E-1,1.913074476E0
1.870258958E0,-4.394629875E-1,1.772202187E0,1.700066257E0
1.880241958E0,1.408725813E0,2.384139032E0,1.430357587E0
1.890224958E0,2.309072770E0,2.793699651E0,6.009686387E-1
1.900207958E0,2.399113167E0,2.944624473E0,-8.778549112E-2
1.910190958E0,1.663438713E0,2.837264916E0,-3.732044593E-1
1.920172958E0,6.651099631E-1,2.591805235E0,-3.220003188E-1
1.930155959E0,-8.604557902E-2,2.542976307E0,-1.278482008E-1
1.940138958E0,-2.418539956E-1,2.818343911E0,2.316830564E-1
1.950121959E0,-2.717268357E-1,3.275262299E0,7.300296251E-1
1.960103958E0,-6.406329337E-1,3.667560768E0,1.243202248E0
1.970086958E0,-1.049613801E0,3.819059202E0,1.677092546E0
1.980069958E0,-1.076630276E0,3.887748199E0,1.844083178E0
1.990052958E0,-1.107001884E0,3.782867861E0,1.998668357E0
2.000035958E0,-1.472883217E0,3.631440763E0,2.169131066E0
2.010017958E0,-1.960673150E0,3.585340730E0,2.435303339E0
2.020000958E0,-2.548132674E0,3.683407307E0,2.512104177E0
2.029983958E0,-3.286492754E0,3.842256861E0,2.409595470E0
2.039966958E0,-4.200649665E0,3.737827928E0,2.411649013E0
2.049948958E0,-4.620317196E0,3.371224464E0,9.923076526E-1
2.059931958E0,-4.692130360E0,2.906502966E0,-2.131660938E-1
2.069914958E0,-4.344669802E0,2.834873990E0,-8.357905535E-1
2.079897958E0,-3.434867605E0,2.796251961E0,-1.392581066E0
2.089880958E0,-1.932723167E0,2.402167752E0,-2.102572210E0
2.099862958E0,-1.154310536E-1,1.222018955E0,-3.055069606E0
2.109845958E0,1.800673449E0,-9.718534344E-1,-3.991524582E0
2.119828958E0,4.349049367E0,-4.283194224E0,-3.412895815E0
2.129811958E0,6.822027193E0,-7.137285672E0,-2.008152541E0
2.139793959E0,8.009835259E0,-8.330105386E0,-2.487471027E0
2.149776958E0,8.118059034E0,-8.285951307E0,-4.443472252E0
2.159759959E0,6.719413236E0,-5.962178929E0,-5.748414080E0
2.169742958E0,4.166636704E0,-2.613879059E0,-5.015527579E0
2.179725959E0,2.515910130E0,-6.769380033E-2,-2.988344690E0
2.189707958E0,1.562895547E0,1.193168793E0,-1.807917565E0
2.199690958E0,1.339529278E0,5.324737698E-1,-1.588882036E0
2.209673958E0,1.769544919E0,-2.315278128E0,-5.211061978E-1
2.219656958E0,2.860457605E0,-5.633827364E0,7.794244909E-1
2.229638958E0,2.789047314E0,-8.135589572E0,1.737301326E0
2.239621958E0,3.661242852E-1,-9.143925539E0,1.835787148E0
2.249604958E0,-2.099864657E0,-7.867332766E0,1.023912950E0
2.259587958E0,-4.046823162E0,-4.832701517E0,5.875153649E-1
2.269570958E0,-6.026370832E0,-1.934149595E0,9.536060286E-1
2.279552958E0,-7.173292826E0,2.249189973E-2,2.387923350E0
