"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.075666863E-3,2.598147125E0,-7.885601807E0,2.470762024E0
8.906333242E-3,4.651277618E0,-6.000871124E0,1.805395660E0
1.888933335E-2,6.880891113E0,-4.240082703E0,8.231382751E-1
2.887233323E-2,9.158554688E0,-2.696941681E0,-4.999603271E-2
3.885533335E-2,1.019499939E1,-2.044149170E0,-6.379733276E-1
4.883833323E-2,1.010847931E1,-1.810185699E0,-1.137634277E-2
5.882033333E-2,9.360634460E0,-1.720971222E0,7.969427490E-1
6.880333321E-2,8.268505554E0,-2.024839325E0,1.227597198E0
7.878633332E-2,6.679709473E0,-2.778072968E0,1.172362061E0
8.876933320E-2,5.502856750E0,-3.339255981E0,1.090182953E0
9.875133331E-2,4.748724976E0,-3.707789612E0,1.247056732E0
1.087343332E-1,4.132606201E0,-3.888164520E0,1.427880707E0
1.187173333E-1,3.549418945E0,-3.769311676E0,1.581012268E0
1.287003332E-1,2.897674255E0,-3.527414703E0,1.838626556E0
1.386833333E-1,2.131717072E0,-3.414848785E0,1.964814148E0
1.486653332E-1,1.354832611E0,-3.487148438E0,1.873204651E0
1.586483333E-1,8.475375366E-1,-3.731141052E0,1.580563202E0
1.686313332E-1,6.418652344E-1,-3.992048492E0,1.007704468E0
1.786143333E-1,5.243595886E-1,-4.338428192E0,3.722758484E-1
1.885973332E-1,4.861889648E-1,-4.718787231E0,-2.363584900E-1
1.985793333E-1,7.164102173E-1,-5.019811249E0,-1.400188293E0
2.085623331E-1,1.915865936E0,-5.226531372E0,-3.313958588E0
2.185453332E-1,4.310286713E0,-5.662724304E0,-5.213508453E0
2.285283334E-1,8.154293060E0,-7.095095673E0,-6.826105042E0
2.385103332E-1,1.481184860E1,-9.293573914E0,-7.195237427E0
2.484933333E-1,2.233789810E1,-1.101454514E1,-2.357297974E0
2.584763332E-1,2.420047485E1,-1.121916962E1,5.364843750E-1
2.684593333E-1,2.197445389E1,-9.573491821E0,-2.875220947E0
2.784423332E-1,1.794453415E1,-6.168073425E0,-6.245312805E0
2.884243333E-1,1.282562897E1,-3.081342316E0,-6.173911285E0
2.984073332E-1,9.427695007E0,-1.913919983E0,-4.310137024E0
3.083903333E-1,7.167545013E0,-1.895208893E0,-2.260599060E0
3.183733332E-1,5.724246368E0,-2.477048950E0,-4.113446045E-1
3.283563333E-1,4.965623932E0,-3.524420929E0,1.291065216E0
3.383383332E-1,5.164560242E0,-4.793032837E0,1.513502655E0
3.483213333E-1,6.206393738E0,-6.898554382E0,2.543660431E0
3.583043332E-1,7.576943665E0,-9.174421692E0,4.004772034E0
3.682873333E-1,9.509125671E0,-1.141930344E1,4.528981934E0
3.782693332E-1,1.082908081E1,-1.389261017E1,3.172053680E0
3.882523333E-1,1.106139771E1,-1.569366486E1,-7.220983887E-1
3.982353332E-1,1.026520340E1,-1.565818863E1,-2.532433777E0
4.082183333E-1,7.879913635E0,-1.370100861E1,-5.010081482E-1
4.182013331E-1,5.253475342E0,-1.108953918E1,1.928888855E0
4.281833332E-1,3.447031860E0,-8.890162811E0,2.625989227E0
4.381663334E-1,2.642305298E0,-7.499554596E0,2.439776459E0
4.481493332E-1,2.555485840E0,-6.717880096E0,2.072889404E0
4.581323334E-1,2.486629028E0,-6.655459900E0,2.167043610E0
4.681143332E-1,2.165247345E0,-7.131619720E0,3.036286011E0
4.780973333E-1,2.116299133E0,-7.420668640E0,3.152145081E0
4.880803332E-1,2.141147461E0,-7.304809570E0,3.013533325E0
4.980633333E-1,2.238145752E0,-6.871011658E0,2.851420441E0
5.080463332E-1,2.461780701E0,-6.521039429E0,2.807861023E0
5.180283333E-1,2.907404022E0,-6.398144989E0,2.842738495E0
5.280113332E-1,3.614383850E0,-6.561455383E0,2.922971649E0
5.379943333E-1,4.589905243E0,-6.946454773E0,3.055895233E0
5.479773332E-1,5.454507294E0,-7.247628479E0,3.049009552E0
5.579603333E-1,6.222709808E0,-7.473808136E0,2.857258301E0
5.679423332E-1,6.972949677E0,-7.694000244E0,2.741698608E0
5.779253333E-1,7.541916504E0,-7.825277252E0,2.777324524E0
5.879083332E-1,8.032446442E0,-7.736362152E0,2.744842072E0
5.978913333E-1,8.260572052E0,-7.466024323E0,2.530188446E0
6.078733332E-1,8.173303528E0,-7.031627655E0,2.353705444E0
6.178563333E-1,7.986941071E0,-6.677015076E0,2.145189056E0
6.278393331E-1,7.756570129E0,-6.365213470E0,1.766027527E0
6.378223333E-1,7.809260559E0,-6.074817352E0,8.867559814E-1
6.478053331E-1,7.575596466E0,-5.817053375E0,2.070195007E-1
6.577873332E-1,6.785539398E0,-5.757626953E0,-5.528004456E-1
6.677703334E-1,5.697452087E0,-6.072721710E0,-1.615740051E0
6.777533332E-1,4.408332825E0,-6.517895966E0,-2.788551178E0
6.877363333E-1,3.910617828E0,-6.657555542E0,-2.409389648E0
6.977193332E-1,4.233795776E0,-6.642436981E0,-1.349743195E0
7.077013333E-1,4.405189362E0,-6.640790405E0,-4.782554626E-1
7.176843332E-1,4.500840454E0,-6.656956787E0,3.565585327E-1
7.276673333E-1,4.904850311E0,-6.794221344E0,1.068478088E0
7.376503332E-1,5.417384491E0,-6.919810181E0,1.772015076E0
7.476333333E-1,5.928272095E0,-7.028184814E0,2.400108948E0
7.576163332E-1,6.468798065E0,-7.347470856E0,2.728675690E0
7.675983333E-1,6.793173523E0,-7.819140015E0,2.668051758E0
7.775813332E-1,6.970704346E0,-8.317902832E0,2.448308716E0
7.875643333E-1,6.909481659E0,-8.598718872E0,2.259700928E0
7.975473332E-1,6.597230988E0,-8.544381866E0,2.135758667E0
8.075293333E-1,6.184688873E0,-8.235723724E0,1.993404694E0
8.175123332E-1,5.950426025E0,-7.777825928E0,1.802551575E0
8.274953333E-1,6.095175018E0,-7.250771942E0,1.676962738E0
8.374783332E-1,6.497837677E0,-6.767576752E0,1.827399902E0
8.474613333E-1,6.919211426E0,-6.424041138E0,2.272873535E0
8.574443331E-1,7.339237976E0,-6.159990234E0,2.830314331E0
8.674263333E-1,7.796237640E0,-5.949228516E0,3.293600922E0
8.774093334E-1,8.474776611E0,-5.788163452E0,3.710184631E0
8.873927083E-1,9.352700958E0,-5.701044617E0,3.854484558E0
8.973757082E-1,1.009635452E1,-5.850134583E0,3.957769775E0
9.073587083E-1,1.042656784E1,-6.092630310E0,4.115841064E0
9.173407082E-1,1.072654404E1,-6.557713165E0,4.120930481E0
9.273237083E-1,1.117261642E1,-7.294930115E0,3.849395142E0
9.373067082E-1,1.115510284E1,-7.879913635E0,3.137774963E0
9.472897083E-1,1.011072464E1,-8.126900024E0,2.098336487E0
9.572727082E-1,8.748557281E0,-8.502618713E0,8.205935669E-1
9.672547083E-1,8.221353607E0,-9.061706085E0,-8.547225952E-2
9.772377082E-1,8.041427765E0,-9.626930695E0,-4.920268250E-1
9.872207083E-1,7.744445343E0,-1.003363495E1,-5.553451538E-1
9.972037082E-1,7.250622253E0,-1.015383499E1,-4.870870972E-1
1.007186708E0,6.689888306E0,-1.009635452E1,-4.540058899E-1
1.017169708E0,6.269412689E0,-9.983788605E0,-6.487509155E-1
1.027151708E0,5.989345093E0,-9.862989807E0,-4.237687683E-1
1.037134708E0,5.764063568E0,-9.790690155E0,2.888992310E-2
1.047117708E0,5.885760498E0,-1.000714005E1,4.945715332E-1
1.057100708E0,6.111191711E0,-1.056098831E1,1.004261627E0
1.067083708E0,5.789959717E0,-1.118923187E1,2.175426178E0
1.077065708E0,5.406008148E0,-1.175355835E1,2.583327942E0
1.087048708E0,5.548661499E0,-1.245185623E1,2.398312683E0
1.097031708E0,5.873935089E0,-1.309252396E1,2.188748474E0
1.107014708E0,5.610932007E0,-1.360760284E1,1.917811890E0
1.116997708E0,4.973707123E0,-1.413585434E1,1.549128571E0
1.126979708E0,4.278403015E0,-1.449795135E1,1.306632843E0
1.136962708E0,3.290906525E0,-1.471380249E1,1.272204437E0
1.146945708E0,2.282603302E0,-1.443538147E1,1.877845001E0
1.156928708E0,1.658251648E0,-1.308444077E1,3.171454926E0
1.166911708E0,1.649120636E0,-1.110735214E1,3.377276917E0
1.176893708E0,2.273921356E0,-9.291777649E0,2.708767090E0
1.186876708E0,3.550616455E0,-7.797285461E0,1.667532349E0
1.196859708E0,5.077591095E0,-6.346951447E0,6.741979980E-1
1.206842708E0,6.536756744E0,-4.640949097E0,2.844085693E-3
1.216825708E0,7.608228607E0,-3.338956604E0,-4.694238281E-1
1.226808708E0,7.994575195E0,-2.778971100E0,-4.331991577E-1
1.236790708E0,8.195906525E0,-2.578088837E0,3.616479492E-1
1.246773708E0,8.156837769E0,-2.409539337E0,8.634045410E-1
1.256756708E0,7.840844879E0,-2.351460114E0,1.169967041E0
1.266739708E0,7.454049225E0,-2.429897003E0,1.255139923E0
1.276722708E0,6.790329437E0,-2.674787750E0,1.209335175E0
1.286704708E0,5.717660065E0,-3.146756287E0,1.259181519E0
1.296687708E0,4.718338165E0,-3.460952911E0,1.483415222E0
1.306670708E0,3.939208374E0,-3.477718048E0,1.786684570E0
1.316653708E0,3.275189209E0,-3.359014893E0,1.989812164E0
1.326636708E0,2.885549469E0,-3.064128113E0,2.023791504E0
1.336618708E0,2.419568481E0,-2.689606934E0,2.055525513E0
1.346601708E0,1.669328613E0,-2.562371521E0,1.880389709E0
1.356584708E0,1.128952332E0,-2.689906311E0,1.165775757E0
1.366567708E0,8.063731384E-1,-3.101250916E0,4.180805969E-1
1.376550708E0,7.149133301E-1,-3.837270355E0,-3.878434753E-1
1.386533708E0,1.330882416E0,-4.709955597E0,-1.330283661E0
1.396515708E0,2.921624451E0,-5.248834991E0,-2.271376648E0
1.406498708E0,4.941374359E0,-5.444178772E0,-3.359763336E0
1.416481708E0,7.259753265E0,-6.006708984E0,-4.400099945E0
1.426464708E0,1.036938675E1,-7.283853149E0,-4.819378052E0
1.436447708E0,1.509580811E1,-9.683063965E0,-3.576662292E0
1.446429708E0,1.987402176E1,-1.237042557E1,-2.037413177E0
1.456412708E0,2.071796677E1,-1.306019119E1,-3.529360657E0
1.466395708E0,1.872186768E1,-1.131601822E1,-6.234684906E0
1.476378708E0,1.455453369E1,-7.804919586E0,-6.715784454E0
1.486361708E0,1.092413315E1,-4.838238831E0,-5.206473083E0
1.496344708E0,8.986113281E0,-3.083437958E0,-3.184926910E0
1.506326708E0,7.517068176E0,-2.590363312E0,-1.501826935E0
1.516309708E0,6.897955627E0,-3.251688080E0,-3.749702454E-1
1.526292708E0,7.328759766E0,-4.886139221E0,1.000220032E0
1.536275708E0,9.067693634E0,-7.252717896E0,2.376458130E0
1.546258708E0,1.173888885E1,-9.540111237E0,3.615731049E0
1.556240708E0,1.379007339E1,-1.166015259E1,4.604574738E0
1.566223708E0,1.396895142E1,-1.325897781E1,3.249742126E0
1.576206708E0,1.256067993E1,-1.294268555E1,8.547225952E-1
1.586189708E0,9.838291168E0,-1.111902786E1,-1.242566071E0
1.596172708E0,6.274951172E0,-9.451196136E0,-1.892065430E0
1.606154708E0,3.181484070E0,-8.556656342E0,4.670288086E-2
1.616137708E0,1.150507507E0,-8.059540100E0,2.130519562E0
