"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.075666863E-3,-7.484005094E-1,1.400440484E-1,-7.142357230E-1
8.906333242E-3,-6.264450550E-1,4.216432571E-1,-7.089676857E-1
1.888933335E-2,-5.453003645E-1,4.899282753E-1,-9.245697260E-1
2.887233323E-2,-5.327107906E-1,3.985341787E-1,-1.226056576E0
3.885533335E-2,-4.439306259E-1,1.723476201E-1,-1.372716784E0
4.883833323E-2,-1.593444198E-1,-2.297060788E-1,-1.309817791E0
5.882033333E-2,2.735397518E-1,-8.101889491E-1,-1.102021694E0
6.880333321E-2,7.108557820E-1,-1.347221732E0,-7.813458443E-1
7.878633332E-2,1.015332341E0,-1.643545628E0,-4.395581782E-1
8.876933320E-2,1.181389570E0,-1.698164463E0,-1.728689820E-1
9.875133331E-2,1.239263773E0,-1.599111080E0,1.043036021E-2
1.087343332E-1,1.199631214E0,-1.404672623E0,1.200242341E-1
1.187173333E-1,1.111000896E0,-1.171376109E0,2.036648244E-1
1.287003332E-1,1.015040755E0,-9.277458191E-1,3.237299621E-1
1.386833333E-1,9.506606460E-1,-7.534334064E-1,5.022729635E-1
1.486653332E-1,9.291670918E-1,-7.067564726E-1,7.251042128E-1
1.586483333E-1,9.372481108E-1,-7.934478521E-1,9.445776343E-1
1.686313332E-1,9.447103143E-1,-9.431861639E-1,1.152360559E0
1.786143333E-1,9.347343445E-1,-1.037604213E0,1.329537749E0
1.885973332E-1,8.648908138E-1,-1.115312934E0,1.466328859E0
1.985793333E-1,6.831029058E-1,-1.261323929E0,1.503153801E0
2.085623331E-1,3.591442704E-1,-1.408348560E0,1.365192175E0
2.185453332E-1,-3.065061569E-2,-1.400558949E0,1.059421659E0
2.285283334E-1,-4.640055001E-1,-9.554438591E-1,4.579482973E-1
2.385103332E-1,-6.778332591E-1,2.360268235E-1,-7.244357467E-1
2.484933333E-1,-4.333425462E-1,1.497247696E0,-2.032496214E0
2.584763332E-1,-4.454126656E-1,2.425780058E0,-2.651758432E0
2.684593333E-1,-9.071019888E-1,2.621804476E0,-2.511175156E0
2.784423332E-1,-1.318946958E0,2.003550529E0,-1.852799177E0
2.884243333E-1,-1.262027025E0,1.111769557E0,-1.208999991E0
2.984073332E-1,-8.613175154E-1,5.308304429E-1,-7.069525123E-1
3.083903333E-1,-3.901417553E-1,3.445553482E-1,-2.932381630E-1
3.183733332E-1,8.055650443E-2,3.798781335E-1,4.099175334E-2
3.283563333E-1,5.164771080E-1,4.698719382E-1,3.075794876E-1
3.383383332E-1,9.427554011E-1,6.163787246E-1,5.668224692E-1
3.483213333E-1,1.359393120E0,8.782814741E-1,8.795851469E-1
3.583043332E-1,1.621068478E0,9.689533114E-1,1.065572977E0
3.682873333E-1,1.595306039E0,3.522187173E-1,9.446502328E-1
3.782693332E-1,1.160249352E0,-8.744202256E-1,6.813017726E-1
3.882523333E-1,4.272818267E-1,-1.725009799E0,4.509388506E-1
3.982353332E-1,-7.784118503E-2,-1.871213555E0,4.542692304E-1
4.082183333E-1,-1.966993958E-1,-1.571174979E0,6.712867022E-1
4.182013331E-1,-5.267187953E-2,-1.062776208E0,8.721054196E-1
4.281833332E-1,1.497339457E-1,-5.825714469E-1,9.961903095E-1
4.381663334E-1,3.155481815E-1,-1.864525378E-1,1.036388040E0
4.481493332E-1,4.230631888E-1,1.239655167E-1,1.007166505E0
4.581323334E-1,5.612430573E-1,4.106515646E-1,9.952498078E-1
4.681143332E-1,6.348613501E-1,6.828364730E-1,1.006286502E0
4.780973333E-1,5.892041922E-1,8.625929952E-1,1.050874591E0
4.880803332E-1,4.722672403E-1,9.041976929E-1,1.119997740E0
4.980633333E-1,3.493187129E-1,7.619627714E-1,1.196352482E0
5.080463332E-1,2.498176843E-1,4.917389750E-1,1.254093289E0
5.180283333E-1,1.805280149E-1,1.352860779E-1,1.297677636E0
5.280113332E-1,1.599788070E-1,-3.167322576E-1,1.308757186E0
5.379943333E-1,1.631360799E-1,-7.548795342E-1,1.313255429E0
5.479773332E-1,1.738137603E-1,-1.024865150E0,1.332062125E0
5.579603333E-1,2.130432576E-1,-1.011549830E0,1.362250566E0
5.679423332E-1,3.033404052E-1,-7.125898004E-1,1.365821958E0
5.779253333E-1,4.338157475E-1,-1.863397807E-1,1.319219232E0
5.879083332E-1,5.808603168E-1,4.328384995E-1,1.208456039E0
5.978913333E-1,7.278087735E-1,1.056346655E0,1.067910910E0
6.078733332E-1,8.962366581E-1,1.602560997E0,9.195054173E-1
6.178563333E-1,1.076703668E0,2.191187143E0,7.949301600E-1
6.278393331E-1,1.282574773E0,2.904615402E0,6.882774830E-1
6.378223333E-1,1.482383370E0,3.272977829E0,5.813038349E-1
6.478053331E-1,1.656586051E0,3.019511223E0,5.266725421E-1
6.577873332E-1,1.696585059E0,2.217262268E0,5.453738570E-1
6.677703334E-1,1.491596222E0,1.055008888E0,6.669234633E-1
6.777533332E-1,1.127195954E0,-1.374082565E-1,8.443779945E-1
6.877363333E-1,8.255729675E-1,-9.577963352E-1,8.995711803E-1
6.977193332E-1,5.904738307E-1,-1.385519862E0,8.850758076E-1
7.077013333E-1,3.838519454E-1,-1.454244852E0,8.968613744E-1
7.176843332E-1,2.068680078E-1,-1.236242175E0,9.326772690E-1
7.276673333E-1,8.840501308E-2,-8.332899809E-1,9.532845616E-1
7.376503332E-1,6.487888098E-2,-3.874157667E-1,9.374064803E-1
7.476333333E-1,1.095147952E-1,1.689788513E-2,8.610446453E-1
7.576163332E-1,1.466603279E-1,3.538449705E-1,7.619311213E-1
7.675983333E-1,1.456949264E-1,6.126693487E-1,6.595064998E-1
7.775813332E-1,1.528878808E-1,7.724772692E-1,5.578597784E-1
7.875643333E-1,1.900597513E-1,8.234860897E-1,4.902929962E-1
7.975473332E-1,2.605882585E-1,7.361288071E-1,4.927396178E-1
8.075293333E-1,3.062894344E-1,5.642915368E-1,5.582136512E-1
8.175123332E-1,2.860261500E-1,3.138590455E-1,6.460071206E-1
