"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
2.776433335E-2,1.034947815E0,-5.529201965E0,-2.153571625E0,3.152933333E-2,-1.800069928E0,-2.073803902E0,-4.537762403E-1
3.780833335E-2,6.444099426E-1,-4.801864471E0,-2.271077271E0,4.157333332E-2,-1.695787787E0,-2.002416372E0,-4.253949225E-1
4.785233334E-2,9.520202637E-2,-4.160298615E0,-2.241289215E0,5.161733332E-2,-1.485898137E0,-1.866481423E0,-4.028389156E-1
5.789533333E-2,-4.960684204E-1,-3.616030426E0,-2.126178589E0,6.166033336E-2,-1.184103608E0,-1.646981716E0,-4.128177762E-1
6.793933333E-2,-1.051712952E0,-3.234324188E0,-1.999092865E0,7.170433336E-2,-8.036641479E-1,-1.313680768E0,-4.740042090E-1
7.798333332E-2,-1.549128571E0,-3.112178192E0,-2.048490143E0,8.174833335E-2,-3.976061642E-1,-9.735990763E-1,-5.637487173E-1
8.802733332E-2,-1.924547882E0,-3.305725708E0,-2.359094238E0,9.179233335E-2,-1.685525477E-2,-7.307419181E-1,-6.195008159E-1
9.807033336E-2,-2.227218475E0,-3.834875336E0,-2.924767914E0,1.018353333E-1,3.448941410E-1,-6.360431314E-1,-6.081693172E-1
1.081143334E-1,-2.409239960E0,-4.473746796E0,-3.562591553E0,1.118793333E-1,6.431338787E-1,-5.371819735E-1,-5.590983629E-1
1.181583334E-1,-2.497556305E0,-4.975653076E0,-4.157753906E0,1.219233333E-1,8.126166463E-1,-3.242076039E-1,-4.960440099E-1
1.282013333E-1,-2.459834747E0,-5.521418152E0,-4.655019836E0,1.319663333E-1,8.582291603E-1,-1.865628213E-1,-4.204838276E-1
1.382453333E-1,-1.887874146E0,-5.959856415E0,-5.402565308E0,1.420103333E-1,7.617614865E-1,-5.376376957E-2,-3.381689787E-1
1.482893333E-1,-1.277144165E0,-6.381230164E0,-6.112987976E0,1.520543334E-1,5.607387424E-1,3.040047288E-1,-2.208803445E-1
1.583333333E-1,-1.228345642E0,-7.020999756E0,-6.314468994E0,1.620983334E-1,3.237078488E-1,6.972574592E-1,-1.012777761E-1
1.683763333E-1,-1.387913818E0,-8.212971039E0,-6.550528107E0,1.721413333E-1,1.657357812E-1,9.784258008E-1,-6.157091819E-3
1.784203333E-1,-1.698966980E0,-1.012210098E1,-6.268813934E0,1.821853333E-1,8.514691889E-2,8.819591999E-1,7.835326344E-2
1.884643334E-1,-2.535876617E0,-1.267189865E1,-5.671256561E0,1.922293333E-1,-2.719364874E-2,4.807187319E-1,6.995254755E-2
1.985083334E-1,-3.193758545E0,-1.541644135E1,-5.411846008E0,2.022733333E-1,-8.427717537E-2,1.326118708E-1,-1.844042912E-2
2.085513333E-1,-3.096760254E0,-1.683309540E1,-5.363496552E0,2.123163333E-1,-9.501893818E-2,-1.616219580E-1,-3.811658174E-2
2.185953333E-1,-2.627186737E0,-1.603974518E1,-6.149661713E0,2.223603333E-1,-2.926090062E-1,-1.776936054E-1,-2.003131993E-2
2.286393333E-1,-3.076701965E0,-1.417252808E1,-8.635841675E0,2.324043333E-1,-8.031727076E-1,4.517177120E-2,-1.266057137E-2
2.386823333E-1,-3.268153839E0,-1.298849030E1,-1.102292770E1,2.424473334E-1,-1.252429366E0,2.151259184E-1,3.514077514E-2
2.487263333E-1,-3.149001617E0,-1.293460236E1,-9.965825958E0,2.524913333E-1,-1.353437543E0,3.212559223E-1,9.970036149E-2
2.587703333E-1,-2.613115997E0,-1.315105225E1,-6.902146912E0,2.625353333E-1,-1.186325788E0,7.096334696E-1,1.888860762E-2
2.688143333E-1,-8.646020508E-1,-1.404499329E1,-3.439996490E0,2.725793333E-1,-8.739542961E-1,1.028430223E0,-1.123301834E-1
2.788573334E-1,-1.083446960E0,-1.471275467E1,-6.487509155E-1,2.826223333E-1,-6.325044036E-1,9.279170036E-1,-1.463677734E-1
2.889013333E-1,-3.623664551E0,-1.493474304E1,-1.814975739E0,2.926663333E-1,-1.788815260E-1,5.142378807E-1,-1.022339389E-1
2.989453333E-1,-5.070256348E0,-1.429407532E1,-1.794917450E0,3.027103333E-1,2.248105407E-1,1.397784799E-1,-5.306718871E-2
3.089883333E-1,-5.811814270E0,-1.160761185E1,-1.438508606E0,3.127533334E-1,3.720947504E-1,-1.389075965E-1,2.066311613E-2
3.190323333E-1,-5.950426025E0,-8.367000732E0,-2.309846649E0,3.227973334E-1,4.148467481E-1,-4.766077921E-2,1.291264743E-1
3.290763333E-1,-5.685327301E0,-6.354884949E0,-2.422562256E0,3.328413334E-1,3.711827397E-1,1.340433210E-1,2.255554646E-1
3.391203333E-1,-5.186714172E0,-5.614225159E0,-2.496957550E0,3.428853333E-1,3.685382307E-1,6.420165300E-2,3.365416229E-1
3.491633334E-1,-4.385580139E0,-5.400469666E0,-2.128723297E0,3.529283333E-1,4.740974903E-1,-3.036128730E-2,4.150621593E-1
3.592073334E-1,-3.042123871E0,-5.393883362E0,-1.030157776E0,3.629723333E-1,7.208252549E-1,-5.827840418E-2,5.087039471E-1
3.692513334E-1,-1.927541656E0,-5.869294739E0,6.724017334E-1,3.730163333E-1,1.045381188E0,-6.043635309E-2,5.401991606E-1
3.792953333E-1,-7.044351196E-1,-6.347699890E0,2.195185089E0,3.830603333E-1,1.326973915E0,-8.347216249E-2,4.853671193E-1
3.893383333E-1,6.108796692E-1,-6.889722748E0,2.620301056E0,3.931033333E-1,1.535088181E0,-9.807480872E-2,4.303922653E-1
3.993823333E-1,1.021475830E0,-7.901917877E0,2.061363373E0,4.031473334E-1,1.648225427E0,-6.623006612E-2,4.732763469E-1
4.094263333E-1,5.472619629E-1,-9.062155151E0,8.478369141E-1,4.131913334E-1,1.632917881E0,8.666764200E-2,5.629580021E-1
4.194703333E-1,-3.884422302E-1,-9.888287201E0,-7.731422424E-1,4.232353334E-1,1.509590030E0,1.810820252E-1,7.172442675E-1
4.295133333E-1,-2.258204041E0,-1.049781967E1,-2.126178589E0,4.332783333E-1,1.358972788E0,1.422088444E-1,9.077869654E-1
4.395573334E-1,-4.047133942E0,-1.039767792E1,-2.369273071E0,4.433223333E-1,1.292196751E0,7.274509221E-2,1.054343939E0
4.496020000E-1,-5.057532806E0,-9.912686462E0,-1.872306519E0,4.533670000E-1,1.328398824E0,3.716873750E-2,1.058076262E0
4.596450000E-1,-5.124593353E0,-9.424401855E0,-1.299896851E0,4.634100000E-1,1.405400157E0,2.628519759E-2,9.173069596E-1
4.696890000E-1,-4.323758698E0,-8.750054169E0,-1.081351318E0,4.734540000E-1,1.453177214E0,5.762156472E-2,6.961013079E-1
4.797330000E-1,-3.569028168E0,-8.040529633E0,-1.149759064E0,4.834980000E-1,1.479256034E0,1.425183564E-1,5.175520182E-1
4.897770000E-1,-3.182082825E0,-7.453450470E0,-1.312021637E0,4.935420000E-1,1.487118602E0,2.568597496E-1,3.674339950E-1
4.998200000E-1,-2.965932312E0,-7.001390533E0,-1.539847870E0,5.035850000E-1,1.462019086E0,3.676094115E-1,2.471888214E-1
5.098640000E-1,-2.819387054E0,-6.698719940E0,-1.719624023E0,5.136290000E-1,1.359585404E0,4.176234305E-1,1.475512236E-1
5.199080000E-1,-2.483036499E0,-6.773564301E0,-2.049238586E0,5.236730000E-1,1.226893663E0,4.994700849E-1,1.000729129E-1
5.299510000E-1,-2.428400116E0,-7.000043335E0,-2.092199249E0,5.337160000E-1,1.094934583E0,5.603844523E-1,7.016731054E-2
5.399950000E-1,-2.233206024E0,-7.063810730E0,-2.146087189E0,5.437600000E-1,9.932696819E-1,5.553838611E-1,6.668869406E-2
5.500390000E-1,-1.980980530E0,-7.086862793E0,-1.827399902E0,5.538040000E-1,9.283309579E-1,5.006681085E-1,9.957696497E-2
5.600830000E-1,-1.855990448E0,-7.299570465E0,-1.509461060E0,5.638480000E-1,9.348801970E-1,4.588359594E-1,1.490489244E-1
5.701260000E-1,-1.691183167E0,-7.675139465E0,-1.158291321E0,5.738910000E-1,1.003421903E0,4.210364819E-1,2.193058133E-1
5.801700000E-1,-1.635199585E0,-8.180787964E0,-8.545729065E-1,5.839350000E-1,1.082081318E0,3.664704561E-1,2.878403962E-1
5.902140000E-1,-1.480571136E0,-8.606352997E0,-8.713380432E-1,5.939790000E-1,1.121520400E0,3.084412813E-1,3.508738577E-1
6.002580000E-1,-1.401685181E0,-9.050180054E0,-1.188827820E0,6.040230000E-1,1.096674800E0,2.452687025E-1,4.139145911E-1
6.103010000E-1,-1.336121521E0,-9.301058350E0,-1.729653168E0,6.140660000E-1,9.958459735E-1,1.896942109E-1,4.888486564E-1
6.203450000E-1,-1.309177551E0,-9.477691040E0,-2.375559998E0,6.241100000E-1,8.563138843E-1,1.662983298E-1,5.639128089E-1
6.303890000E-1,-1.287472687E0,-9.585167542E0,-2.872526550E0,6.341540000E-1,7.229316235E-1,2.112120092E-1,6.477262378E-1
6.404320000E-1,-1.205293579E0,-9.517657928E0,-2.769989777E0,6.441970000E-1,6.479188800E-1,3.182324767E-1,7.317460179E-1
6.504760000E-1,-1.182840271E0,-9.164093170E0,-1.967658234E0,6.542410000E-1,5.923376083E-1,3.023853004E-1,8.031983376E-1
6.605200000E-1,-1.296903076E0,-8.815617828E0,-1.598675537E0,6.642850000E-1,5.301277637E-1,2.502006590E-1,8.630139828E-1
6.705640000E-1,-1.558259583E0,-8.635242920E0,-1.583107910E0,6.743290000E-1,5.176829100E-1,1.955587864E-1,9.050925374E-1
6.806070000E-1,-1.910327454E0,-8.692124634E0,-1.647773438E0,6.843720000E-1,5.241019130E-1,1.956938058E-1,8.967179656E-1
6.906510000E-1,-2.275567932E0,-9.058712311E0,-1.899100800E0,6.944160000E-1,5.577465296E-1,2.405899763E-1,8.538904786E-1
7.006950000E-1,-2.567460938E0,-9.579629059E0,-2.371817780E0,7.044600000E-1,5.751910210E-1,3.334991336E-1,7.905863523E-1
7.107390000E-1,-2.421514435E0,-1.017958145E1,-2.742896118E0,7.145040000E-1,5.581451058E-1,3.764834702E-1,6.993888617E-1
7.207820000E-1,-1.550026703E0,-1.090901459E1,-2.750829620E0,7.245470000E-1,5.177971721E-1,2.965428531E-1,5.549643040E-1
7.308260000E-1,-2.418969727E-1,-1.140807678E1,-2.604284363E0,7.345910000E-1,4.748314321E-1,2.009860128E-1,3.733584285E-1
7.408700000E-1,9.099577332E-1,-1.141990219E1,-2.731968842E0,7.446350000E-1,4.511929452E-1,1.157352850E-1,1.882016212E-1
7.509130000E-1,1.641037445E0,-1.111094467E1,-2.952011261E0,7.546780000E-1,4.431015551E-1,8.690644987E-3,2.924675122E-2
7.609570000E-1,1.780247955E0,-1.070828201E1,-2.936593323E0,7.647220000E-1,4.313327968E-1,-1.253803372E-1,-1.354556382E-1
7.710010000E-1,1.403631134E0,-1.075902649E1,-2.675236816E0,7.747660000E-1,3.315601349E-1,-3.406553864E-1,-3.007588685E-1
7.810450000E-1,2.883004761E-1,-1.134969818E1,-2.350112915E0,7.848100000E-1,1.922003776E-1,-5.367032290E-1,-4.151714742E-1
7.910880000E-1,-1.402733002E0,-1.218750595E1,-2.340233459E0,7.948530000E-1,9.776809067E-2,-5.425966978E-1,-4.700812995E-1
8.011320000E-1,-2.816393280E0,-1.291199936E1,-2.011517029E0,8.048970000E-1,-1.224803505E-3,-4.615237415E-1,-5.709493756E-1
8.111760000E-1,-3.746409302E0,-1.305150925E1,-1.754501495E0,8.149410000E-1,-1.186485142E-1,-2.720288038E-1,-6.456825137E-1
8.212190000E-1,-4.182751923E0,-1.280093033E1,-1.349294128E0,8.249840000E-1,-2.742540836E-1,-1.902311593E-1,-6.796527505E-1
8.312630000E-1,-4.269870758E0,-1.238479568E1,-3.405418396E-1,8.350280000E-1,-4.317173362E-1,-2.085094452E-1,-6.949785352E-1
8.413070000E-1,-4.320315857E0,-1.184367096E1,6.743476868E-1,8.450720000E-1,-6.532579660E-1,-3.250381947E-1,-7.364847064E-1
8.513510000E-1,-3.856131134E0,-1.157902130E1,1.230141907E0,8.551160000E-1,-9.768584967E-1,-3.414385319E-1,-8.248858452E-1
8.613940000E-1,-3.584595795E0,-1.124446701E1,9.521699524E-1,8.651590000E-1,-1.218345284E0,-3.111528158E-1,-9.563032389E-1
8.714380000E-1,-3.769311676E0,-1.095317276E1,1.205443268E0,8.752030000E-1,-1.408427000E0,-2.029437125E-1,-1.103404284E0
8.814820000E-1,-4.423900452E0,-1.069151688E1,8.292755127E-1,8.852470000E-1,-1.634220958E0,-6.014128029E-2,-1.203497291E0
8.915260000E-1,-5.081782379E0,-1.069196594E1,-1.752854919E-1,8.952910000E-1,-1.832717419E0,6.693150848E-2,-1.273696184E0
9.015690000E-1,-5.508395233E0,-1.044961990E1,-9.035211182E-1,9.053340000E-1,-1.980927348E0,2.711504400E-1,-1.343097687E0
9.116130000E-1,-5.955365753E0,-1.027059219E1,-1.509011993E0,9.153780000E-1,-2.042543173E0,5.721108317E-1,-1.309319139E0
9.216570000E-1,-6.959777069E0,-1.139849670E1,-1.958527222E0,9.254220000E-1,-1.969251871E0,8.213030696E-1,-1.136070371E0
9.317000000E-1,-7.996820526E0,-1.261022690E1,-1.947599945E0,9.354650000E-1,-1.781389117E0,1.035647631E0,-8.555366993E-1
9.417440000E-1,-9.033564606E0,-1.306078995E1,-1.606159973E0,9.455090000E-1,-1.531165719E0,1.298722148E0,-5.140848160E-1
9.517880000E-1,-9.603579254E0,-1.281080978E1,-1.177002411E0,9.555530000E-1,-1.267999649E0,1.593451738E0,-2.083190084E-1
9.618320000E-1,-9.099577332E0,-1.190130112E1,-6.529421997E-1,9.655970000E-1,-1.009261847E0,1.771629930E0,-5.325512588E-2
9.718750000E-1,-8.083639984E0,-1.049287994E1,-1.896556091E-1,9.756400000E-1,-8.105943203E-1,1.787134409E0,-1.512858365E-2
9.819190000E-1,-7.320526886E0,-9.044791260E0,1.869612122E-1,9.856840000E-1,-6.783856750E-1,1.519711494E0,1.372236758E-1
9.919630000E-1,-6.552174683E0,-8.085585938E0,4.754113770E-1,9.957280000E-1,-6.250821352E-1,1.205474138E0,4.394528568E-1
1.002006000E0,-5.198090515E0,-7.751780090E0,3.396437073E-1,1.005771000E0,-6.125727892E-1,9.794582725E-1,5.513077378E-1
1.012050000E0,-2.753374329E0,-7.756869507E0,-9.325607300E-2,1.015815000E0,-5.609597564E-1,7.454926372E-1,4.477716684E-1
1.022094000E0,-4.240681458E-1,-7.974666595E0,-6.068380737E-1,1.025859000E0,-5.430142879E-1,5.216302872E-1,3.807880878E-1
1.032138000E0,-1.347198486E-2,-8.116122437E0,-1.399589539E0,1.035903000E0,-6.733335853E-1,3.436676264E-1,3.744306564E-1
1.042181000E0,-1.666035461E-1,-7.823480988E0,-2.740950165E0,1.045946000E0,-9.270929098E-1,1.262471527E-1,4.087577462E-1
1.052225000E0,-3.297642517E-1,-7.314090271E0,-3.725901947E0,1.055990000E0,-1.138220072E0,-2.228879035E-1,4.072866440E-1
1.062269000E0,-8.652008057E-2,-7.046895905E0,-3.342998199E0,1.066034000E0,-1.307499051E0,-5.834378004E-1,3.293098211E-1
1.072313000E0,5.198689270E-1,-6.997049561E0,-2.747237091E0,1.076078000E0,-1.455875158E0,-8.892232776E-1,1.831223965E-1
1.082356000E0,1.204096069E0,-7.061715088E0,-2.362537079E0,1.086121000E0,-1.592157602E0,-1.191831946E0,-2.946763113E-2
1.092400000E0,1.775757294E0,-7.052733765E0,-2.532733154E0,1.096165000E0,-1.722597122E0,-1.438688755E0,-2.390106916E-1
1.102444000E0,2.013013916E0,-6.718029785E0,-2.803819427E0,1.106209000E0,-1.783569098E0,-1.584524989E0,-3.365087509E-1
1.112487000E0,1.402733002E0,-6.315516815E0,-2.852019196E0,1.116252000E0,-1.771998882E0,-1.621434808E0,-3.318944573E-1
1.122531000E0,7.014413452E-1,-5.645659790E0,-3.054098969E0,1.126296000E0,-1.646599889E0,-1.535318613E0,-2.786813080E-1
1.132575000E0,-9.654922485E-2,-4.863386536E0,-3.071163483E0,1.136340000E0,-1.395100117E0,-1.242208362E0,-2.742485702E-1
1.142619000E0,-9.324110413E-1,-4.359534302E0,-2.901416473E0,1.146384000E0,-1.045642495E0,-8.519378901E-1,-3.349425197E-1
1.152662000E0,-1.614392853E0,-3.964206390E0,-2.771486664E0,1.156427000E0,-7.025835514E-1,-5.526864529E-1,-4.154347479E-1
1.162706000E0,-2.092648315E0,-3.735482025E0,-2.918630676E0,1.166471000E0,-3.912011385E-1,-4.360309839E-1,-4.593057930E-1
1.172750000E0,-2.523901520E0,-3.798950043E0,-3.077151031E0,1.176515000E0,-1.044986472E-1,-4.944157302E-1,-4.459856153E-1
1.182793000E0,-2.677781525E0,-4.087699585E0,-3.220253448E0,1.186558000E0,1.644476056E-1,-5.978776813E-1,-4.100044370E-1
1.192837000E0,-2.504142609E0,-4.389172668E0,-3.472778320E0,1.196602000E0,3.880325258E-1,-6.670140028E-1,-4.085163176E-1
1.202881000E0,-1.764380951E0,-4.370012512E0,-4.092339935E0,1.206646000E0,5.645292401E-1,-6.662776470E-1,-4.567110240E-1
1.212925000E0,-7.542814636E-1,-3.970493317E0,-4.763394470E0,1.216690000E0,7.672422528E-1,-5.004620552E-1,-4.588653743E-1
1.222968000E0,-4.221221924E-1,-4.061803436E0,-5.064418488E0,1.226733000E0,8.622883558E-1,-1.900575459E-1,-4.114762843E-1
1.233012000E0,-4.290078735E-1,-4.959337006E0,-5.892646179E0,1.236777000E0,7.837365270E-1,2.837712765E-1,-3.947481811E-1
1.243056000E0,-1.803749084E-1,-5.842350769E0,-6.909331970E0,1.246821000E0,6.151140928E-1,9.381221533E-1,-4.173682630E-1
1.253099000E0,-6.900650024E-2,-6.872807922E0,-7.293882294E0,1.256864000E0,5.063818097E-1,1.310899138E0,-4.276984930E-1
1.263143000E0,-3.583547974E-1,-8.738228760E0,-6.721472626E0,1.266908000E0,3.734934926E-1,1.100865483E0,-3.501094282E-1
1.273187000E0,-1.764830017E0,-1.204889420E1,-6.298601990E0,1.276952000E0,-1.078406442E-2,6.025569439E-1,-3.528821170E-1
1.283231000E0,-3.323688354E0,-1.642773834E1,-7.521858215E0,1.286996000E0,-2.307590246E-1,1.212347671E-1,-4.193831086E-1
1.293274000E0,-4.292024689E0,-2.000604721E1,-7.607779541E0,1.297039000E0,-1.991676092E-1,-3.175353706E-1,-3.508309424E-1
1.303318000E0,-4.877307587E0,-1.908381500E1,-6.903494110E0,1.307083000E0,-3.185946643E-1,-5.383769870E-1,-1.738622934E-1
1.313362000E0,-4.653223572E0,-1.490345810E1,-8.620573425E0,1.317127000E0,-5.784294605E-1,-5.487009287E-1,-7.407348603E-2
