"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.297666812E-3,1.141922355E0,3.250824213E-1,8.675097227E-1
1.627966668E-2,1.108617425E0,2.384271324E-1,8.901114464E-1
2.626166679E-2,1.055168748E0,2.496880591E-1,9.141905904E-1
3.624366666E-2,1.014466286E0,3.340868354E-1,9.005836844E-1
4.622566677E-2,9.955754876E-1,5.077360868E-1,8.857232332E-1
5.620666663E-2,9.464835525E-1,7.254681587E-1,8.003913164E-1
6.618866674E-2,8.632169366E-1,8.849151134E-1,6.880178452E-1
7.617066661E-2,7.849388719E-1,9.925872684E-1,5.632365346E-1
8.615266671E-2,7.262346148E-1,1.048460007E0,4.160290062E-1
9.613466682E-2,6.633787155E-1,1.057428479E0,2.599651217E-1
1.061166667E-1,5.730994940E-1,9.789144397E-1,1.638166606E-1
1.160986668E-1,4.288088977E-1,7.858634591E-1,1.190137714E-1
1.260806667E-1,2.202243805E-1,5.454503894E-1,1.213193461E-1
1.360616668E-1,2.608633786E-2,3.666457832E-1,1.546373516E-1
1.460436666E-1,-6.179347262E-2,2.931062579E-1,2.185034901E-1
1.560256667E-1,-1.027915031E-1,1.608845592E-1,2.261273116E-1
1.660076666E-1,-1.318580359E-1,5.811735615E-2,2.427865267E-1
1.759896667E-1,-1.807222515E-1,6.305965036E-2,2.557076514E-1
1.859716666E-1,-2.461917698E-1,1.504076570E-1,2.453329861E-1
1.959536667E-1,-3.181748986E-1,2.709186375E-1,1.787411720E-1
2.059356668E-1,-4.136885107E-1,4.582598507E-1,3.423755243E-2
2.159166667E-1,-5.462390780E-1,5.950281024E-1,-1.701206565E-1
2.258986668E-1,-7.384757996E-1,5.448291898E-1,-3.524747193E-1
2.358806666E-1,-1.012131214E0,3.255501390E-1,-5.428998470E-1
2.458626668E-1,-1.231384158E0,3.671764210E-2,-7.570077777E-1
2.558446666E-1,-1.376177311E0,-3.291918933E-1,-9.760559797E-1
2.658266667E-1,-1.533366203E0,-6.853070259E-1,-1.180680752E0
2.758086666E-1,-1.870814800E0,-7.529297471E-1,-1.378007174E0
2.857906667E-1,-2.419549227E0,-5.064938664E-1,-1.484853029E0
2.957726668E-1,-2.933477640E0,-9.775751829E-2,-1.446584702E0
3.057536667E-1,-3.127596378E0,1.762467921E-1,-1.398026347E0
3.157356668E-1,-3.018116236E0,3.202047432E-3,-1.355538845E0
3.257176667E-1,-2.727901220E0,-3.608405590E-1,-1.242101431E0
3.356999168E-1,-2.446114540E0,-5.996390581E-1,-1.102421284E0
3.456819167E-1,-2.328361511E0,-4.965311289E-1,-9.131307602E-1
3.556639168E-1,-2.351142883E0,-2.565358579E-1,-6.771693230E-1
3.656459167E-1,-2.375145674E0,2.462131670E-3,-5.128525496E-1
3.756279168E-1,-2.273999929E0,2.375545502E-1,-4.562675655E-1
3.856089166E-1,-2.125101089E0,4.871974289E-1,-4.332784414E-1
3.955909167E-1,-1.988877654E0,8.095597625E-1,-4.366601110E-1
4.055729166E-1,-1.924888253E0,1.121625185E0,-4.921820760E-1
4.155549167E-1,-1.951670885E0,1.384710431E0,-4.799408615E-1
4.255369168E-1,-1.941522360E0,1.236744881E0,-4.415543377E-1
4.355189167E-1,-1.877919674E0,9.466603398E-1,-5.362243652E-1
4.455009168E-1,-1.755506277E0,1.022777915E0,-6.579993963E-1
4.554829167E-1,-1.557799816E0,1.058924794E0,-7.146075368E-1
4.654639168E-1,-1.296642065E0,1.081532717E0,-7.606900930E-1
4.754459166E-1,-1.005032420E0,9.865290523E-1,-8.337563276E-1
4.854279167E-1,-7.977011800E-1,6.718127131E-1,-9.494868517E-1
4.954099166E-1,-7.136802673E-1,2.060785741E-1,-1.037405729E0
5.053919167E-1,-7.500252724E-1,-3.523975909E-1,-1.077163696E0
5.153739166E-1,-8.251663446E-1,-1.020426750E0,-1.102019191E0
5.253559167E-1,-8.308069110E-1,-1.509448767E0,-1.129047871E0
5.353379168E-1,-7.784140110E-1,-1.801326990E0,-1.121875644E0
5.453189167E-1,-6.832177639E-1,-1.960185289E0,-1.077491283E0
5.553009168E-1,-5.723136663E-1,-2.080069065E0,-9.901859164E-1
5.652829167E-1,-5.254270434E-1,-2.236940145E0,-8.627315760E-1
5.752649168E-1,-4.384971857E-1,-2.252337217E0,-6.753656864E-1
5.852469166E-1,-2.957742512E-1,-2.088337898E0,-5.017546415E-1
5.952289167E-1,-1.440419853E-1,-1.788583875E0,-3.220954239E-1
6.052109166E-1,2.698662318E-2,-1.343524694E0,-1.309260726E-1
6.151929167E-1,2.043302506E-1,-8.917798996E-1,9.164194576E-3
6.251739168E-1,3.684017360E-1,-5.030630827E-1,9.298028797E-2
6.351559167E-1,5.253436565E-1,-1.790255755E-1,1.545179486E-1
6.451379168E-1,7.166377902E-1,1.005007476E-1,1.655152142E-1
6.551199167E-1,8.857772946E-1,1.961234212E-1,1.775537729E-1
6.651019168E-1,1.014234781E0,1.496509761E-1,1.950708479E-1
6.750839166E-1,1.095637202E0,1.490940433E-2,2.333772331E-1
6.850659167E-1,1.117583871E0,-1.714960933E-1,2.769740522E-1
6.950479166E-1,1.072278738E0,-3.228997290E-1,3.575969636E-1
7.050299167E-1,9.547325373E-1,-3.848561347E-1,4.410747886E-1
7.150109168E-1,7.659493089E-1,-4.669547379E-1,5.030276179E-1
7.249929167E-1,5.296362638E-1,-6.386798024E-1,4.765489399E-1
7.349749168E-1,2.976173759E-1,-8.978865743E-1,3.584867418E-1
7.449569167E-1,8.038346469E-2,-1.090307117E0,1.527208686E-1
7.549389168E-1,-1.401339918E-1,-1.136010647E0,-9.052880108E-2
7.649209166E-1,-3.670944870E-1,-1.094321012E0,-3.369236887E-1
7.749029167E-1,-5.515761971E-1,-1.070950985E0,-5.497536659E-1
7.848849166E-1,-6.198987365E-1,-9.954026341E-1,-7.111471295E-1
7.948669167E-1,-5.453443527E-1,-8.174723387E-1,-8.093647361E-1
8.048479168E-1,-3.535028696E-1,-6.354838610E-1,-8.164518476E-1
8.148299167E-1,-7.886438072E-2,-4.520903230E-1,-7.030533552E-1
8.248119168E-1,2.803853154E-1,-2.324703783E-1,-5.169002414E-1
8.347939167E-1,6.337103844E-1,-1.447067112E-1,-2.846808732E-1
8.447759168E-1,1.011420965E0,-6.757715344E-2,-6.889628619E-2
8.547579166E-1,1.471185923E0,1.091195866E-1,8.898735791E-2
8.647399168E-1,1.879615068E0,3.609507680E-1,2.176213562E-1
8.747219166E-1,2.058150053E0,5.631291866E-1,3.481231630E-1
8.847039167E-1,1.773116946E0,4.466580153E-1,4.885224104E-1
