"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.297666812E-3,-7.732562631E-2,6.020573902E-1,5.475502306E-1
1.627966668E-2,2.005046792E-1,6.080589724E-1,-3.134429187E-1
2.626166679E-2,6.107929842E-1,5.506925243E-1,-1.123375403E0
3.624366666E-2,1.324643144E0,1.910905159E-1,-1.664049162E0
4.622566677E-2,2.238461648E0,-4.209088951E-1,-1.959822965E0
5.620666663E-2,2.901143701E0,-1.053321521E0,-1.905221665E0
6.618866674E-2,3.456579194E0,-1.483520472E0,-1.673248440E0
7.617066661E-2,3.922806642E0,-1.415517939E0,-1.647569370E0
8.615266671E-2,4.206792165E0,-1.242871880E0,-1.889427166E0
9.613466682E-2,4.413794124E0,-1.183081176E0,-2.079761052E0
1.061166667E-1,4.431102175E0,-1.249946426E0,-2.109355711E0
1.160986668E-1,3.739884101E0,-1.511626868E0,-2.115493387E0
1.260806667E-1,2.748714682E0,-1.730715022E0,-2.420591598E0
1.360616668E-1,1.955759150E0,-1.716450740E0,-2.813744491E0
1.460436666E-1,1.573922811E0,-1.756960250E0,-2.644746510E0
1.560256667E-1,1.654598600E0,-1.943625593E0,-1.811887385E0
1.660076666E-1,2.318466907E0,-2.259291038E0,-1.365364616E0
1.759896667E-1,2.948989420E0,-2.517352054E0,-1.561108785E0
1.859716666E-1,3.444146844E0,-2.731002297E0,-2.188443396E0
1.959536667E-1,4.092646622E0,-2.820321440E0,-2.753602955E0
2.059356668E-1,4.659955179E0,-2.954662973E0,-2.900805439E0
2.159166667E-1,4.914456117E0,-3.293436615E0,-2.596466635E0
2.258986668E-1,4.632528521E0,-3.682101624E0,-2.188161414E0
2.358806666E-1,3.802943399E0,-3.710002783E0,-1.900716970E0
2.458626668E-1,3.146518890E0,-3.526922953E0,-1.692412982E0
2.558446666E-1,3.071945840E0,-3.939371511E0,-1.547011294E0
2.658266667E-1,3.079383206E0,-4.500940441E0,-1.441332811E0
2.758086666E-1,3.245175451E0,-4.411678602E0,-1.597328339E0
2.857906667E-1,3.292546961E0,-4.122560685E0,-2.340794792E0
2.957726668E-1,2.557730586E0,-4.022173347E0,-3.833116493E0
3.057536667E-1,5.950723064E-1,-3.584862428E0,-4.532245265E0
3.157356668E-1,-1.882840862E0,-2.915969024E0,-3.342068492E0
3.257176667E-1,-3.925872045E0,-2.306176352E0,-8.692365539E-1
3.356999168E-1,-6.058705934E0,-1.974735119E0,2.653619660E0
3.456819167E-1,-7.481150485E0,-2.077108170E0,5.746199155E0
3.556639168E-1,-7.857664395E0,-2.898496374E0,6.970441221E0
3.656459167E-1,-7.863231529E0,-3.660948737E0,6.056029079E0
