"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.477749949E-3,1.160087585E0,-1.148920807E1,-6.442602539E-1
7.504791720E-3,-1.264270935E0,-1.084734283E1,-1.385668488E0
1.748679159E-2,-3.409759369E0,-1.117486176E1,-2.613265686E0
2.746979170E-2,-4.700674896E0,-1.132470016E1,-2.737357635E0
3.745179158E-2,-6.712341614E0,-1.144011017E1,-1.028810577E0
4.743379168E-2,-8.385562134E0,-1.145956970E1,1.951791229E0
5.741679156E-2,-9.062005463E0,-1.115974319E1,4.712200928E0
6.739879167E-2,-8.256530457E0,-1.092128906E1,5.994733887E0
7.738079154E-2,-6.015989685E0,-1.031430130E1,5.341791687E0
8.736279164E-2,-3.470083923E0,-9.748627625E0,3.189567261E0
9.734579152E-2,-1.093027039E0,-9.482630768E0,5.285508728E-1
1.073277916E-1,9.854008484E-1,-9.693542175E0,-1.576671295E0
1.173097917E-1,1.602118378E0,-1.025053391E1,-3.010539551E0
1.272927916E-1,1.435514832E0,-1.066157913E1,-3.754193115E0
1.372747917E-1,7.252418518E-1,-1.117770584E1,-4.093088379E0
1.472567916E-1,-1.624122620E-1,-1.148786087E1,-3.337459717E0
1.572397917E-1,-6.057902527E-1,-1.130119904E1,-1.529818726E0
1.672217916E-1,-6.813830566E-1,-1.073672287E1,-4.969665527E-2
1.772037917E-1,-2.550695801E-1,-1.003917343E1,-3.930825806E-1
1.871867916E-1,2.074685669E-1,-9.229507141E0,-5.905220032E-1
1.971687917E-1,4.116439819E-2,-8.372539215E0,-4.942721558E-1
2.071507915E-1,-3.854484558E-1,-7.651189270E0,-2.847079468E-1
2.171327916E-1,-5.589376831E-1,-6.889123993E0,-1.077758789E-2
2.271157915E-1,-8.601113892E-1,-6.230194244E0,-1.231938171E-1
2.370977916E-1,-1.266965332E0,-5.706583099E0,-2.300715637E-1
2.470797917E-1,-1.263372803E0,-5.738915863E0,-1.836680603E-1
2.570627916E-1,-1.029259644E0,-5.916446686E0,-3.824546814E-1
2.670447917E-1,-1.195264435E0,-6.074967041E0,-7.204518127E-1
2.770267916E-1,-1.478924561E0,-6.312523041E0,-1.074914703E0
2.870097917E-1,-1.674567719E0,-6.532266083E0,-1.558409271E0
2.969917916E-1,-1.889371033E0,-6.679260406E0,-2.015558624E0
3.069737917E-1,-1.707648926E0,-6.726562042E0,-2.333198090E0
3.169567916E-1,-1.324445801E0,-6.800807648E0,-2.550995178E0
3.269387917E-1,-1.020577698E0,-6.917415161E0,-2.745291138E0
3.369207915E-1,-7.370672607E-1,-6.720125427E0,-3.067271576E0
3.469027916E-1,-5.110372925E-1,-6.557713165E0,-3.398383026E0
3.568857915E-1,-2.802172852E-1,-6.605912933E0,-3.467239838E0
3.668677916E-1,-2.252815247E-1,-6.758296051E0,-3.486699371E0
3.768497917E-1,-2.971321106E-1,-6.968908081E0,-3.562741241E0
3.868327916E-1,-4.453239441E-1,-7.089706879E0,-3.653153229E0
3.968147917E-1,-6.253994751E-1,-7.208260345E0,-3.769910431E0
4.067967916E-1,-7.110214233E-1,-7.448061676E0,-3.881877594E0
