"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
1.104416675E-3,-7.481292572E0,-1.349503693E1,1.644779663E0,3.600416589E-3,-3.192103148E0,8.914543390E-1,4.640118778E-1
1.108741667E-2,-8.026907959E0,-1.363349899E1,1.147364044E0,1.358341658E-2,-3.005956888E0,1.462933302E0,5.707527399E-1
2.106941666E-2,-7.665409698E0,-1.447804276E1,2.113604736E0,2.356541657E-2,-2.682636261E0,2.080735445E0,5.425440073E-1
3.105141665E-2,-5.446274414E0,-1.555205933E1,3.107388153E0,3.354741668E-2,-2.357082129E0,2.296005011E0,4.049223363E-1
4.103441664E-2,-2.456840973E0,-1.544622940E1,2.922672272E0,4.353041667E-2,-1.966414928E0,2.211243629E0,2.425571233E-1
5.101641663E-2,3.314108276E-1,-1.469344482E1,3.273842010E0,5.351241666E-2,-1.577385545E0,1.888805151E0,1.459406689E-3
6.099941663E-2,2.559826813E0,-1.384291351E1,3.350632324E0,6.349541666E-2,-1.275124788E0,1.408490181E0,-2.481778562E-1
7.098141662E-2,4.571792908E0,-1.274105484E1,2.384241943E0,7.347741665E-2,-1.177740812E0,1.155836463E0,-6.012492776E-1
8.096441661E-2,6.357279968E0,-1.200099380E1,6.123765564E-1,8.346041664E-2,-1.219421506E0,1.002409339E0,-8.651701212E-1
9.094641660E-2,6.346652069E0,-1.192106003E1,-1.070274353E0,9.344241663E-2,-1.296082258E0,3.855046630E-1,-9.822117090E-1
1.009294166E-1,5.386548615E0,-1.196312256E1,-2.373015289E0,1.034254166E-1,-1.401880264E0,-7.165185213E-1,-9.404965043E-1
1.109114166E-1,3.860472107E0,-1.231429230E1,-2.723586273E0,1.134074166E-1,-1.555822730E0,-1.590299726E0,-9.534030557E-1
1.208944166E-1,3.405717773E0,-1.218301529E1,-2.546205139E0,1.233904166E-1,-1.769513726E0,-2.172084808E0,-1.072465301E0
1.308764166E-1,3.608545990E0,-1.160910873E1,-2.339335327E0,1.333724166E-1,-1.983552694E0,-2.561805010E0,-1.211292267E0
1.408594167E-1,2.937042389E0,-1.121617584E1,-1.382075958E0,1.433554166E-1,-2.089094639E0,-2.664475918E0,-1.299623489E0
1.508414167E-1,2.203717346E0,-1.017060013E1,7.409591675E-2,1.533374166E-1,-2.071955442E0,-2.659013987E0,-1.334312081E0
1.608234167E-1,1.511856079E0,-8.742270355E0,1.259929962E0,1.633194166E-1,-1.991273284E0,-2.889711857E0,-1.320039630E0
1.708064167E-1,1.215173035E0,-6.728058929E0,1.815275116E0,1.733024166E-1,-1.915054679E0,-3.412804127E0,-1.238361597E0
1.807884166E-1,4.457730103E-1,-4.900209961E0,2.148182831E0,1.832844167E-1,-1.858345032E0,-3.708257198E0,-1.037538409E0
1.907714166E-1,-1.746567993E0,-4.104764099E0,2.559228058E0,1.932674167E-1,-1.855476737E0,-3.839205980E0,-8.230553269E-1
2.007534166E-1,-3.176843719E0,-3.542832642E0,2.405048676E0,2.032494167E-1,-1.880620360E0,-4.053076267E0,-7.005518079E-1
2.107364166E-1,-3.755390625E0,-2.927462311E0,2.039209442E0,2.132324167E-1,-1.933741331E0,-4.315949917E0,-6.739626527E-1
2.207184166E-1,-4.150269470E0,-2.455344086E0,1.608554993E0,2.232144166E-1,-1.925370216E0,-4.330283165E0,-6.169435382E-1
2.307014166E-1,-4.894222412E0,-2.261646881E0,1.368154907E0,2.331974166E-1,-1.767061949E0,-3.972523689E0,-4.874747097E-1
2.406834166E-1,-5.305716705E0,-1.753004608E0,6.580316162E-1,2.431794166E-1,-1.497012615E0,-3.286237955E0,-3.041118085E-1
2.506664166E-1,-5.443879395E0,-1.406475220E0,-3.326083374E-1,2.531624166E-1,-9.403477311E-1,-2.272090912E0,-1.797214746E-1
2.606484166E-1,-5.888454895E0,-1.401236115E0,-1.030756531E0,2.631444166E-1,-2.523581684E-1,-1.239291906E0,-2.374226972E-2
2.706304166E-1,-6.579118652E0,-1.978884888E0,-2.055974579E0,2.731264166E-1,3.614255786E-1,-4.864432812E-1,1.881795377E-1
2.806134166E-1,-6.698570251E0,-3.279230804E0,-2.977158966E0,2.831094166E-1,7.860059142E-1,-1.137440056E-1,3.948096633E-1
2.905954167E-1,-5.830225983E0,-4.782554626E0,-3.354973297E0,2.930914166E-1,1.046067238E0,-1.011841372E-1,4.991380572E-1
3.005784167E-1,-4.256997528E0,-5.760920105E0,-3.318299561E0,3.030744166E-1,1.221034527E0,-2.119141072E-1,4.859647453E-1
3.105604167E-1,-2.863994293E0,-6.176605682E0,-3.014431458E0,3.130564166E-1,1.352535129E0,-3.298766911E-1,4.561365545E-1
3.205434167E-1,-2.408790894E0,-6.488107910E0,-2.749482422E0,3.230394166E-1,1.467610836E0,-4.286088645E-1,4.644035399E-1
3.305254166E-1,-2.526296539E0,-6.831942902E0,-2.528990936E0,3.330214167E-1,1.626654267E0,-4.446106851E-1,4.922536314E-1
3.405084166E-1,-2.706072693E0,-7.235803070E0,-2.208208008E0,3.430044167E-1,1.846110463E0,-4.274722040E-1,5.691415071E-1
3.504904166E-1,-2.917133789E0,-7.612270203E0,-2.264640656E0,3.529864167E-1,2.117904425E0,-3.409851789E-1,5.549784899E-1
3.604734166E-1,-2.187251587E0,-7.603438568E0,-2.855312347E0,3.629694167E-1,2.345811129E0,9.003175423E-3,5.591029525E-1
3.704554166E-1,-2.149679718E0,-8.337661743E0,-4.047133942E0,3.729514166E-1,2.407664299E0,5.742912292E-1,5.699014068E-1
3.804374166E-1,-1.779200134E0,-8.941805420E0,-6.124064941E0,3.829334166E-1,2.190235376E0,1.017632127E0,6.248006225E-1
3.904204166E-1,-1.561852112E0,-9.143136749E0,-8.915460205E0,3.929164166E-1,1.758949637E0,1.174707174E0,7.467420101E-1
4.004024166E-1,-1.591789856E0,-9.337133331E0,-1.091006241E1,4.028984166E-1,1.142441154E0,7.211777568E-1,8.623905778E-1
4.103854166E-1,-9.702822876E-1,-9.436975708E0,-1.158336227E1,4.128814166E-1,2.712696493E-1,1.119328439E-1,8.081022501E-1
4.203674166E-1,9.912387085E-1,-1.023990601E1,-1.132844238E1,4.228634166E-1,-8.564286232E-1,-7.225793600E-1,5.610357523E-1
4.303504166E-1,2.724484406E0,-1.124820923E1,-1.274599457E1,4.328464166E-1,-2.066746712E0,-1.657973766E0,2.290161848E-1
4.403324167E-1,3.917802887E0,-1.227896576E1,-1.443642929E1,4.428284166E-1,-2.800564289E0,-2.188849449E0,-1.830723137E-1
4.503154167E-1,5.526956635E0,-1.269435196E1,-1.237521561E1,4.528114166E-1,-2.513432503E0,-1.932998657E0,-6.697673202E-1
4.602974167E-1,6.803502045E0,-1.122889938E1,-6.220464478E0,4.627934166E-1,-1.527238011E0,-1.310702085E0,-1.145437717E0
4.702804167E-1,6.305637360E0,-8.750652924E0,-2.041604462E0,4.727764166E-1,-3.877865970E-1,-5.818963647E-1,-1.461204529E0
4.802624166E-1,4.362378387E0,-6.393354950E0,-1.190175018E0,4.827584167E-1,5.426683426E-1,1.224135831E-1,-1.628898740E0
4.902454166E-1,2.717748413E0,-5.314548340E0,-1.427731018E0,4.927414167E-1,1.101904511E0,6.225442886E-1,-1.633975029E0
5.002274166E-1,7.387138367E-1,-6.518345032E0,-1.546733551E0,5.027234167E-1,1.335886955E0,5.748077035E-1,-1.487460375E0
5.102094166E-1,-1.250349884E0,-9.176068268E0,-1.460812225E0,5.127054167E-1,1.552786946E0,2.566457093E-1,-1.260801077E0
5.201924166E-1,-2.753973083E0,-1.238509506E1,8.952882385E-1,5.226884166E-1,1.833968282E0,2.904289663E-1,-9.469669461E-1
5.301744166E-1,-4.828059998E0,-1.552436691E1,4.459226990E0,5.326704166E-1,1.905992389E0,7.686282396E-1,-6.916710734E-1
5.401572916E-1,-6.796466675E0,-1.777718216E1,5.618715820E0,5.426532916E-1,1.747096658E0,1.041803479E0,-7.459359169E-1
5.501392917E-1,-7.271728363E0,-1.821951233E1,4.514312439E0,5.526352916E-1,1.549880385E0,4.560791850E-1,-9.564960003E-1
5.601222917E-1,-7.496860199E0,-1.754770935E1,3.086581421E-1,5.626182916E-1,7.288981676E-1,-1.204798579E0,-9.155994058E-1
5.701042917E-1,-7.631729736E0,-1.697844315E1,-1.159339142E1,5.726002916E-1,-6.597569585E-1,-2.673866749E0,-6.830233932E-1
5.800872917E-1,-6.960375824E0,-1.405083115E1,-1.461126572E1,5.825832916E-1,-1.410215974E0,-2.608371258E0,-2.793193460E-1
5.900692916E-1,-6.538403320E0,-9.417216797E0,-6.608008575E0,5.925652917E-1,-1.413762331E0,-1.619159341E0,1.213922501E-1
6.000522916E-1,-5.415288849E0,-5.956114197E0,-2.393522644E-1,6.025482917E-1,-9.529536366E-1,-4.704466164E-1,3.135206699E-1
6.100342916E-1,-4.382286987E0,-3.440744934E0,4.461023254E0,6.125302917E-1,-1.753097028E-1,7.634257078E-1,3.351259828E-1
6.200172916E-1,-4.161496124E0,-1.683998108E0,8.157137146E0,6.225132917E-1,7.080991864E-1,1.902902603E0,2.795354426E-1
6.299992916E-1,-4.253105621E0,-1.178349609E0,9.534572754E0,6.324952916E-1,1.562202811E0,2.665857792E0,3.276426792E-1
6.399812916E-1,-5.097799072E0,-2.448757782E0,9.497599640E0,6.424772916E-1,2.122938633E0,3.075392962E0,5.733789802E-1
6.499642916E-1,-5.950426025E0,-4.904101868E0,8.281079407E0,6.524602916E-1,2.396189928E0,3.338153839E0,8.034632802E-1
6.599462916E-1,-4.678670654E0,-6.828649750E0,7.236252136E0,6.624422916E-1,2.481725931E0,3.266900063E0,8.590226769E-1
6.699292916E-1,-2.342029724E0,-8.343649292E0,6.206094360E0,6.724252916E-1,2.524775982E0,2.862487793E0,8.163367510E-1
6.799112916E-1,-4.656816101E-1,-9.971963196E0,4.792284393E0,6.824072916E-1,2.621641636E0,2.281283379E0,7.667564154E-1
6.898942916E-1,9.548643494E-1,-1.167781586E1,1.979783020E0,6.923902916E-1,2.752364874E0,1.895169854E0,6.986165643E-1
6.998762917E-1,2.493664398E0,-1.336854996E1,-1.726958771E0,7.023722916E-1,2.782260180E0,1.923430204E0,5.772289038E-1
7.098592917E-1,3.803740082E0,-1.434496948E1,-4.134103088E0,7.123552916E-1,2.538812876E0,2.264256716E0,4.002958834E-1
