"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.886249080E-4,-5.861810303E-1,-7.938292236E0,-6.255491638E-1
1.047062501E-2,-2.918930054E-1,-7.980803833E0,-3.273692322E-1
2.045262489E-2,-2.435435486E-1,-8.539591827E0,1.002914429E-1
3.043462499E-2,-3.799099731E-1,-9.442214813E0,5.978567505E-1
4.041762487E-2,-5.203179932E-1,-1.043629761E1,9.960287476E-1
5.039962498E-2,-6.701564026E-1,-1.097757202E1,1.143023071E0
6.038162485E-2,-8.303233337E-1,-1.116692825E1,8.119116211E-1
7.036362495E-2,-7.324269104E-1,-1.125868744E1,-1.034349060E-1
8.034562482E-2,-6.560856628E-1,-1.102921463E1,-1.307081909E0
9.032762493E-2,-6.334826660E-1,-1.072893906E1,-2.537373505E0
1.003096250E-1,-4.885839844E-1,-1.042626846E1,-3.316353607E0
1.102916249E-1,-2.026785278E-1,-1.032537827E1,-3.263064423E0
1.202736250E-1,-1.896556091E-1,-1.053030212E1,-2.317929840E0
1.302556249E-1,-2.451901245E-1,-1.095945969E1,-1.027164001E0
1.402376250E-1,-2.318678284E-1,-1.136152359E1,3.532653809E-2
1.502196249E-1,-2.278262329E-1,-1.181044006E1,6.143225098E-1
1.602016250E-1,-4.167333984E-1,-1.229947311E1,4.604425049E-1
1.701836248E-1,-7.000941467E-1,-1.265722916E1,-3.050656128E-1
1.801656249E-1,-8.500822449E-1,-1.268177811E1,-1.280587006E0
1.901476250E-1,-5.180726624E-1,-1.251981491E1,-1.872905273E0
2.001296249E-1,1.658551025E-1,-1.243898300E1,-1.714384918E0
2.101116250E-1,1.013392639E0,-1.250709137E1,-1.059646454E0
2.200936249E-1,1.882185974E0,-1.282263519E1,-3.347039795E-1
2.300756250E-1,1.508113861E0,-1.332244583E1,6.113287354E-1
2.400576249E-1,5.568420410E-2,-1.401760025E1,6.179150391E-1
2.500406250E-1,-1.152004395E0,-1.433748505E1,-1.199156342E0
2.600226249E-1,-1.901795197E0,-1.346584763E1,-2.619253235E0
2.700046250E-1,-1.945803680E0,-1.205113953E1,-6.111790466E-1
2.799866248E-1,-1.742825775E0,-1.129401398E1,2.772833862E0
2.899686249E-1,-1.498533783E0,-1.091784622E1,4.725672913E0
2.999506250E-1,-1.474733276E0,-1.067370392E1,5.771997070E0
3.099326249E-1,-2.065554657E0,-1.087683151E1,5.716312866E0
3.199146250E-1,-3.277135162E0,-1.121408020E1,4.236041107E0
3.298966249E-1,-4.310885468E0,-1.186447769E1,2.149679718E0
3.398786250E-1,-3.748205566E0,-1.216205887E1,1.696871338E0
3.498606249E-1,-3.233725433E0,-1.159668457E1,2.832709351E0
3.598426250E-1,-8.551716614E-1,-1.129236740E1,7.674540710E-1
3.698246249E-1,2.847229156E0,-1.028750702E1,-7.142846375E0
3.798066250E-1,1.257834320E0,-1.028810577E1,-4.785249023E0
3.897886248E-1,-7.964936829E-1,-1.073836945E1,-2.220482483E0
3.997706249E-1,-1.429078217E0,-1.007973907E1,-1.048719177E0
4.097526250E-1,-2.212848358E0,-9.566606140E0,-4.613406372E-1
4.197346249E-1,-3.154240723E0,-9.361532593E0,2.842588806E-1
4.297166250E-1,-3.294349365E0,-9.148824921E0,6.075865173E-1
4.396996249E-1,-2.162253571E0,-8.759035492E0,7.384144592E-1
4.496816250E-1,-1.142723694E0,-9.010811920E0,7.586224365E-1
4.596636249E-1,1.917512512E-1,-9.308093719E0,3.806584167E-1
4.696456250E-1,1.231339417E0,-9.486073608E0,-3.132984924E-1
4.796276249E-1,1.122366028E0,-9.515113220E0,-8.845106506E-1
4.896096250E-1,2.647993469E-1,-9.213640137E0,-1.053509216E0
4.995916248E-1,-5.438191223E-1,-8.809330902E0,-1.029858398E0
5.095736249E-1,-9.160949707E-1,-7.580386505E0,-8.292755127E-1
5.195556250E-1,-1.711241455E0,-6.887327728E0,-6.953041077E-1
5.295376249E-1,-1.965712280E0,-6.321654053E0,-8.081694031E-1
5.395196250E-1,-2.583327942E0,-5.735023956E0,-7.710466003E-1
5.495016249E-1,-2.812800751E0,-5.284161530E0,-8.819659424E-1
5.594836250E-1,-3.222798157E0,-5.169499969E0,-7.762857056E-1
5.694656249E-1,-3.252586212E0,-5.033133545E0,-8.586145020E-1
5.794476250E-1,-3.135379944E0,-4.722529449E0,-1.036744080E0
5.894296248E-1,-3.130889282E0,-4.514611816E0,-1.104104004E0
5.994116249E-1,-3.079695740E0,-4.443809052E0,-1.050365753E0
6.093946248E-1,-2.771336975E0,-4.427642670E0,-1.034199371E0
6.193766249E-1,-2.512076111E0,-4.453089752E0,-9.852511597E-1
6.293586250E-1,-2.521656189E0,-4.681814117E0,-9.243278503E-1
6.393406249E-1,-2.501148834E0,-4.956043854E0,-1.331930237E0
6.493226250E-1,-2.168390808E0,-5.123994598E0,-1.487606506E0
6.593046249E-1,-2.064357147E0,-5.604345703E0,-1.641037445E0
6.692866250E-1,-2.025288391E0,-6.450386353E0,-2.102677460E0
6.792686249E-1,-1.759740601E0,-7.399412842E0,-2.705923004E0
6.892506250E-1,-1.261576538E0,-8.294102325E0,-3.635789337E0
6.992326248E-1,-1.081501007E0,-9.303153992E0,-4.794529724E0
7.092146249E-1,-1.042282562E0,-1.043884232E1,-6.277944946E0
7.191966248E-1,-4.866380310E-1,-1.144355301E1,-8.099357300E0
7.291786249E-1,-2.899470520E-1,-1.246607666E1,-9.865534515E0
7.391606250E-1,-4.584965515E-1,-1.359443024E1,-1.181014069E1
7.491426249E-1,-3.552113342E-1,-1.530522263E1,-1.385578674E1
7.591246250E-1,7.460485840E-1,-1.640453659E1,-1.476813950E1
7.691076249E-1,2.265239410E0,-1.546434174E1,-1.182615738E1
7.790896250E-1,2.597847748E0,-1.338277039E1,-6.796915741E0
7.890716249E-1,2.042801971E0,-1.110226273E1,-3.465443573E0
7.990536250E-1,1.352437592E0,-9.004075928E0,-2.611319733E0
8.090356248E-1,8.623567200E-1,-7.965834961E0,-2.940784607E0
8.190176249E-1,2.706372070E-1,-8.306825867E0,-2.886746979E0
8.289996251E-1,-2.362088013E-1,-9.429042206E0,-2.498005371E0
8.389816249E-1,-4.041595459E-1,-9.905501404E0,-2.156864777E0
8.489636250E-1,-4.147874451E-1,-9.538015594E0,-1.893113251E0
8.589456249E-1,-7.358697510E-1,-9.221723328E0,-9.598040771E-1
8.689276250E-1,-1.538350983E0,-1.006282425E1,1.036444702E0
8.789096249E-1,-2.985840912E0,-1.230471222E1,2.999163208E0
8.888916250E-1,-4.540358276E0,-1.536240372E1,4.162543945E0
8.988736249E-1,-5.765111389E0,-1.674103683E1,4.192481689E0
9.088566250E-1,-6.185736694E0,-1.598046844E1,2.921774139E0
9.188386248E-1,-5.748645630E0,-1.480211884E1,-4.700225830E-2
9.288206249E-1,-3.774850159E0,-1.275602371E1,-5.210664368E0
9.388026251E-1,-1.706451416E0,-1.030531998E1,-9.296417999E0
9.487846249E-1,-3.058589630E0,-7.874824219E0,-6.353687439E0
9.587666250E-1,-4.759053497E0,-5.303321686E0,-1.815574493E0
9.687486249E-1,-5.428311768E0,-3.523971863E0,9.211843872E-1
9.787306250E-1,-5.526357880E0,-2.837200012E0,2.198328552E0
9.887126249E-1,-5.202431488E0,-2.989134064E0,2.467169495E0
9.986946250E-1,-4.692142639E0,-3.749253387E0,2.987337799E0
1.008676625E0,-3.955075378E0,-5.009632416E0,4.082909546E0
1.018658625E0,-2.973267059E0,-6.811884613E0,5.281317444E0
1.028640625E0,-1.007704468E0,-9.179660797E0,5.836363220E0
1.038622625E0,1.010997620E0,-1.197554672E1,5.529501343E0
1.048604625E0,2.903063049E0,-1.401295990E1,4.859045563E0
1.058587625E0,5.031486969E0,-1.505015305E1,4.011657715E0
1.068569625E0,6.914720764E0,-1.519609955E1,2.902015228E0
1.078551625E0,8.066725159E0,-1.433134781E1,1.273551636E0
1.088533625E0,7.097041626E0,-1.295391220E1,-5.010081482E-1
1.098515625E0,3.754342804E0,-1.182181641E1,-1.559157715E0
1.108497625E0,2.417472839E-1,-1.065409470E1,-2.150278473E0
1.118479625E0,-2.332000580E0,-9.274563446E0,-2.858306122E0
1.128461625E0,-4.144132233E0,-8.007897491E0,-3.298241272E0
1.138443625E0,-5.421426086E0,-7.308851166E0,-2.705923004E0
1.148425625E0,-5.890849915E0,-6.984026642E0,-1.273551636E0
1.158407625E0,-5.545817413E0,-6.839427338E0,-1.800755310E-1
1.168389625E0,-4.542154541E0,-6.923253021E0,2.992277527E-1
1.178371625E0,-3.383713531E0,-7.226222992E0,9.818083191E-1
