"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.984624822E-3,7.783867717E-1,5.037032962E-1,4.581913054E-1
1.296662493E-2,5.539442897E-1,3.414440155E-1,5.298196077E-1
2.294862503E-2,4.673159420E-1,1.210554130E-2,5.610888004E-1
3.293062490E-2,5.345757008E-1,-3.956076801E-1,5.220778584E-1
4.291362502E-2,7.068675756E-1,-7.259249091E-1,4.253238738E-1
5.289562489E-2,9.019104838E-1,-8.166702986E-1,3.329067528E-1
6.287762499E-2,1.014524102E0,-6.969995499E-1,2.134415954E-1
7.285962487E-2,9.986923337E-1,-4.405395389E-1,1.128875092E-1
8.284162497E-2,8.188602924E-1,-1.210212037E-1,6.577166170E-2
9.282362484E-2,4.651014209E-1,1.889716238E-1,7.617060840E-2
1.028056249E-1,-6.020011846E-3,3.600573540E-1,1.029481590E-1
1.127876248E-1,-4.258696437E-1,3.554778695E-1,1.434508711E-1
1.227696249E-1,-6.708099246E-1,1.996102333E-1,1.507508755E-1
1.327516250E-1,-7.386350036E-1,-9.674493223E-3,1.177356616E-1
1.427336249E-1,-7.054416537E-1,-1.570940465E-1,4.522816837E-2
1.527156250E-1,-6.578060985E-1,-2.301063985E-1,-4.136704654E-2
1.626976249E-1,-6.579690576E-1,-2.851198614E-1,-1.110529155E-1
1.726796250E-1,-7.841762900E-1,-2.491943985E-1,-1.447277218E-1
1.826616249E-1,-1.068740129E0,-1.044446751E-1,-1.548011154E-1
1.926436250E-1,-1.456182480E0,4.804623127E-2,-1.577995270E-1
2.026256248E-1,-1.831950545E0,9.858343750E-2,-1.874732673E-1
2.126076249E-1,-2.178684473E0,2.419374324E-2,-2.916480005E-1
2.225896250E-1,-2.466937780E0,-2.015632093E-1,-3.523015082E-1
2.325716249E-1,-2.612828255E0,-7.260046601E-1,-3.014429808E-1
2.425536250E-1,-2.733766794E0,-1.479663849E0,-2.097953558E-1
2.525366249E-1,-2.970582247E0,-1.902087331E0,-1.102022156E-1
2.625186250E-1,-3.176212549E0,-1.423952699E0,1.901409030E-2
2.725006249E-1,-3.174707413E0,-3.837027848E-1,1.581938863E-1
2.824826250E-1,-3.068325996E0,3.939503729E-1,2.254602760E-1
2.924646249E-1,-2.898035288E0,6.129850745E-1,2.092010826E-1
3.024466250E-1,-2.642137051E0,3.436042666E-1,1.146945506E-1
3.124286248E-1,-2.410819530E0,-8.299913257E-2,-1.624652371E-2
3.224106249E-1,-2.239190102E0,-4.354059100E-1,-1.447629482E-1
3.323926250E-1,-2.090094805E0,-1.362344623E-2,-1.689119935E-1
3.423746249E-1,-1.805291772E0,1.198988676E0,-1.578332484E-1
3.523566250E-1,-1.467591286E0,2.728613138E0,-2.213174850E-1
3.623386249E-1,-1.728997827E0,8.666736484E-1,-5.325807929E-1
3.723206250E-1,-2.098866463E0,-8.572393656E-1,-7.374026775E-1
3.823026249E-1,-2.267664671E0,-1.233144045E0,-6.093479991E-1
3.922846250E-1,-2.241452217E0,-1.018112183E0,-5.436988473E-1
4.022666248E-1,-2.093543768E0,-7.369281650E-1,-5.312640071E-1
4.122486250E-1,-1.866678953E0,-4.532458186E-1,-4.656893313E-1
4.222306248E-1,-1.647237897E0,-3.280043006E-1,-3.444766104E-1
4.322126249E-1,-1.507209778E0,-5.793926716E-1,-3.522190452E-1
4.421956250E-1,-1.445462584E0,-1.056419969E0,-4.102317393E-1
4.521776249E-1,-1.437163830E0,-1.386943340E0,-5.320912004E-1
4.621596250E-1,-1.461277127E0,-1.319419622E0,-7.705320120E-1
4.721416249E-1,-1.454384327E0,-1.124696493E0,-9.789932966E-1
4.821236250E-1,-1.395722508E0,-9.708415270E-1,-1.107862115E0
4.921056249E-1,-1.264948010E0,-1.049334168E0,-1.118596315E0
5.020876250E-1,-1.112568617E0,-1.131438375E0,-1.213441014E0
5.120696248E-1,-8.984954953E-1,-1.083999515E0,-1.198153734E0
5.220516250E-1,-6.656625271E-1,-1.093510270E0,-1.143981218E0
5.320336248E-1,-4.644111097E-1,-9.718247652E-1,-1.049435496E0
5.420156249E-1,-3.107746840E-1,-9.178571105E-1,-9.701206088E-1
5.519976250E-1,-1.695712954E-1,-7.569879293E-1,-8.632372022E-1
5.619796249E-1,-8.536349982E-3,-5.643519163E-1,-7.369312048E-1
5.719616250E-1,1.426263452E-1,-3.678506315E-1,-6.232726574E-1
5.819436249E-1,2.981408536E-1,-1.637124121E-1,-5.218358040E-1
5.919256250E-1,4.671081603E-1,3.346306831E-2,-3.960426152E-1
6.019076249E-1,6.423580050E-1,1.404984444E-1,-2.631458342E-1
6.118906250E-1,8.142911792E-1,1.806414425E-1,-1.346645802E-1
6.218726248E-1,9.926998019E-1,2.213619798E-1,8.937590756E-3
6.318546250E-1,1.132912874E0,1.854657680E-1,1.709609777E-1
6.418366248E-1,1.292505741E0,1.632097214E-1,2.777700126E-1
