"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.984624822E-3,9.218489233E-1,1.526065983E0,-1.994588024E0
1.296662493E-2,1.405040752E0,1.636710505E0,-1.879182406E0
2.294862503E-2,1.630071577E0,1.315817065E0,-1.542584367E0
3.293062490E-2,1.603693471E0,5.416100442E-1,-1.118646614E0
4.291362502E-2,1.481086276E0,-4.650068414E-1,-7.017502244E-1
5.289562489E-2,1.382883020E0,-1.320393680E0,-5.242252488E-1
6.287762499E-2,1.213186005E0,-1.610660575E0,-6.613481569E-1
7.285962487E-2,1.195347904E0,-1.835392461E0,-1.441736269E0
8.284162497E-2,1.304609853E0,-1.759193301E0,-2.614838587E0
9.282362484E-2,1.348187981E0,-1.492810528E0,-3.943245876E0
1.028056249E-1,1.418070687E0,-1.172463802E0,-5.023009091E0
1.127876248E-1,1.686193445E0,-9.575891519E-1,-5.385808942E0
1.227696249E-1,1.892663454E0,-9.850389057E-1,-4.805369292E0
1.327516250E-1,1.837157590E0,-1.332982151E0,-3.516945848E0
1.427336249E-1,1.834432349E0,-1.753194058E0,-2.241374731E0
1.527156250E-1,1.859410192E0,-2.141086650E0,-1.321460359E0
1.626976249E-1,1.750780474E0,-2.614106516E0,-1.037568683E0
1.726796250E-1,1.485452831E0,-3.045854979E0,-1.482710779E0
1.826616249E-1,1.204834426E0,-3.231107635E0,-2.338059319E0
1.926436250E-1,1.253109039E0,-3.108313183E0,-3.066726031E0
2.026256248E-1,1.798541847E0,-2.933538153E0,-3.128273823E0
2.126076249E-1,2.535207404E0,-2.900975009E0,-2.489233378E0
2.225896250E-1,3.441566468E0,-3.058093202E0,-1.525910447E0
2.325716249E-1,3.812475822E0,-3.428357608E0,-4.845494056E-1
2.425536250E-1,2.682032450E0,-4.044728982E0,4.920502504E-1
2.525366249E-1,1.230522560E0,-4.650517480E0,-2.274362236E-1
2.625186250E-1,2.605951989E-1,-4.423818006E0,-2.077705171E0
2.725006249E-1,-1.506124346E-1,-3.110077872E0,-1.613751998E0
2.824826250E-1,3.140817270E-2,-1.974651504E0,1.912385674E0
2.924646249E-1,2.796232080E-1,-1.531971670E0,4.966772325E0
3.024466250E-1,4.536359073E-1,-1.223092504E0,6.629147429E0
3.124286248E-1,2.474886650E-1,-1.214139832E0,7.482371968E0
3.224106249E-1,-7.467451335E-1,-1.602058151E0,6.875600553E0
3.323926250E-1,-1.973503549E0,-2.043380846E0,5.156065407E0
3.423746249E-1,-2.430266401E0,-2.760414376E0,3.846404876E0
3.523566250E-1,-1.562939840E0,-2.615942541E0,4.421717101E0
3.623386249E-1,-8.012275887E-1,-2.044560229E0,5.252742101E0
3.723206250E-1,3.160908303E0,-1.632840818E0,-5.706964338E-1
3.823026249E-1,4.165532457E0,-7.773715335E-1,-4.212089742E0
3.922846250E-1,1.610640256E0,-1.485934203E0,2.810668856E-2
4.022666248E-1,3.719872883E-1,-1.372625104E0,1.632774452E0
4.122486250E-1,-1.706414871E-1,-6.867841297E-1,2.766603069E0
4.222306248E-1,-1.145718784E0,-4.430131245E-1,3.421777444E0
4.322126249E-1,-1.903879583E0,-3.427783996E-1,4.265702278E0
4.421956250E-1,-1.262126907E0,-4.531007409E-3,4.485221664E0
4.521776249E-1,-1.033571380E-1,1.839417100E-2,4.725389323E0
4.621596250E-1,9.960676315E-1,-3.935456800E-1,4.669194949E0
4.721416249E-1,2.350955353E0,-6.327751529E-1,4.203525033E0
4.821236250E-1,2.753672537E0,-8.482579136E-1,3.621021902E0
4.921056249E-1,2.139801432E0,-7.150051314E-1,3.362135552E0
5.020876250E-1,1.134704238E0,-4.088700628E-1,3.401986373E0
5.120696248E-1,6.064675064E-1,3.438835233E-1,3.587279667E0
5.220516250E-1,-9.799290240E-2,1.450111821E0,3.858302790E0
5.320336248E-1,-6.605968628E-1,1.936490235E0,3.880250022E0
5.420156249E-1,-1.104142742E0,2.550710419E0,3.835082912E0
5.519976250E-1,-1.626610902E0,3.080667547E0,3.819285489E0
5.619796249E-1,-1.944410874E0,3.396408421E0,3.813000317E0
5.719616250E-1,-2.258447869E0,3.431541417E0,3.853802773E0
5.819436249E-1,-2.198389656E0,3.725844060E0,3.675011583E0
5.919256250E-1,-2.146796310E0,4.036123050E0,3.492308605E0
6.019076249E-1,-2.231379939E0,4.173746626E0,3.460693295E0
6.118906250E-1,-2.026739962E0,4.258489738E0,3.438525331E0
6.218726248E-1,-1.735683694E0,4.292162098E0,3.376907957E0
6.318546250E-1,-1.587284869E0,4.243189913E0,3.380782322E0
6.418366248E-1,-1.667679114E0,3.969729086E0,3.114840137E0
6.518186249E-1,-1.404453253E0,3.854274643E0,2.611502751E0
6.618006250E-1,-1.143515188E0,3.622893303E0,2.422258493E0
6.717826249E-1,-1.092732412E0,3.003147501E0,1.934872895E0
6.817646250E-1,-9.313828815E-1,2.128752533E0,1.234078252E0
6.917466249E-1,-4.872731117E-1,1.281938297E0,2.977334967E-1
7.017286250E-1,-4.716349527E-2,4.310333490E-1,-9.606147936E-1
7.117106249E-1,-6.269187279E-2,-6.107808512E-1,-2.422679200E0
7.216926250E-1,3.012763247E-1,-1.638442451E0,-4.293178344E0
7.316746248E-1,7.953124722E-1,-2.587922684E0,-6.249341537E0
7.416566249E-1,7.269015109E-1,-3.613807899E0,-8.123589331E0
7.516386250E-1,6.821647563E-1,-5.019103151E0,-1.024044629E1
7.616206249E-1,1.176135927E0,-6.704872380E0,-1.191617643E1
7.716036250E-1,2.714391527E0,-6.822524791E0,-1.110787254E1
7.815856249E-1,3.655958723E0,-5.162882676E0,-6.425056214E0
7.915676250E-1,3.345883508E0,-2.912803341E0,-1.960590119E0
8.015496249E-1,2.547076959E0,-6.300000644E-1,9.090022981E-2
8.115316250E-1,1.874832223E0,1.051824049E0,5.877738118E-2
8.215136249E-1,1.321345607E0,1.412991942E0,-2.294187221E-1
8.314956250E-1,6.736833700E-1,5.664496011E-1,-4.303463012E-2
8.414776248E-1,3.596644275E-1,-3.636921358E-1,2.444706246E-1
8.514596249E-1,3.028003284E-1,-2.949885213E-1,3.491100571E-1
8.614416250E-1,2.072226184E-1,2.345341587E-1,6.543152721E-1
8.714236249E-1,-3.127250268E-1,9.379810989E-2,1.982181256E0
8.814056250E-1,-1.474079119E0,-1.384671537E0,3.914712049E0
8.913876249E-1,-3.009332685E0,-4.226555754E0,5.289031091E0
