"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
-3.050208325E-3,-8.307723999E-2,-8.290659485E0,-1.342707825E0,5.684791598E-3,1.430282950E0,6.473531723E-1,-6.630619764E-1
6.931791664E-3,-1.467997284E0,-7.609575806E0,-1.200204163E0,1.566679159E-2,1.383351088E0,2.406136096E-1,-4.949355125E-1
1.691379165E-2,-2.532284088E0,-7.016359406E0,-9.598040771E-1,2.564879158E-2,1.321167469E0,-4.363785684E-2,-2.501242757E-1
2.689579164E-2,-3.319946136E0,-6.563700714E0,-7.394622803E-1,3.563079168E-2,1.249652267E0,-1.396304220E-1,2.257275395E-2
3.687779163E-2,-3.545826416E0,-6.232439575E0,-4.846920776E-1,4.561279167E-2,1.129949689E0,-9.809790552E-2,2.706125677E-1
4.686079163E-2,-3.314407654E0,-6.384373627E0,-4.156855774E-1,5.559579167E-2,1.000372767E0,7.114811242E-2,4.322382212E-1
5.684279162E-2,-2.523003387E0,-7.008874969E0,-5.285508728E-1,6.557779165E-2,9.254103899E-1,1.435611546E-1,5.127524137E-1
6.682479160E-2,-1.381626892E0,-7.849227448E0,-1.901046753E-1,7.555979164E-2,9.041903019E-1,1.666808575E-1,5.110911131E-1
7.680679159E-2,-2.092648315E-1,-8.345445557E0,2.573149109E-1,8.554179163E-2,9.468743205E-1,2.822304070E-1,4.966045320E-1
8.678879158E-2,5.813909912E-1,-8.644822998E0,4.945715332E-1,9.552379162E-2,1.042836785E0,4.624294937E-1,4.209140241E-1
9.677079169E-2,1.100062408E0,-8.866511993E0,6.042933655E-1,1.055057916E-1,1.159391761E0,6.641946435E-1,3.333671987E-1
1.067527917E-1,1.416803741E0,-8.962163086E0,4.584965515E-1,1.154877916E-1,1.244830012E0,7.970743775E-1,2.745275795E-1
1.167347917E-1,1.217268677E0,-9.094487915E0,1.318757629E-1,1.254697916E-1,1.257216454E0,9.069771767E-1,2.264408022E-1
1.267167917E-1,1.003812561E0,-9.138945465E0,-3.336561584E-1,1.354517916E-1,1.237452030E0,1.002624869E0,2.302227616E-1
1.366987916E-1,5.578898621E-1,-9.038204956E0,-4.555027771E-1,1.454337917E-1,1.217143536E0,1.039883494E0,2.963120937E-1
1.466807916E-1,1.085243225E-1,-8.800948334E0,-2.335144043E-1,1.554157917E-1,1.185190916E0,9.513606429E-1,3.471220136E-1
1.566627916E-1,-1.338217163E-1,-8.541687469E0,2.245330811E-3,1.653977917E-1,1.177001595E0,8.157942891E-1,4.028740227E-1
1.666447916E-1,-1.657054138E-1,-8.372838593E0,1.535806274E-1,1.753797916E-1,1.217409253E0,6.880086064E-1,4.853966236E-1
1.766267916E-1,-4.297563171E-1,-8.270002441E0,3.140469360E-1,1.853617916E-1,1.291566014E0,5.522214174E-1,5.858804584E-1
1.866087916E-1,-7.255412292E-1,-8.114775238E0,3.239263916E-1,1.953437916E-1,1.347687602E0,3.759653866E-1,6.501382589E-1
1.965907916E-1,-7.526348877E-1,-8.313112793E0,-7.903564453E-2,2.053257916E-1,1.332631469E0,1.581162959E-1,6.688864231E-1
2.065727917E-1,-5.623805237E-1,-8.724158020E0,-7.396119690E-1,2.153077916E-1,1.246833682E0,2.179707214E-2,6.669694781E-1
