"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
1.379887527E-2,6.881190491E0,-5.839806061E0,-2.896925812E0,1.379887527E-2,3.570967019E-1,-1.453681111E0,4.018449783E-2
2.375987498E-2,6.408024445E0,-4.117637329E0,-3.118914185E0,2.375987498E-2,4.303054512E-1,-1.495854616E0,-1.720426604E-2
3.371987538E-2,5.598657532E0,-2.120191040E0,-3.592529297E0,3.371987538E-2,4.048219323E-1,-1.612816095E0,-2.477743477E-1
4.368087510E-2,4.590803375E0,-5.002597046E-1,-3.101101227E0,4.368087510E-2,2.559576333E-1,-1.645053983E0,-5.708740354E-1
5.364087503E-2,3.452720032E0,2.037263489E-1,-2.536475372E0,5.364087503E-2,9.558687359E-2,-1.620283484E0,-8.968361616E-1
6.360087497E-2,2.494712219E0,8.562194824E-2,-1.665287018E0,6.360087497E-2,1.644632965E-2,-1.733846426E0,-1.082651258E0
7.356187515E-2,1.842967529E0,-8.111631775E-1,-1.012943573E0,7.356187515E-2,2.256320417E-1,-1.893116474E0,-1.040199399E0
8.352187509E-2,1.858984222E0,-1.942809906E0,-9.310638428E-2,8.352187509E-2,6.435629129E-1,-2.057374954E0,-7.455152273E-1
9.348287527E-2,2.114802246E0,-2.532284088E0,-2.070195007E-1,9.348287527E-2,1.109375358E0,-2.282834053E0,-4.636369944E-1
1.034428752E-1,2.540666656E0,-3.598965912E0,-4.300556946E-1,1.034428752E-1,1.522281170E0,-2.417213202E0,-2.749761343E-1
1.134038754E-1,2.922971649E0,-4.772226105E0,-7.927514648E-1,1.134038754E-1,1.688933492E0,-2.178687572E0,-2.438304387E-2
1.233638753E-1,2.948718109E0,-6.670428772E0,-7.800279236E-1,1.233638753E-1,1.682338715E0,-1.562648416E0,4.852452576E-1
1.333238753E-1,2.843037872E0,-8.985065460E0,-8.652008057E-1,1.333238753E-1,1.582150102E0,-8.969630599E-1,1.239816189E0
1.432848750E-1,3.410208435E0,-1.009425888E1,-1.650318146E0,1.432848750E-1,1.411418676E0,-3.214988410E-1,1.975953460E0
1.532445000E-1,4.656816101E0,-9.823771362E0,-2.787503357E0,1.532445000E-1,1.401583910E0,-1.194341332E-1,2.406695366E0
1.632055002E-1,5.406906281E0,-8.124654694E0,-3.487747192E0,1.632055002E-1,1.515699625E0,-1.138071269E-1,2.495681047E0
1.731655002E-1,5.661826172E0,-6.855593719E0,-4.573289795E0,1.731655002E-1,1.618919253E0,-3.132845461E-1,2.385096312E0
1.831265003E-1,5.162464600E0,-7.006779327E0,-5.841752014E0,1.831265003E-1,1.702992916E0,-1.071911216E0,2.286715984E0
1.930865003E-1,4.329147491E0,-7.817493439E0,-7.385641479E0,1.930865003E-1,1.687965989E0,-1.912589431E0,2.182960272E0
2.030475000E-1,3.956871643E0,-8.824449463E0,-8.681945801E0,2.030475000E-1,1.474065185E0,-2.235026836E0,2.014897823E0
2.130075004E-1,4.055666199E0,-9.924811249E0,-1.019350250E1,2.130075004E-1,8.817232847E-1,-2.039309263E0,1.925360680E0
2.229675003E-1,4.637655945E0,-1.101185074E1,-9.365574188E0,2.229675003E-1,2.497441024E-1,-1.568383336E0,1.834705353E0
2.329285000E-1,6.315067749E0,-1.053164932E1,-7.548353119E0,2.329285000E-1,-2.844260633E-1,-1.012571692E0,1.776826859E0
2.428885000E-1,7.200476532E0,-9.804611206E0,-6.304290161E0,2.428885000E-1,-6.493643522E-1,-6.074716449E-1,1.614689350E0
2.528495002E-1,6.925498352E0,-8.930429077E0,-5.901627502E0,2.528495002E-1,-9.309752584E-1,-4.968263507E-1,1.339854836E0
2.628095001E-1,4.703369293E0,-9.079369354E0,-5.674849091E0,2.628095001E-1,-1.157681108E0,-5.316512585E-1,1.330679178E0
2.727705003E-1,1.516346741E0,-1.061053528E1,-5.042264557E0,2.727705003E-1,-1.237911224E0,-6.990317106E-1,1.628712177E0
2.827305002E-1,-5.517526245E-1,-1.220397171E1,-3.382066956E0,2.827305002E-1,-9.617523551E-1,-6.972624660E-1,2.102338552E0
2.926905002E-1,-1.162482605E0,-1.182960022E1,1.926493835E-1,2.926905002E-1,-4.513727129E-1,-2.016327828E-1,2.524802446E0
3.026515003E-1,-5.227130127E-1,-1.234123627E1,3.035238190E0,3.026515003E-1,2.332877964E-1,4.115138948E-1,2.671333075E0
3.126115003E-1,1.009051666E0,-1.359128677E1,3.480562134E0,3.126115003E-1,6.144535542E-1,9.362086058E-1,2.721383572E0
3.225725000E-1,-3.465293884E-1,-1.365280884E1,5.313949585E-2,3.225725000E-1,6.980278492E-1,1.319045901E0,2.777511597E0
3.325325004E-1,-8.622070313E-1,-1.238988510E1,-8.821156311E-1,3.325325004E-1,6.750642061E-1,1.521591067E0,2.645050526E0
3.424935001E-1,4.155358887E-1,-1.191207870E1,-1.745220795E0,3.424935001E-1,4.383143485E-1,1.434857249E0,2.357027769E0
3.524535000E-1,1.246907043E0,-1.136331985E1,-2.668500824E0,3.524535000E-1,1.886110157E-1,8.847983479E-1,2.100039482E0
3.624135000E-1,5.899232483E-1,-1.002854553E1,-2.714604950E0,3.624135000E-1,8.714359999E-2,-7.728967071E-2,1.925525069E0
3.723745001E-1,-2.098635864E-1,-1.125524460E1,-2.445314941E0,3.723745001E-1,1.070137173E-1,-8.595740199E-1,2.043191671E0
3.823345001E-1,-7.328759766E-1,-1.286230270E1,-7.593708801E-1,3.823345001E-1,2.990569174E-1,-1.248752594E0,2.363520145E0
3.922955003E-1,7.438032532E-1,-1.313877777E1,1.150657196E0,3.922955003E-1,5.530492663E-1,-1.206665635E0,2.592687368E0
4.022555002E-1,2.516866150E0,-1.302172119E1,2.067500610E0,4.022555002E-1,8.231948614E-1,-8.973554373E-1,2.729709625E0
4.122165004E-1,4.700824585E0,-1.318922287E1,1.985022125E0,4.122165004E-1,1.222943544E0,-7.571232319E-1,2.590243578E0
4.221765003E-1,6.700366516E0,-1.469030136E1,2.591710510E0,4.221765003E-1,1.849321961E0,-7.186528444E-1,2.329432249E0
4.321375000E-1,6.212530975E0,-1.409004959E1,3.263663177E0,4.321375000E-1,2.565254211E0,-7.083599567E-1,2.121403217E0
4.420975000E-1,4.093238068E0,-1.298714310E1,2.440075836E0,4.420975000E-1,2.977925062E0,-7.846028209E-1,1.992184877E0
4.520575004E-1,1.867067413E0,-1.028391449E1,-1.553170166E0,4.520575004E-1,2.718975544E0,-1.139547348E0,1.968407989E0
4.620185001E-1,-2.347867584E0,-8.304131470E0,-5.295537872E0,4.620185001E-1,2.177293539E0,-1.403758645E0,2.263693571E0
4.719785000E-1,-7.262747040E0,-5.839506683E0,-4.926555176E0,4.719785000E-1,1.642452836E0,-1.105377197E0,2.585590124E0
4.819395002E-1,-1.093416229E1,-5.215454407E0,-3.957021332E0,4.819395002E-1,1.202584982E0,-6.539186239E-1,3.303541660E0
4.918995001E-1,-1.165970352E1,-5.467380524E0,-3.568429413E0,4.918995001E-1,7.828609347E-1,-2.168374509E-1,3.108691454E0
5.018605003E-1,-6.647376709E0,-3.726351013E0,-2.079625397E0,5.018605003E-1,3.423444331E-1,3.994726837E-1,2.057524204E0
5.118205003E-1,-4.096830597E0,-7.453450470E0,-2.221530304E0,5.118205003E-1,3.574365675E-1,-7.654204965E-2,2.185095310E0
5.217805002E-1,-7.909552002E-1,-7.776329041E0,-1.153650970E0,5.217805002E-1,5.178779960E-1,-6.546717882E-1,2.192279100E0
5.317415004E-1,2.165247345E0,-7.059619446E0,5.499563599E-1,5.317415004E-1,7.162185311E-1,-1.051595211E0,2.102539778E0
5.417015003E-1,4.995711365E0,-5.981261902E0,1.097517700E0,5.417015003E-1,8.771412969E-1,-1.146098137E0,1.017440200E0
5.516625000E-1,4.633464661E0,-8.008346558E0,1.626817017E0,5.516625000E-1,1.175846219E0,-9.446920156E-1,1.576291174E-1
5.616225000E-1,2.823877716E0,-9.456884308E0,2.091450806E0,5.616225000E-1,1.462927461E0,-3.170921206E-1,-3.414421678E-1
5.715835001E-1,-4.135899353E-1,-9.433532867E0,1.176403656E0,5.715835001E-1,1.598776579E0,2.940557003E-1,-5.220037103E-1
5.815435001E-1,-3.268303528E0,-1.036893768E1,-7.467970276E-1,5.815435001E-1,1.527495742E0,6.942901611E-1,-4.298969209E-1
5.915045002E-1,-5.014572144E0,-1.071606583E1,-1.989662476E0,5.915045002E-1,1.362893224E0,9.092709422E-1,-1.933693588E-1
6.014645002E-1,-6.021827545E0,-1.056772430E1,-2.567760315E0,6.014645002E-1,1.183551788E0,1.005453587E0,5.168915913E-2
6.114245001E-1,-5.684878235E0,-1.018916153E1,-3.038980408E0,6.114245001E-1,1.000007868E0,9.549520016E-1,2.185431123E-1
6.213855003E-1,-3.971092072E0,-9.905651093E0,-4.027824097E0,6.213855003E-1,6.886076927E-1,6.783444285E-1,2.461395562E-1
6.313455002E-1,-2.171833649E0,-9.677525482E0,-4.645290070E0,6.313455002E-1,3.167414367E-1,4.387997687E-1,2.019513249E-1
6.413065000E-1,-1.018781433E0,-9.249266052E0,-3.943399658E0,6.413065000E-1,2.652035467E-2,3.925586343E-1,1.022311896E-1
6.512665004E-1,-2.939886475E-1,-8.976233826E0,-3.339106293E0,6.512665004E-1,-7.078383118E-2,3.777967393E-1,-5.367931351E-2
6.612275001E-1,5.089416504E-3,-8.523575134E0,-2.479743347E0,6.612275001E-1,-1.159631759E-1,5.205574632E-1,-2.875468433E-1
6.711875000E-1,-2.676434326E-1,-8.493038635E0,-1.580413513E0,6.711875000E-1,-1.386948526E-1,7.958350778E-1,-6.015652418E-1
6.811475004E-1,-9.041198730E-1,-9.143436127E0,-8.406518555E-1,6.811475004E-1,-9.103326499E-2,1.012334943E0,-7.726676464E-1
6.911085001E-1,-1.824705505E0,-9.690698090E0,-2.764750671E-1,6.911085001E-1,3.272089735E-2,1.270442963E0,-5.201931000E-1
7.010685001E-1,-2.006128235E0,-9.818532257E0,1.484912109E-1,7.010685001E-1,2.644017935E-1,1.413412094E0,-2.764171660E-1
7.110295002E-1,-1.248852997E0,-9.413624268E0,-5.197192383E-1,7.110295002E-1,5.664919019E-1,1.154548526E0,-1.840249300E-1
7.209895002E-1,-3.061134338E-1,-9.202114105E0,-1.631607056E0,7.209895002E-1,7.846871614E-1,6.819198132E-1,-2.208392620E-1
7.309505004E-1,4.677772522E-1,-9.931547241E0,-2.721340942E0,7.309505004E-1,8.056643605E-1,3.304691315E-1,-3.491887152E-1
7.409105003E-1,1.120270386E0,-1.060843964E1,-3.618575134E0,7.409105003E-1,6.344547272E-1,2.018549293E-1,-4.913206697E-1
7.508715000E-1,1.647174683E0,-1.130883316E1,-4.341571655E0,7.508715000E-1,3.485353887E-1,2.016642541E-1,-6.707708240E-1
7.608315004E-1,1.739233246E0,-1.242610977E1,-4.681215363E0,7.608315004E-1,7.925610244E-2,1.948037446E-1,-8.213938475E-1
7.707915003E-1,1.246757355E0,-1.341121124E1,-4.047133942E0,7.707915003E-1,-1.856975257E-1,2.666342556E-1,-9.372419119E-1
