"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.101595839E-2,6.183307171E-1,7.702315450E-1,-9.753777087E-2
2.099895850E-2,4.655228555E-1,5.565744042E-1,-1.608419046E-2
3.098095837E-2,2.815705240E-1,3.471713066E-1,1.732554473E-2
4.096295848E-2,1.465501338E-1,1.032180190E-1,2.615765296E-2
5.094495835E-2,9.827355295E-2,-2.059849352E-2,4.721275344E-2
6.092795846E-2,1.196717843E-1,2.379214205E-2,7.602469623E-2
7.090995833E-2,1.770981550E-1,1.562886834E-1,1.055885553E-1
8.089195844E-2,2.834362984E-1,3.278881311E-1,1.477583796E-1
9.087495855E-2,3.696908355E-1,4.967775941E-1,2.062346190E-1
1.008569584E-1,4.154764414E-1,5.870366693E-1,2.683909237E-1
1.108389585E-1,4.562016129E-1,5.608889461E-1,3.358978927E-1
1.208219584E-1,5.126986504E-1,4.696421325E-1,4.130033255E-1
1.308039585E-1,5.702449083E-1,3.275876045E-1,5.008817315E-1
1.407859584E-1,6.277121902E-1,2.061884999E-1,5.570536256E-1
1.507679585E-1,6.708689928E-1,1.452219188E-1,5.832278132E-1
1.607509584E-1,7.064213753E-1,1.459833235E-1,5.947396159E-1
1.707329585E-1,6.973179579E-1,2.395679206E-1,5.640121102E-1
1.807149583E-1,6.256713867E-1,2.707015872E-1,5.232510567E-1
1.906979585E-1,5.249654651E-1,2.480197549E-1,5.018879771E-1
2.006799583E-1,4.106833637E-1,1.905119866E-1,5.015166998E-1
2.106619584E-1,3.182888329E-1,1.118328571E-1,5.023322105E-1
2.206439585E-1,2.830477655E-1,6.997621804E-2,5.364462733E-1
2.306269584E-1,2.562339902E-1,3.565718606E-2,4.826696217E-1
2.406089585E-1,2.618743181E-1,5.547030643E-2,4.400364161E-1
2.505909584E-1,2.988343239E-1,1.831523925E-1,4.028998911E-1
2.605739585E-1,3.186360002E-1,3.350591063E-1,3.955088258E-1
2.705559584E-1,2.488171905E-1,4.029169679E-1,3.398588002E-1
2.805374584E-1,1.666104645E-1,4.380573630E-1,3.156679869E-1
2.905194585E-1,1.142829731E-1,4.171533585E-1,3.178446591E-1
3.005024584E-1,1.030598804E-1,3.527911305E-1,2.976089120E-1
3.104844585E-1,1.367093772E-1,3.117231131E-1,2.699638903E-1
3.204664583E-1,1.477345973E-1,2.216171771E-1,2.283384502E-1
3.304494584E-1,1.361821592E-1,1.170652285E-1,1.280830503E-1
3.404314585E-1,1.497818530E-1,8.236104250E-2,3.894012794E-2
3.504134584E-1,1.555161774E-1,7.820757478E-2,-1.730823144E-2
3.603964585E-1,1.172010079E-1,6.305498630E-2,-7.348176092E-2
3.703784584E-1,9.612893313E-2,3.801332042E-2,-9.493330121E-2
3.803604585E-1,1.526947320E-1,7.364987582E-2,-8.646658063E-2
3.903424584E-1,1.296209693E-1,-4.913609847E-2,-1.798604131E-1
4.003254585E-1,4.581874236E-2,-1.593081504E-1,-2.901411057E-1
4.103074584E-1,-2.285810001E-2,-1.308519542E-1,-3.601902723E-1
4.202894585E-1,-1.136130393E-1,-1.395530403E-1,-4.227367640E-1
4.302724584E-1,-2.323471308E-1,-1.618478447E-1,-5.172929764E-1
4.402544585E-1,-3.627429605E-1,-2.709724903E-1,-6.061221361E-1
4.502364583E-1,-5.118843317E-1,-3.873082101E-1,-7.026879787E-1
4.602184584E-1,-6.748117805E-1,-4.487550557E-1,-8.256730437E-1
4.702014585E-1,-8.263928890E-1,-4.998435974E-1,-9.367693663E-1
4.801834584E-1,-9.389622211E-1,-5.735969543E-1,-1.033294678E0
4.901654585E-1,-1.010074496E0,-6.414095163E-1,-1.103227735E0
5.001484584E-1,-1.049721479E0,-6.796714067E-1,-1.133480549E0
5.101304585E-1,-1.080049038E0,-6.626192331E-1,-1.127884746E0
5.201124584E-1,-1.092985034E0,-5.746209621E-1,-1.100502372E0
5.300954585E-1,-1.088379622E0,-4.161624908E-1,-1.067606568E0
5.400774584E-1,-1.091117382E0,-1.994863749E-1,-1.029073000E0
5.500594585E-1,-1.113420248E0,8.823760599E-2,-9.655102491E-1
5.600414583E-1,-1.150925279E0,4.539862871E-1,-8.747020960E-1
5.700244585E-1,-1.154336572E0,8.217372298E-1,-7.425410151E-1
5.800064583E-1,-1.110009074E0,1.045518994E0,-5.891000628E-1
5.899884584E-1,-1.067533255E0,1.025110483E0,-4.577103257E-1
5.999714585E-1,-1.087555528E0,8.034414649E-1,-4.057576358E-1
6.099534584E-1,-1.137138247E0,5.284448862E-1,-4.051979780E-1
6.199354585E-1,-1.233051419E0,4.411017299E-1,-3.765218556E-1
6.299174584E-1,-1.339313984E0,5.014771819E-1,-4.064180553E-1
6.399004585E-1,-1.349000454E0,5.025922656E-1,-5.565519333E-1
6.498824584E-1,-1.204151750E0,3.834058642E-1,-8.593369722E-1
6.598644585E-1,-1.012157202E0,2.685365379E-1,-1.242924333E0
6.698474584E-1,-7.994425297E-1,1.955787688E-1,-1.614941955E0
6.798294585E-1,-6.548283696E-1,2.777245641E-2,-1.865017891E0
6.898114583E-1,-5.672962666E-1,-2.174588442E-1,-1.925536633E0
6.997934585E-1,-5.230499506E-1,-4.571225643E-1,-1.855944753E0
7.097764583E-1,-5.331713557E-1,-6.494661570E-1,-1.698687077E0
7.197584584E-1,-5.453353524E-1,-8.063188791E-1,-1.458841920E0
7.297404585E-1,-5.322587490E-1,-1.029083014E0,-1.168933511E0
7.397234584E-1,-4.394606650E-1,-1.232592225E0,-8.628126979E-1
7.497054585E-1,-2.847792804E-1,-1.272229433E0,-6.671504974E-1
7.596874584E-1,-9.714359045E-2,-1.293809295E0,-5.614610910E-1
7.696704585E-1,8.616700768E-2,-1.292784810E0,-4.643328190E-1
7.796524584E-1,2.399911880E-1,-1.180840254E0,-3.573184907E-1
7.896344585E-1,3.653182387E-1,-1.053487539E0,-2.406354249E-1
7.996164584E-1,4.517048001E-1,-8.786861300E-1,-1.175116301E-1
8.095994585E-1,5.046069622E-1,-6.305890679E-1,-1.309048757E-2
8.195814583E-1,5.314670801E-1,-3.720419705E-1,9.554117918E-2
8.295634585E-1,5.507295132E-1,-1.434261203E-1,2.009313107E-1
8.395464583E-1,5.675565004E-1,1.549907587E-2,2.936759293E-1
8.495284584E-1,5.815249681E-1,5.790059268E-2,3.550164998E-1
8.595104585E-1,5.726795197E-1,1.647272892E-2,3.933766782E-1
8.694924584E-1,5.259348154E-1,-8.722227812E-2,3.982574940E-1
8.794754585E-1,4.285938442E-1,-2.016130239E-1,3.680705428E-1
8.894574584E-1,3.307625651E-1,-2.786311209E-1,3.046067953E-1
8.994394585E-1,2.670488358E-1,-3.042278290E-1,1.994500160E-1
9.094224584E-1,2.283205539E-1,-2.683959603E-1,9.027835727E-2
9.194044585E-1,1.817032546E-1,-1.923334301E-1,-3.421457484E-2
9.293864584E-1,7.826214284E-2,-9.078751504E-2,-1.500094980E-1
9.393694585E-1,-7.499052584E-2,2.389938384E-2,-2.448425293E-1
9.493514583E-1,-2.248236388E-1,1.229599342E-1,-2.904453278E-1
9.593334584E-1,-3.266069889E-1,1.805646271E-1,-2.931862473E-1
9.693154586E-1,-3.443188369E-1,1.722732782E-1,-2.486969680E-1
9.792984584E-1,-2.527787983E-1,1.223826781E-1,-1.712653041E-1
9.892804585E-1,-1.283112355E-2,4.291768745E-2,-7.927615196E-2
9.992624584E-1,2.309138924E-1,-1.159337461E-1,3.497691825E-2
1.009245459E0,4.576674998E-1,-2.429689020E-1,1.631605625E-1
1.019227458E0,6.894961596E-1,-2.410482317E-1,2.804307044E-1
1.029209459E0,9.099441171E-1,-1.453886181E-1,3.574446440E-1
1.039191458E0,1.138739347E0,7.680282928E-3,4.371663928E-1
1.049174458E0,1.369525075E0,1.126882136E-1,4.867329895E-1
1.059156458E0,1.517609835E0,1.794872135E-1,4.861716032E-1
1.069138458E0,1.431153059E0,3.004173040E-1,4.048303366E-1
1.079121458E0,1.045060396E0,4.857983589E-1,2.854898274E-1
1.089103458E0,4.604707956E-1,5.769595504E-1,1.592327654E-1
1.099085459E0,-4.076886922E-2,5.416958332E-1,1.382057667E-1
1.109067458E0,-3.461533189E-1,5.323967934E-1,2.385479510E-1
1.119050459E0,-5.258445144E-1,5.528541207E-1,3.568743169E-1
1.129032458E0,-6.239662170E-1,5.364740491E-1,4.808367491E-1
1.139014459E0,-6.242799163E-1,4.789340198E-1,6.141276956E-1
1.148997458E0,-5.127008557E-1,3.285147548E-1,7.135196924E-1
1.158979459E0,-3.022173643E-1,1.266969591E-1,7.359352708E-1
1.168961458E0,-2.607795410E-2,-7.386299223E-2,6.861586571E-1
1.178943458E0,2.539177537E-1,-2.075720578E-1,5.965901613E-1
