"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.028083429E-3,1.042132874E0,-1.165566193E1,-3.709286499E-1
1.201108331E-2,1.077010345E0,-1.108819199E1,-1.866618347E-1
2.199408342E-2,2.395019531E-3,-1.107382187E1,-6.984475708E-1
3.197608329E-2,-6.500981140E-1,-1.083192490E1,-8.178991699E-1
4.195908341E-2,-1.179846497E0,-1.053134995E1,-4.872367859E-1
5.194108328E-2,-1.660347290E0,-1.030621811E1,-2.393522644E-1
6.192408339E-2,-2.086960144E0,-1.035172348E1,-1.523831177E-1
7.190708327E-2,-2.574645996E0,-1.061682220E1,-1.339714050E-1
8.188908338E-2,-3.044369202E0,-1.079629898E1,-2.028282166E-1
9.187208326E-2,-3.138673096E0,-1.074061478E1,-3.586541748E-1
1.018550834E-1,-3.163820801E0,-1.057326279E1,-5.013075256E-1
1.118370832E-1,-3.574866028E0,-1.063179108E1,-6.982978821E-1
1.218200834E-1,-5.449268188E0,-1.212074478E1,-1.554068298E0
1.318020832E-1,-2.143542480E0,-1.006806335E1,2.685415649E-1
1.417850833E-1,-2.829565887E0,-1.020877075E1,2.180964661E-1
1.517680832E-1,-2.823877716E0,-1.001477417E1,-2.049238586E-1
1.617500833E-1,-3.246299286E0,-9.655521240E0,-9.620494080E-1
1.717330834E-1,-3.262166290E0,-9.248966675E0,-1.322948914E0
1.817160833E-1,-3.257525940E0,-8.960366821E0,-1.633253632E0
1.916980834E-1,-2.949765930E0,-8.856333160E0,-1.832339630E0
2.016810833E-1,-2.679428101E0,-8.869206390E0,-1.948647766E0
2.116630834E-1,-2.088457031E0,-9.214238892E0,-1.969753876E0
2.216460833E-1,-8.898994446E-1,-9.698032837E0,-2.221530304E0
2.316290834E-1,1.209784241E0,-1.049841843E1,-1.860481110E0
2.416110833E-1,4.688699799E0,-1.144879211E1,-2.894979858E-1
2.515940834E-1,6.736142120E0,-1.259885056E1,-8.195457458E-1
2.615770833E-1,4.346062317E0,-1.266875519E1,-2.169288940E0
2.715590834E-1,2.570155334E-1,-1.124970612E1,-3.364403687E0
