"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.524083342E-3,1.652217906E0,-1.868629205E0,-6.500121599E-1
1.450708322E-2,1.628810625E0,-1.297173218E0,-4.466056538E-1
2.449008333E-2,5.048172072E-1,-1.279142159E0,-9.173468596E-1
3.447208321E-2,-1.942665041E-1,-1.033815794E0,-9.771726465E-1
4.445508332E-2,-7.704995933E-1,-7.303067100E-1,-5.771453279E-1
5.443708343E-2,-1.297384887E0,-5.029476696E-1,-2.554923338E-1
6.442008330E-2,-1.769134153E0,-5.470573103E-1,-9.225503881E-2
7.440308342E-2,-2.298948755E0,-8.116818255E-1,5.025078859E-3
8.438508329E-2,-2.808602450E0,-9.916240400E-1,1.820587238E-2
9.436808340E-2,-2.941061765E0,-9.374700522E-1,-4.977504451E-2
1.043510833E-1,-2.999661098E0,-7.730469328E-1,-9.521141846E-2
1.143330834E-1,-3.420231732E0,-8.369265944E-1,-1.759813106E-1
1.243160833E-1,-5.287448249E0,-2.334297951E0,-8.942298925E-1
1.342980834E-1,-1.985525278E0,-2.918859887E-1,1.066978789E0
1.442810833E-1,-2.663824221E0,-4.449935764E-1,1.154731609E0
1.542640834E-1,-2.629260160E0,-2.668710154E-1,8.797920938E-1
1.642460832E-1,-2.997625098E0,7.111792982E-2,2.896511829E-1
1.742290833E-1,-2.932617508E0,4.490877968E-1,1.176215668E-1
1.842120832E-1,-2.820668472E0,6.997678721E-1,1.812870741E-2
1.941940833E-1,-2.379512423E0,7.550807780E-1,4.692756012E-2
2.041770832E-1,-1.951744744E0,6.821467030E-1,1.675355923E-1
2.141590833E-1,-1.192550596E0,2.671037346E-1,3.834558709E-1
2.241420834E-1,1.576133059E-1,-2.920327538E-1,3.603238472E-1
2.341250833E-1,2.348581822E0,-1.159222198E0,9.177672744E-1
2.441070834E-1,5.810230844E0,-2.149653406E0,2.626712528E0
2.540900833E-1,7.717865070E0,-3.309889510E0,2.178376683E0
2.640730834E-1,5.117975475E0,-3.371434379E0,8.638737801E-1
2.740550833E-1,8.212799569E-1,-1.938712762E0,-3.274452460E-1
2.840380834E-1,-7.575866023E-1,-4.813749522E-1,-5.598314300E-1
2.940200833E-1,-6.081613717E-1,5.276083016E-1,-2.319377026E-1
3.040030834E-1,-1.792818994E-1,1.123344267E0,4.438703263E-1
3.139860833E-1,1.358591695E-1,1.267609695E0,1.325173779E0
3.239680834E-1,2.405117125E-1,1.545015639E0,1.933069907E0
3.339510832E-1,-6.980958791E-2,1.877580707E0,2.037016736E0
3.439330833E-1,-6.092826484E-1,2.061405473E0,1.828493332E0
3.539160832E-1,-8.037096586E-1,2.106951774E0,1.761289528E0
3.638990833E-1,-8.713840900E-1,2.047187968E0,1.652288365E0
3.738810832E-1,-9.075785742E-1,2.016398284E0,1.316268177E0
3.838640833E-1,-8.921626094E-1,2.004143690E0,1.013125129E0
3.938470832E-1,-9.587483624E-1,1.932397769E0,7.602105403E-1
4.038290833E-1,-1.004545656E0,1.965861969E0,5.447909296E-1
4.138114583E-1,-1.008276033E0,1.949611972E0,4.074541596E-1
4.237934584E-1,-1.080621732E0,1.865848269E0,1.895103058E-1
4.337764583E-1,-1.106642134E0,1.711465988E0,-4.757850140E-2
4.437594584E-1,-9.453501255E-1,1.506181941E0,-2.523658276E-1
4.537414582E-1,-6.130178863E-1,1.333214870E0,-5.262666580E-1
4.637244584E-1,-1.680074078E-1,1.144513527E0,-8.054960561E-1
4.737074582E-1,2.300227943E-1,9.365649033E-1,-1.001107639E0
4.836894583E-1,5.364293015E-1,7.414216822E-1,-1.101788507E0
4.936724582E-1,7.549364980E-1,5.068220347E-1,-1.204913802E0
5.036544583E-1,8.953842790E-1,1.967669928E-1,-1.375357215E0
