"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
1.094041667E-3,1.460063782E0,-9.415570221E0,3.134631500E0,6.122041666E-3,-2.336792469E0,1.407674551E0,-1.669072151E0
1.115004167E-2,-1.124162292E-1,-8.719966736E0,1.007704468E0,1.617704167E-2,-2.334038973E0,1.788287878E0,-2.028807402E0
2.120504167E-2,-1.935624847E0,-8.482710114E0,-1.631307678E0,2.623304167E-2,-2.206322670E0,1.534593225E0,-2.125682354E0
3.126104167E-2,-2.907703400E0,-8.903784485E0,-3.162174225E0,3.628904167E-2,-2.171721697E0,1.078634977E0,-1.939449549E0
4.131704167E-2,-4.184847565E0,-1.019529877E1,-2.805316315E0,4.634504167E-2,-2.146786451E0,6.675004363E-1,-1.768428802E0
5.137204167E-2,-5.287754059E0,-1.172826096E1,-1.667981415E0,5.640004167E-2,-2.129421473E0,4.156585634E-1,-1.562389851E0
6.142804167E-2,-6.265221405E0,-1.395937134E1,-3.008743286E-2,6.645604167E-2,-2.189981461E0,5.236062407E-1,-1.273700953E0
7.148404167E-2,-7.683671722E0,-1.642354706E1,2.173929291E0,7.651204167E-2,-2.206360579E0,6.565317512E-1,-8.660634160E-1
8.154004167E-2,-9.240135040E0,-1.828866852E1,1.372046814E0,8.656804167E-2,-2.181739092E0,4.328006506E-1,-4.225274622E-1
9.159504167E-2,-1.029229706E1,-1.762914001E1,-1.414109344E0,9.662304167E-2,-2.161741018E0,1.206301898E-2,-2.475950569E-1
1.016510417E-1,-9.934241638E0,-1.414513504E1,-3.495830383E0,1.066790417E-1,-2.132544756E0,-2.680957317E-1,-4.167522490E-1
1.117070417E-1,-8.428073730E0,-1.124371857E1,-4.010460205E0,1.167350417E-1,-2.023605585E0,-6.616367400E-2,-7.214396596E-1
1.217630417E-1,-6.625222778E0,-1.037447617E1,-2.035467224E0,1.267900417E-1,-1.652063727E0,7.813907266E-1,-1.095054746E0
1.318180417E-1,-3.815266113E0,-9.594897308E0,8.857081604E-1,1.368460417E-1,-1.322467685E0,1.093875170E0,-1.111547947E0
1.418740417E-1,-1.046773224E0,-1.006506958E1,-5.643264771E-2,1.469020417E-1,-1.079784513E0,1.162804604E0,-1.208005190E0
1.519300417E-1,1.558259583E-1,-9.391170959E0,4.245172119E-1,1.569580417E-1,-9.877040982E-1,1.261857152E0,-1.479990721E0
1.619850417E-1,1.146016846E0,-9.423803101E0,7.216493225E-1,1.670130417E-1,-1.116808653E0,9.340801239E-1,-1.811776519E0
1.720410417E-1,1.816173248E0,-9.185498657E0,-1.203197937E0,1.770690417E-1,-1.520548105E0,1.394945979E-1,-1.916707158E0
1.820970417E-1,9.330097961E-1,-9.452094269E0,-2.233206024E0,1.871250417E-1,-1.774572849E0,-4.346611500E-1,-1.681387663E0
1.921530417E-1,-6.777905273E-1,-8.386909332E0,-1.355880432E0,1.971810417E-1,-1.864773035E0,-8.816202879E-1,-1.515559554E0
2.022080417E-1,-1.168320465E0,-6.828350372E0,-1.121617584E0,2.072360417E-1,-1.845912337E0,-1.424198508E0,-1.524419188E0
2.122640417E-1,-1.263223114E0,-5.590574341E0,-1.367705841E0,2.172920417E-1,-1.756217360E0,-1.913857579E0,-1.622958541E0
2.223200417E-1,-1.296004944E0,-4.456233215E0,-1.033301239E0,2.273480417E-1,-1.625893235E0,-1.979138732E0,-1.591068983E0
2.323760417E-1,-1.258283386E0,-3.943399658E0,-3.585044861E-1,2.374040417E-1,-1.412319541E0,-2.064927578E0,-1.556410074E0
2.424310417E-1,-1.147513733E0,-3.484004974E0,-7.267387390E-1,2.474590417E-1,-1.176170945E0,-2.354961157E0,-1.500724435E0
2.524870417E-1,-1.231638794E0,-3.467239838E0,-4.912783813E-1,2.575150417E-1,-1.109506130E0,-2.497214317E0,-1.406575322E0
2.625430417E-1,-1.285975800E0,-3.403322754E0,5.631289673E-1,2.675710417E-1,-9.960627556E-1,-2.550937176E0,-1.217752934E0
2.725990417E-1,-9.165440369E-1,-3.220103760E0,4.387376404E-1,2.776260417E-1,-8.522416949E-1,-2.689690590E0,-1.013511896E0
2.826540417E-1,-7.934999084E-1,-3.157234497E0,4.715194702E-2,2.876820417E-1,-6.311672926E-1,-2.687280655E0,-8.267736435E-1
2.927100417E-1,-1.048419800E0,-3.224594421E0,9.610015869E-2,2.977380417E-1,-3.876347542E-1,-2.747658491E0,-6.408790946E-1
3.027660417E-1,-1.316512299E0,-3.252735901E0,-3.335064697E-1,3.077940417E-1,-1.048352197E-1,-2.771111250E0,-4.704596996E-1
3.128220417E-1,-1.707648926E0,-3.352877655E0,-1.707948303E-1,3.178490417E-1,1.965544373E-1,-2.696884155E0,-3.184699118E-1
3.228770417E-1,-2.022743683E0,-3.376378784E0,-1.805245972E-1,3.279050417E-1,4.114324749E-1,-2.721717358E0,-1.733366996E-1
3.329330417E-1,-2.133213959E0,-3.603306885E0,-1.138532410E0,3.379610417E-1,6.226512790E-1,-2.779473543E0,1.846560393E-3
3.429890417E-1,-1.947599945E0,-3.951482849E0,-1.918410645E0,3.480170417E-1,8.648310900E-1,-2.801447868E0,2.483684421E-1
3.530440417E-1,-1.589394836E0,-4.322261810E0,-2.514770508E0,3.580720417E-1,1.125814676E0,-2.680535793E0,5.224244595E-1
3.631000417E-1,-1.148860931E0,-4.448449402E0,-2.626288605E0,3.681280417E-1,1.343598247E0,-2.443503618E0,7.581903338E-1
3.731560417E-1,-7.119195557E-1,-4.896467743E0,-2.808010712E0,3.781840417E-1,1.559072733E0,-2.171394110E0,9.260246158E-1
3.832120417E-1,-5.309458923E-1,-5.711822205E0,-2.869532776E0,3.882390417E-1,1.740247726E0,-1.784120202E0,1.063370943E0
3.932670417E-1,-1.001716919E0,-6.614894257E0,-2.287692719E0,3.982950417E-1,1.738547921E0,-1.319136739E0,1.065653443E0
4.033230417E-1,-1.967059479E0,-7.569010162E0,-2.541714478E0,4.083510417E-1,1.448910356E0,-1.188743234E0,1.025238514E0
4.133790417E-1,-3.090024261E0,-9.870623932E0,-6.134243774E0,4.184070417E-1,7.726418972E-1,-1.603017092E0,1.048544407E0
4.234350417E-1,-3.938160553E0,-1.331840424E1,-1.173634415E1,4.284620417E-1,2.557168528E-2,-2.116673708E0,9.705957770E-1
4.334900417E-1,-2.947520599E0,-1.763827103E1,-1.336241272E1,4.385180417E-1,-6.273432970E-1,-2.156247616E0,3.898431957E-1
4.435460417E-1,2.302212524E-1,-2.221605148E1,-1.101619171E1,4.485740417E-1,-1.188621283E0,-2.166366577E0,-4.784518182E-1
4.536020417E-1,3.141217804E0,-2.522913574E1,-1.075393707E1,4.586300417E-1,-1.167139649E0,-1.529098392E0,-1.118105054E0
4.636570417E-1,2.818638611E0,-2.232382736E1,-7.070397034E0,4.686850417E-1,-1.231005549E0,-7.581821084E-1,-1.386791587E0
4.737130417E-1,1.015637970E0,-1.527842834E1,-5.434748383E0,4.787410417E-1,-1.415196896E0,-5.603723526E-1,-1.457519770E0
4.837690417E-1,-6.855743408E-2,-1.066113007E1,-7.509883118E0,4.887970417E-1,-1.284547329E0,-6.560999751E-1,-1.439688206E0
4.938250417E-1,-4.700225830E-2,-8.432265015E0,-8.716523895E0,4.988520417E-1,-9.378353953E-1,-7.393716574E-1,-1.297851682E0
5.038800417E-1,9.372010803E-1,-6.908433838E0,-8.283923492E0,5.089080417E-1,-7.306966186E-1,-6.492598057E-1,-1.026466608E0
5.139360417E-1,1.648372192E0,-5.710175629E0,-7.114704895E0,5.189640417E-1,-6.248500943E-1,-5.025295019E-1,-7.072606683E-1
5.239920417E-1,1.440604248E0,-4.659660187E0,-6.606960754E0,5.290200417E-1,-6.344014406E-1,-4.362131059E-1,-3.624376357E-1
5.340480417E-1,7.750881958E-1,-3.642675018E0,-7.704777832E0,5.390750417E-1,-5.994858146E-1,-4.252206385E-1,8.203010075E-3
5.441030417E-1,6.007008362E-1,-3.584745483E0,-9.443711700E0,5.491310417E-1,1.510367692E-1,3.224532604E-1,3.950869143E-1
5.541590417E-1,2.230361938E-1,-4.000730438E0,-1.913770294E0,5.591870417E-1,5.880804062E-1,1.260908365E0,6.437212229E-1
5.642150417E-1,-2.941233673E0,-4.806355133E0,3.139870605E0,5.692430417E-1,9.199420214E-1,1.168120503E0,9.309406877E-1
