"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.123816660E-2,8.689683080E-1,1.496248692E-1,5.926547647E-1
2.122016670E-2,7.060753107E-1,-3.717696667E-2,5.833784342E-1
3.120116680E-2,6.310113668E-1,-2.347517908E-1,4.103942811E-1
4.118316667E-2,5.549075007E-1,-2.679941654E-1,3.286320567E-1
5.116516678E-2,3.461830020E-1,-1.966340393E-1,3.202334940E-1
6.114616664E-2,9.440749139E-2,-1.455420852E-1,3.181162775E-1
7.112816675E-2,-5.902646109E-2,-7.270704024E-3,2.908521295E-1
8.111016662E-2,-8.426337689E-2,2.609530389E-1,1.945903301E-1
9.109116672E-2,-3.525226936E-2,6.434997320E-1,2.462226339E-2
1.010731666E-1,2.654372156E-2,1.004689932E0,-1.900191903E-1
1.110551667E-1,1.372035220E-2,1.198867798E0,-4.007666409E-1
1.210361668E-1,-2.941701114E-1,1.038313746E0,-4.459500909E-1
1.310181667E-1,-9.128674269E-1,4.736829996E-1,-4.011124969E-1
1.410001668E-1,-1.352436185E0,-2.320914268E-1,-4.070950150E-1
1.509811666E-1,-1.529622436E0,-6.759483814E-1,-4.831625819E-1
1.609631667E-1,-1.767602801E0,-7.868890166E-1,-5.790339708E-1
1.709451666E-1,-2.178650856E0,-7.855650783E-1,-6.591041088E-1
1.809261667E-1,-2.502216816E0,-7.334568501E-1,-7.753157020E-1
1.909081666E-1,-2.661501169E0,-6.241624355E-1,-8.131158352E-1
2.008901667E-1,-2.657369614E0,-7.714102268E-1,-9.682298303E-1
2.108711668E-1,-2.701712370E0,-8.523546457E-1,-1.175424457E0
2.208531667E-1,-2.707282543E0,-7.053281665E-1,-1.338129640E0
2.308351668E-1,-2.628275633E0,-2.938944399E-1,-1.430468082E0
2.408161666E-1,-2.581681252E0,1.805455536E-1,-1.455528617E0
2.507981667E-1,-2.517184258E0,7.211416364E-1,-1.336826921E0
2.607801666E-1,-2.310248137E0,1.291413188E0,-1.031574011E0
2.707611667E-1,-2.147055864E0,1.764548421E0,-7.390847802E-1
2.807431668E-1,-2.164632559E0,2.051016808E0,-5.987772346E-1
2.907251667E-1,-2.098923922E0,2.340586662E0,-5.341127515E-1
3.007061668E-1,-1.869313478E0,2.590339184E0,-6.117249727E-1
3.106881666E-1,-1.693263412E0,2.371071100E0,-8.663703203E-1
3.206701668E-1,-1.673035860E0,1.773300409E0,-9.928038716E-1
3.306511666E-1,-1.661598086E0,1.171454072E0,-8.915072680E-1
3.406331667E-1,-1.675607681E0,2.187974602E-1,-8.397833705E-1
3.506151666E-1,-1.553960919E0,-1.137310624E0,-1.016930699E0
3.605961667E-1,-1.508058429E0,-1.738678217E0,-1.358163595E0
3.705781668E-1,-1.670642495E0,-1.474043965E0,-1.601074219E0
3.805591667E-1,-1.715606451E0,-1.417726874E0,-1.511003733E0
3.905411668E-1,-1.730139017E0,-1.721277475E0,-1.192511439E0
4.005231666E-1,-1.781878114E0,-2.339974642E0,-9.184015393E-1
4.105041667E-1,-1.723715186E0,-2.843514681E0,-7.645684481E-1
4.204861666E-1,-1.596641183E0,-3.327567339E0,-6.989305615E-1
4.304681667E-1,-1.408516884E0,-3.698190689E0,-7.021776438E-1
4.404491668E-1,-1.167862177E0,-3.816685200E0,-6.983608007E-1
4.504311667E-1,-8.626940250E-1,-3.635648489E0,-6.899528503E-1
4.604131668E-1,-4.502021074E-1,-3.157967091E0,-6.598234177E-1
4.703941667E-1,-2.705603093E-2,-2.679360628E0,-5.955505967E-1
4.803761668E-1,3.714745641E-1,-2.267213106E0,-4.978253543E-1
4.903581666E-1,7.504994273E-1,-1.886312366E0,-3.523491025E-1
5.003391667E-1,1.090645552E0,-1.612140536E0,-1.653208882E-1
5.103211666E-1,1.407984018E0,-1.410039067E0,5.699615926E-3
5.203031667E-1,1.737327814E0,-1.178332090E0,1.953528970E-1
5.302841668E-1,2.030339956E0,-9.865612388E-1,3.571527004E-1
5.402661667E-1,2.262855053E0,-6.826114655E-1,4.907728136E-1
5.502481668E-1,2.376049519E0,-4.010739326E-1,5.937941670E-1
5.602291666E-1,2.302917957E0,-2.554141879E-1,6.668862104E-1
5.702111667E-1,2.021970034E0,-4.104504287E-1,7.324380875E-1
5.801931666E-1,1.485946178E0,-8.178134561E-1,6.919580698E-1
5.901741667E-1,8.003427982E-1,-1.127004147E0,4.738549292E-1
6.001561666E-1,1.108464003E-1,-1.145400524E0,1.926025376E-2
6.101381667E-1,-4.131155014E-1,-8.369967341E-1,-5.328419209E-1
6.201191668E-1,-9.540133476E-1,-1.078003287E0,-9.298593402E-1
6.301011667E-1,-1.417858005E0,-1.759048104E0,-1.171304345E0
