"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-5.169999786E-4,-9.647438049E-1,-9.630523224E0,8.490344238E-1
9.465000127E-3,-1.199306030E0,-9.710906067E0,1.143771515E0
1.944700000E-2,-1.461560669E0,-9.877359924E0,1.239272919E0
2.942900010E-2,-1.851200409E0,-1.009545639E1,1.055155792E0
3.941099998E-2,-2.251468048E0,-1.038196060E1,6.256988525E-1
4.939300008E-2,-2.604284363E0,-1.084734283E1,1.493893433E-1
5.937499995E-2,-2.658172302E0,-1.141361526E1,-2.282752991E-1
6.935700006E-2,-2.679128723E0,-1.198078583E1,-5.269042969E-1
7.933899993E-2,-2.510579224E0,-1.215876572E1,-7.798782349E-1
8.932100004E-2,-1.659149780E0,-1.212673233E1,-1.175655212E0
9.930299991E-2,-8.578660583E-1,-1.206506058E1,-1.335223389E0
1.092850000E-1,-9.265731812E-2,-1.198737213E1,-1.146016846E0
1.192670001E-1,6.818321228E-1,-1.191716812E1,-6.909631348E-1
1.292490000E-1,1.220412140E0,-1.188693100E1,-1.743873596E-1
1.392310001E-1,1.478625183E0,-1.191821594E1,2.565664673E-1
1.492130000E-1,1.481768646E0,-1.202374649E1,2.939886475E-1
1.591950001E-1,1.250200195E0,-1.229752716E1,-1.779798889E-1
1.691769999E-1,8.771759033E-1,-1.280093033E1,-8.605604553E-1
1.791590001E-1,4.224215698E-1,-1.349803070E1,-1.233435059E0
1.891409999E-1,1.152603149E-2,-1.407807449E1,-1.291963348E0
1.991230000E-1,-2.070195007E-1,-1.421878189E1,-1.481469269E0
2.091050001E-1,-2.662962341E-1,-1.381088013E1,-1.654659119E0
2.190870000E-1,-5.773493958E-1,-1.293100983E1,-1.430724792E0
2.290690001E-1,-1.220861206E0,-1.179142960E1,-7.843688965E-1
2.390510000E-1,-1.735790405E0,-1.067789520E1,5.134323120E-2
2.490330001E-1,-2.203567657E0,-9.457033997E0,8.053253174E-1
2.590150000E-1,-2.799179077E0,-8.032745819E0,8.669970703E-1
2.689970001E-1,-3.579356689E0,-7.093299408E0,-6.864724731E-1
