"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.969999988E-3,1.507181230E0,-2.513641995E-1,-6.196624795E-1
1.695200009E-2,1.284063760E0,-3.444214672E-1,-3.852648532E-1
2.693399996E-2,1.034081842E0,-5.254711443E-1,-3.576171711E-1
3.691600007E-2,6.588242063E-1,-7.600585127E-1,-6.140460826E-1
4.689799994E-2,2.790177289E-1,-1.064983208E0,-1.114035646E0
5.688000005E-2,-4.570973128E-2,-1.549696920E0,-1.651605264E0
6.686199992E-2,-6.614311874E-2,-2.135579742E0,-2.081797637E0
7.684400002E-2,-4.496801198E-2,-2.723990316E0,-2.426648583E0
8.682600013E-2,1.700636360E-1,-2.923568650E0,-2.719310204E0
9.680800000E-2,1.067880795E0,-2.911967189E0,-3.147333407E0
1.067900001E-1,1.913747198E0,-2.868749834E0,-3.330754130E0
1.167720000E-1,2.720079990E0,-2.806899156E0,-3.156871385E0
1.267540001E-1,3.530357899E0,-2.749488854E0,-2.709790353E0
1.367360000E-1,4.098266965E0,-2.728847598E0,-2.195171641E0
1.467180001E-1,4.379913895E0,-2.766901277E0,-1.761371974E0
1.566999999E-1,4.401504446E0,-2.876224914E0,-1.714517065E0
1.666820000E-1,4.182738474E0,-3.149341925E0,-2.164694345E0
1.766639999E-1,3.814812369E0,-3.646206737E0,-2.809259969E0
1.866460000E-1,3.355224435E0,-4.330719223E0,-3.129531559E0
1.966280001E-1,2.929215306E0,-4.892521457E0,-3.121937195E0
2.066100000E-1,2.683824330E0,-5.008754749E0,-3.229190918E0
2.165920001E-1,2.585153443E0,-4.569957467E0,-3.301076002E0
2.265740000E-1,2.226701581E0,-3.655000364E0,-2.956849832E0
2.365560001E-1,1.534751144E0,-2.479760304E0,-2.175597063E0
2.465379999E-1,9.772433978E-1,-1.333593770E0,-1.197488862E0
2.565200001E-1,4.773684400E-1,-8.496589065E-2,-2.960515451E-1
2.665019999E-1,-1.369227871E-1,1.362711149E0,-6.781900384E-2
2.764840000E-1,-9.213212121E-1,2.322470203E0,-1.403572077E0
2.864659999E-1,-2.197235123E0,1.455395949E0,-3.899830885E0
2.964480000E-1,-3.042149599E0,-2.408392113E-1,-3.583965465E0
3.064300001E-1,-3.382826801E0,-1.056479602E0,-4.982049930E-1
3.164120000E-1,-4.110440868E0,-1.724719872E0,2.410202411E0
3.263940001E-1,-4.274063796E0,-2.977103418E0,3.995423505E0
3.363760000E-1,-3.676799369E0,-4.139435749E0,3.635512179E0
3.463580001E-1,-2.737065275E0,-3.703870808E0,2.909147662E0
3.563399999E-1,-1.347579286E0,-1.732518888E0,2.812570370E0
3.663220000E-1,-4.812183930E-1,-5.523928946E-1,1.969194736E0
3.763039999E-1,8.288632840E-2,-3.116256040E-1,8.719812369E-1
3.862860000E-1,4.071299314E-1,-4.535749501E-1,-1.954373360E-2
3.962680001E-1,1.904379666E-1,-6.855024201E-1,-4.988082795E-1
4.062500000E-1,-4.335094987E-1,-5.148338896E-1,-2.466954902E-1
4.162320001E-1,-3.529917312E-1,-2.165756053E-1,6.688992512E-1
4.262140000E-1,1.107545967E-1,-4.503344232E-1,1.174828124E0
4.361960001E-1,5.267372127E-1,-2.997341216E-1,2.020541621E0
4.461780000E-1,1.939121629E0,-1.499910218E-1,2.466957533E0
4.561600001E-1,2.299487722E0,8.605054915E-2,1.968450531E0
4.661419999E-1,8.957947536E-1,7.126668298E-1,1.392662342E0
4.761240000E-1,8.499600381E-2,1.244352980E0,1.397493896E0
4.861059999E-1,-1.782998778E-1,1.488788813E0,2.294410292E0
4.960870000E-1,-1.733173192E-1,1.838304375E0,2.643232959E0
5.060690001E-1,-2.338650180E-1,1.999901535E0,2.718872540E0
5.160510000E-1,-6.132856523E-1,2.028918343E0,3.007094664E0
5.260330001E-1,-7.944167519E-1,2.340671416E0,3.505339125E0
5.360150000E-1,-1.060051154E0,2.665142183E0,3.719484628E0
5.459970001E-1,-1.377882335E0,2.696862159E0,3.809853053E0
5.559789999E-1,-1.619893913E0,2.595353910E0,3.792147977E0
5.659610000E-1,-1.431339481E0,2.915012419E0,3.741100615E0
5.759429999E-1,-1.687741788E0,3.159922462E0,3.946530257E0
5.859250000E-1,-1.449059907E0,3.541081401E0,3.689107173E0
5.959070001E-1,-1.179653246E0,3.874918238E0,3.220552826E0
