participant,folder,context,format,n_rows,duration_acc_s,duration_gyro_s,meta_duration_s,median_dt_acc_ms,median_dt_gyro_ms,estimated_hz_acc,estimated_hz_gyro,missing_cells,status,notes
Ana,Ana/Ana_1,normal,gait_data_csv,19378.0,192.7224157417,192.72738774176,12.73150241654366,9.94500000001608,9.94500000001608,100.55304172934973,100.55304172934973,0.0,short,['Duration 12.7s < target 180s']
Ana,Ana/Ana_2,normal,gait_data_csv,18098.0,179.991782616867,179.9917826167074,180.0143449581228,9.945999999999344,9.945999999999344,100.54293183189884,100.54293183189884,0.0,ok,[]
Ana,Ana/Crowded/Ana_crowded2,crowded,gait_data_csv,6939.0,68.9938128317,69.003757831595,69.01586937508546,9.945999999999344,9.945999999999344,100.54293183189884,100.54293183189884,4.0,short,['Duration 69.0s < target 180s']
Ana,Ana/Crowded/ana_crowded1,crowded,gait_data_csv,18099.0,179.98600555833,179.98724755824,180.021971083479,9.945000000001869,9.945000000001869,100.55304172949342,100.55304172949342,0.0,ok,[]
Asena,Asena/Asena-Gate-Recognition,normal,gait_data_csv,18034.0,180.005077366572,179.9950953666,180.5962545833318,9.982000000000824,9.982000000000824,100.1803245842434,100.1803245842434,4.0,ok,[]
Asena,Asena/Asena-Normal-2,normal,gait_data_csv,18034.0,179.999204024987,179.99920402502,180.6205078333151,9.981999999993718,9.981999999993718,100.1803245843147,100.1803245843147,0.0,ok,[]
Asena,Asena/Crowded/Asena-Crowded,crowded,gait_data_csv,17923.0,179.99814286665,179.99814286666998,180.6418030416826,10.043000000010238,10.043000000010238,99.57184108324013,99.57184108324013,0.0,ok,[]
Asena,Asena/Crowded/Asena-Crowded-2,crowded,gait_data_csv,17924.0,180.0074102833432,180.007410283333,180.5949648749665,10.043000000003133,10.043000000003133,99.57184108331057,99.57184108331057,0.0,ok,[]
Bia,Bia(need to trim)/Gait-Recognition 2026-06-06 16-24-58,normal,gait_data_csv,34221.0,342.009509941703,342.01200594168,48.17301054165,9.985000000000355,9.985000000000355,100.15022533800345,100.15022533800345,8.0,short,['Duration 48.2s < target 180s']
Bia,Bia(need to trim)/Measurement 05062026 0907 2026-06-05 10-29-52,normal,gait_data_csv,103338.0,1031.5508635000099,1031.55585449999,685.4670705833414,9.98200000003635,9.98200000003635,100.18032458388683,100.18032458388683,0.0,long,['Duration 685.5s > target 180s']
Codrin,Codrin/Gait-Recognition 2026-06-06 15-26-29,normal,gait_data_csv,18060.0,179.99995734988,179.98998934987998,180.6188992918469,9.967000000003168,9.967000000003168,100.33109260556658,100.33109260556658,4.0,ok,[]
