feature,importance,signal_group,stat_group
acc_x_mean,0.052240709183812656,Acceleration axes,Time-domain statistics
acc_x_std,0.0018137306756976657,Acceleration axes,Time-domain statistics
acc_x_median,0.04771014328527835,Acceleration axes,Time-domain statistics
acc_x_min,0.01496389507181724,Acceleration axes,Time-domain statistics
acc_x_max,0.029709021040386606,Acceleration axes,Time-domain statistics
acc_x_rms,0.012353817366550945,Acceleration axes,Time-domain statistics
acc_x_dom_freq,0.00011200060717243064,Acceleration axes,Frequency-domain statistics
acc_x_spec_entropy,0.00016048237563009695,Acceleration axes,Frequency-domain statistics
acc_x_band_0_1hz,0.00018010746082365643,Acceleration axes,Frequency-domain statistics
acc_x_band_1_3hz,0.02734589711962364,Acceleration axes,Frequency-domain statistics
acc_x_band_3_5hz,0.00031055768542043584,Acceleration axes,Frequency-domain statistics
acc_x_band_gt_5hz,0.004377910425996269,Acceleration axes,Frequency-domain statistics
acc_y_mean,0.0021490293437913866,Acceleration axes,Time-domain statistics
acc_y_std,0.0012016004967829294,Acceleration axes,Time-domain statistics
acc_y_median,0.001568733970582359,Acceleration axes,Time-domain statistics
acc_y_min,0.001072953812526601,Acceleration axes,Time-domain statistics
acc_y_max,0.00013347358735510254,Acceleration axes,Time-domain statistics
acc_y_rms,0.0002808140689323771,Acceleration axes,Time-domain statistics
acc_y_dom_freq,0.0,Acceleration axes,Frequency-domain statistics
acc_y_spec_entropy,0.00021042395062291288,Acceleration axes,Frequency-domain statistics
acc_y_band_0_1hz,0.00017058542992196585,Acceleration axes,Frequency-domain statistics
acc_y_band_1_3hz,0.0003684654196396424,Acceleration axes,Frequency-domain statistics
acc_y_band_3_5hz,0.039829183405645036,Acceleration axes,Frequency-domain statistics
acc_y_band_gt_5hz,0.00022596687584745015,Acceleration axes,Frequency-domain statistics
acc_z_mean,0.01633090789138857,Acceleration axes,Time-domain statistics
acc_z_std,0.007691071329129633,Acceleration axes,Time-domain statistics
acc_z_median,0.050443820339197656,Acceleration axes,Time-domain statistics
acc_z_min,0.007937303080859062,Acceleration axes,Time-domain statistics
acc_z_max,0.006512582520504259,Acceleration axes,Time-domain statistics
acc_z_rms,0.007698399202397621,Acceleration axes,Time-domain statistics
acc_z_dom_freq,4.9046943583127565e-05,Acceleration axes,Frequency-domain statistics
