,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50,pc_51,pc_52,pc_53,pc_54,pc_55,pc_56,pc_57,pc_58,pc_59,pc_60,pc_61,pc_62,pc_63,pc_64,pc_65,pc_66,pc_67,pc_68,pc_69,pc_70,pc_71,pc_72,pc_73,pc_74,pc_75,pc_76,pc_77,pc_78,pc_79,pc_80,pc_81,pc_82,pc_83,pc_84,pc_85,pc_86,pc_87,pc_88,pc_89,pc_90,pc_91,pc_92,pc_93,pc_94,pc_95,pc_96,pc_97,pc_98,pc_99,pc_100,pc_101
acc_x_mean,-0.06296039106647636,0.18230591549984906,0.0004000314307286347,0.03216249024922486,0.024817553391016774,-0.0794123604107069,0.04965192752645129,-0.11164400292364485,0.038256477907191375,0.06838380832244804,0.008593442297941907,0.010407943791487857,-0.006349221512070637,-0.026231933710331164,-0.018887287513205658,0.03484402227479734,-0.018424860509963652,-0.0023746533732899168,0.0892989302442983,0.0009881875450553658,0.05368347412577774,0.04383284416291125,0.03460721023539667,0.024666339782406486,0.05825413937204075,-0.008334457612144049,0.0006516937997591225,0.022123356834901464,-0.023298627675526356,0.03585672295819097,0.05047728871120486,0.015179515144411687,0.05204677375209138,-0.08627345344332997,0.0812974695896916,-0.018135429762010935,-0.04552298395926554,0.09948244295627154,-0.004633530695390512,0.010011952676404002,-0.011502828832930967,-0.005360023852019029,0.05128002263318277,-0.10766794706449859,-0.021694782264590623,-0.048777879439638974,0.07634255894595127,-0.005394694049970252,-0.12669050145065436,-0.024405770542021248,0.0037250836692761667,-0.0156588948618608,-0.09321671938385426,-0.007619368937798043,0.015584323735531853,0.07010560781918038,-0.017374975915938354,0.07936239472668805,0.09567520651888073,0.05333950189348283,-0.06781109975214221,-0.00994839957378572,-0.0016484541529785787,0.03167444932189876,0.03944398218430646,0.03509800460606644,-0.06579486014696694,0.015124242159151242,-0.13613344723347126,-0.06785223243907378,-0.03732467007693291,-0.0018266503447790401,-0.0999518399577698,-0.018787978273878864,-0.14102393197614713,0.17957433745649365,-0.15983390910458198,-0.03678943330076404,0.2234092034839682,0.12504083520364165,-0.17400042412808184,0.04895928202261356,0.0014426772546196028,-0.02085728497110209,0.0011552394771401414,-0.001401774584162965,-0.06846607877660651,-0.16494481254328272,0.4801277988144501,0.5144302043996039,0.20081489498005103,-0.020249284622765974,-0.09480178338621859,-0.0067378425796488,-0.03682990587727845,0.04197350458074651,-0.018167996777785786,-0.007699294499312676,-0.010316454697602749,-0.00738899437338529,-0.002950329195278728
acc_x_std,0.09952509132255133,0.1534874319965026,-0.030279255132251773,-0.04728943605571235,0.06124588355445519,0.024763310714806842,0.02621809934688963,-0.14091647618679912,0.04328942368017488,-0.08557145820691517,-0.010798316784223867,0.023026901952054354,-0.009199670692333036,0.026936441847757356,-0.09249014580113388,-0.09278469643630098,0.024778276794853844,-0.029477409981876767,-0.03299526263029929,-0.01827834175090427,0.03512526668447361,0.019998469567527235,0.04239933533205728,-0.07780406526870344,-0.15631505828715023,-0.08669356130382906,-0.04855704889733936,-0.04157054840529245,-0.15061831590847294,-0.0039200984309811695,-0.057315089617815604,0.00642272499577939,0.007786606924570674,0.004012210591642669,-0.07601685827039947,0.05125654276241188,-0.03035143896748382,0.012983139312831373,0.005483253230008811,-0.05076891177867132,0.014432811442384435,0.06922154751328716,0.004579144762042571,-0.07263705897935559,-0.01876958696552895,0.05182022133764126,-0.12230357298265235,0.06891910993481057,0.012142756923953436,0.011348695078860181,0.026937047004916784,-0.014342815853996629,0.06012982562163387,0.014635741815253754,0.03448636428253329,0.024949051833924554,-0.028475627380236693,-0.017949649434641973,0.025451231808319534,-0.002448616443873664,0.013907624003834442,0.03955266319208357,-0.0021825084916599876,0.014398515105007243,-0.0008533682471877444,0.009999305184009662,0.04701590213939824,0.07458158962567257,-0.018172176140703548,-0.034150502055345186,-0.0601287502821959,0.0407593270175954,-0.01190592714032188,-0.061268269935293315,0.016526521109911218,0.021195013880312558,0.0021497646400597883,-0.19540849349554057,-0.06423990818362109,-0.03919623954989797,0.10251850939925085,0.1056767676514476,-0.04068714337364707,-0.14115722486942514,-0.027014312667157744,0.3851156937497073,0.5130863909836042,-0.05502806996348947,0.07077036153723995,0.1707094011813411,-0.2885550668990616,-0.1007793614278096,0.3449877014135498,-0.007266234202942979,-0.0731638533161979,-0.07435138562871521,0.016169120993996117,0.024027517808578352,-0.009396988286247623,-0.011615280201391801,-0.009305812365315453
acc_x_median,-0.0657981572114904,0.17959287229192228,0.011290790601735887,0.015470688784395253,0.03980863101393914,-0.07869779993596032,0.05431680483894444,-0.12723587372793138,0.03619724926449483,0.06508997179416343,0.017734954832238012,0.009249942869029283,-0.0057904679510106995,-0.023784129087521047,-0.009437581701413823,0.025550885075372058,-0.01660195275680176,0.0008300769691830185,0.0815389010412186,-0.0012727683055640988,0.054937868468628956,0.04454003790036327,0.032956114446150556,0.02007683523625734,0.06207417846294723,-0.005016535618226952,-0.005792599597086401,0.02400252801699763,-0.024163965649501254,0.034830210852243255,0.05951991550576569,0.011266827263680652,0.047063532256131815,-0.06386451020825266,0.08779562785031403,-0.018768361148691647,-0.04592405123046424,0.1099095530950732,-0.01918542621815913,0.002274878061079499,-0.014018031005066513,-0.007899972629482296,0.04848883318249726,-0.11401968778886684,-0.0014008755893579654,-0.034620004776928656,0.07042781167551812,-0.003542122429326183,-0.1354619931361283,-0.026545257773177466,-0.008689648380866563,-0.0068525576544075616,-0.09212993837218451,-0.012527186832639557,0.01897330998623641,0.07418867107336775,-0.024262901201195612,0.09073103298805792,0.08488423985086448,0.06471529726131325,-0.06749773674548132,-0.02834686129959992,-0.024005562671047722,0.03018633218821007,0.0078123889864142905,0.04958912891469918,-0.07292197166950364,0.003380932274264685,-0.1918446367904559,-0.062066443100211845,-0.03246067471684676,-0.005266223494764143,-0.13525694271930067,-0.015998993548227057,-0.1732000826162456,0.21913460198643042,-0.2153952256402139,-0.0020559261412142855,0.2855587041170187,0.18805221203028832,-0.21315586417189403,0.12409308656889112,-0.06726779135150796,-0.04136025517054084,0.04419710569414383,0.03239932484489243,0.12539980296478026,0.13170597429374786,-0.4449987439641466,-0.4076311651039743,-0.11932215676555638,0.03188295179770972,0.030420868944522856,-0.01326909088462603,0.02867853742738991,-0.001936314542554999,-0.004216078858397783,0.0017383183573233029,0.004914806859060528,-0.00019782886502110828,0.0019372196794330116
acc_x_min,-0.11572370211888494,0.13324907009504292,-0.026972690455106096,0.060115209710022655,-0.043870494984521974,-0.08422103687432186,0.04399141805077325,-0.016647881404811715,0.044068296964357795,0.09862763641153788,-0.023609215993084923,-0.00848273050737857,-0.043381736552350655,-0.023104187160669233,-0.004665904382855867,0.11378168156273474,-0.07298673506541799,-0.0021097033059328976,0.1289265206628212,-0.002847190001572298,0.051626851498948925,0.05837499741718852,0.00011715665725980234,0.10426631595326234,0.14241819496801636,0.024819751394777767,0.06486963824641691,0.06825410234670998,0.04852925811159171,0.053757424182961595,0.04361868138808917,0.06246368869793578,0.05650953943062607,-0.17039762280044124,0.08093861512850017,-0.06824448281876813,0.005814476994572257,0.11183392462734923,0.061352274700966346,0.047154164480001544,-0.01034147698440024,-0.005692228923387454,0.06185197524923598,-0.14183245350487386,-0.07751977604976672,-0.12074742759694798,0.11888672787130741,-0.11327329467795492,-0.07035649183264711,-0.01070705814035931,0.026376022702387737,-0.14474269196636305,-0.07801026489830802,-0.07017041523359467,0.1146565971375166,0.11114942163002617,0.031171540309827085,0.11351654164296238,0.15300089564586516,-0.024222737617106044,0.0168002395610621,-0.14206166472374265,0.05169564059458468,0.11647243314796474,0.22806730726415178,-0.06924135520004071,-0.10689099624431753,0.16694580110086527,0.423754036170239,0.09725303697812929,0.04564520938621787,0.149046889366805,0.2300424503657018,-0.0933709221619598,0.3318972812572536,-0.20221558931588404,-0.1083408284523925,-0.021872474076169338,-0.1268806794635128,-0.07559566466414253,0.04731411909567764,0.04405351516081322,0.006387052711162481,-0.036424432606305894,-0.012864956197218938,0.08112218797689816,0.06224323465609802,0.014733104246711839,-0.03065040757769577,-0.026866829504588366,-0.01403258768539966,0.008476121466661341,-0.003519382212447915,-6.536533348565246e-05,0.003713709386764288,0.0028805559972097366,0.0007054505616402836,0.0006726474692602214,0.0024428124802580746,-0.0006703152155299883,8.033907883281985e-05
acc_x_max,0.00864183328562177,0.1966556492381536,-0.044520522976403416,0.025444459005519005,0.006764446433145388,-0.06777263253077193,0.04856442392015738,-0.09805191939382885,0.02515052492902578,0.03778486100488804,-0.00019291757021670797,0.027451705762718145,-0.021431352898744725,-0.01504717104871503,-0.01785704837702623,0.032907834966063004,-0.01339067112835278,-0.00321069599429198,0.05942929285421028,-0.031071028067997417,0.04343673643594706,0.04823345235836285,0.02099691978296951,0.013534530829364816,0.004356133607513468,-0.03374349143473328,0.008747432003165356,0.006616392378341135,-0.04055305841335903,0.01857450204746794,0.008156498834499482,0.016246589497634703,0.023738983869324853,-0.0961564240979462,-0.015578545292860596,-0.005409860944160259,-0.03454453999919005,0.06545895245426667,0.038449522539278295,-0.043361889074302176,0.021530553992863143,0.02208920400752107,0.06817127861569784,-0.058304379403235684,0.03436844804353142,-0.029983011936774863,-0.021538390644577896,0.037290662574678675,-0.10806229692252516,0.0013622831614968113,0.014333933498040966,-0.019841727166202763,-0.0735330932653395,-0.031108748872899567,-0.06845106485488721,0.020853818742347506,-0.052866817212438584,0.1086495087100095,0.096722700112577,-0.05110553407121062,-0.043775204211836345,0.01686393527100271,0.009516315206912304,0.08350289180662529,0.10621319434480969,0.02089398413207209,-0.07006847257874964,0.0007578434077243027,0.09726580295684507,-0.1081103696855092,-0.09062559114518391,-0.1107719818179675,-0.13874913306435038,-0.004507934317526392,-0.1977379708108143,0.008112973464084468,0.6410993921734528,-0.16762956546169155,-0.02557600307493999,0.07677922687266053,0.2317109119812143,-0.1818879284810095,0.016731765809415277,0.41004383999628363,-0.016338569249962413,0.005865795267744323,-0.09521953668739135,0.017225430769335276,-0.05593898112777193,-0.020957027259326716,-0.032262115903741735,0.007609511953590952,0.02312440976824399,0.0021284270784817727,-0.009633436098816478,0.0025174211594509253,-0.0025547521312128474,0.0030041108627705884,-0.0008432461260693466,-0.001013248339960717,0.00015357324375044133
acc_x_rms,0.046232457709419285,0.18004543033155024,0.04247581489536151,-0.012926658931370905,0.11088345940288197,-0.07197270993285558,0.04877139237537001,-0.1686861586966084,0.004792029229206379,-0.03749879279607557,-0.026042022956206338,-0.003474204940593275,0.004391530678008352,0.019316855325451833,0.002143456346507703,-0.0339441570109972,-0.007547238161160336,-0.03781895022127899,-0.020592639700369092,-0.061364636399946146,0.019722393852165357,0.03478521350881213,0.029009105203993524,-0.03174911729908773,-0.07145239124098651,-0.04799935109376359,-0.009793210246150721,-0.004810036746364946,-0.08503825012447641,-0.005107264274387596,-0.01796369200566965,0.023016333158763842,-0.020970590490877572,0.021590506459661846,0.0019152596807988365,-0.0006138603653395719,-0.030028972524341037,0.03723051758680035,0.032533659209265195,-0.02754441186051219,0.039486268043239126,-0.021552025384398713,0.04652981648381848,-0.042188316076609805,0.037904862188076954,-0.009676288416042067,0.0415645934471025,0.050830834109180864,-0.08286032225191575,0.03313461384683633,0.08316237843888415,-0.04611944782482327,0.037908455933902754,0.040704226289203733,-0.004690436564774454,0.10780292180247929,-0.027001467864451446,0.019597624476966977,0.03877002394797531,0.08211042460773443,-0.011984563948019797,0.04660656925347103,-0.02722976069823072,-0.1903865290227908,-0.02639161252092228,0.03040282119889931,-0.05987182077840354,-0.04375246198244911,-0.14210717966556669,0.07802450987738407,-0.11699215384635325,-0.017233281244943822,-0.18600850225504892,-0.041364460955604185,0.06764137035959016,-0.05053675927048761,-0.08368971098460654,0.09698845948417334,-0.2942430495727528,-0.29245387856041977,0.11098041819951454,-0.2042437319422584,0.07143783859708332,-0.03201690126760691,-0.033492687656074514,-0.1566646868227429,0.3565410421415112,0.1488048147702448,-0.07966979761990206,0.013846089402804532,0.2754711782815223,0.132353974287404,-0.37173438743996945,-0.05476792886469465,0.03220484960942904,0.1611491731642384,-0.07359363527129309,-0.017595542473218734,0.01800946606042498,-0.02591420522914815,0.014547741229283737
acc_x_dom_freq,0.037513247527463434,-0.03982517839575161,-0.04328834302926508,-0.0008123433257401502,0.05854367236206515,-0.0006283473342149071,0.04306159640749817,-2.9737201324736562e-05,-0.074015645151505,-0.16623015841256372,0.21032754032286,-0.06907413367190131,-0.1240443732122215,0.5796984467647445,-0.12395548731033246,0.004996212613610274,0.3203820305447643,0.33927357323299256,0.12000994739915755,-0.31608825124157297,-0.09780418269368307,0.24517920180404007,-0.03276451211207339,0.15953498946655492,0.14976242054919836,-0.03603315830005463,0.1312942262427981,0.13705244285242363,-0.02828548761106637,-0.06366722178506598,-0.0532794368492278,-0.1350927572317943,0.09983642781062338,0.007833233306408935,0.002482906697032966,0.06949351293455001,-0.0221647614037902,0.0311413494954684,-0.015853182538106178,0.024662734865864285,-0.014741311099706098,0.012648749905171236,-0.04028375305956729,-0.011090587706720084,-0.0041682922889070065,0.01898306243718846,0.0051536797247566934,-0.05653293499716978,0.0017263329561847396,0.017318874746404724,0.018199074876787423,0.00020232598566992735,0.015491378362890676,-0.000982993487205314,0.001487912600131907,0.004895222353514098,-0.0036413124367913087,0.0053272522008850215,-0.003720678733061117,-0.014354794842388191,0.03617978859493434,-0.004095623944995733,-0.00543557203342577,-0.01049838092204365,0.006410772631179926,-0.007670317391922012,-0.01304412398755939,-0.0047733523854550045,-0.018571188932727294,0.002911006635953988,-0.00040980324455351137,0.0032656260737805734,0.01030035199570055,-0.003511742486233669,-0.0013334089543624097,0.014569416176493724,0.0028392390327311914,0.0006188229855408859,0.0067260949934595336,0.0037575468427374333,-0.011439463962003741,-0.010599545934787711,-0.007825459528480343,0.003509130030352563,-0.00214088758423317,-0.00031016179385321405,-0.00022388278640354115,-0.0008513213142637699,0.0020492563012489556,0.003401984265816352,0.0023665252051754404,0.0016626123822973144,-0.0009082529369875865,-0.0011170038118309107,-0.00026019224817025975,0.000625817535986407,-0.0006445748408707101,0.00021003581233025289,0.0003308685018934749,-0.00017501772219850908,-8.485461041495641e-05
acc_x_spec_entropy,0.05176515080388787,-0.008302302719220793,0.01921789166138041,-0.04282777910143187,0.11618681209529269,0.009052280568483728,-0.03352983536336654,-0.011846113680103798,-0.04272238875837965,-0.11865296110650692,0.017418401935501246,0.14946624527666053,0.10086342432314152,0.19138104481250168,0.5381243075768432,0.535789430482177,0.22088199005170667,-0.16296846884637586,0.08004156784412991,0.18014249502904264,0.04250476694753377,0.07516535266190225,0.341538925127153,-0.13799495965807146,-0.08412797365068964,-0.0031995455908701304,-0.02644120226614922,-0.024174505776096436,-0.04342716555885205,0.04924023701114391,0.04481389479924877,-0.02676180676771669,0.053873169201519265,-0.08377522193065953,-0.07482254245190217,0.11320388053128749,-0.004584709867190631,0.014021089599961581,0.028896494827346506,0.053803331975293696,-0.04292382085039885,-0.03352870525642594,0.026744014847340576,0.014905560591803424,-0.03132183933015309,0.025571875230962188,-0.03560512974164226,-0.01644732355142581,0.041458857430319296,-0.03029077264035352,-0.008451330938969388,0.006841892126152594,0.009009385369134842,-0.015544463990546546,0.006568128895825382,-0.017697728578021127,-0.006548653194925671,-0.017678016627913004,-0.012221722170078844,0.012860804407646524,0.007409343219980949,-0.006390357582558761,0.021559574174279186,0.024512730950829557,0.011585893035856741,-0.004655273030476182,0.011753129250751143,0.010254839816912078,0.0024247373180188853,-0.0006486686313967489,0.006629651242308562,-0.0025969343377148842,0.004505145666813398,-0.00020373457676017056,0.00938762441435801,0.006025888345952881,-0.00617103019549704,-0.007494992790264481,0.00031554610137966496,0.0029701296997448846,0.0008488417035324943,-0.0010889785381446781,-0.0022558484981336177,-0.007386703624851237,-0.003197030298792046,0.004773558087191964,0.004010241794368881,0.0018285610942965942,-4.042106653374955e-05,0.00012604819267476863,0.0006095304851349362,0.000743442570107544,0.0015283079699050031,0.0002855204274299376,0.0003401691790809163,-1.427356583523151e-06,0.0007361826274038061,-0.0002064503082185238,1.4818469120291e-05,-0.000587509838449404,-3.1729604914993294e-05
acc_x_band_0_1hz,0.06307764293884124,0.01873495336299258,0.023025563739001442,-0.024308754778399416,0.034262762092963306,0.019302173074218623,0.11203218580114922,0.18984115166884585,0.17717105946416178,-0.006992305679783206,-0.08709374015137526,-0.1754916356423029,0.12254412532379837,-0.35306482439649933,0.1975824551594329,-0.1287930816268856,0.09036659457959507,0.058980075482530626,0.4162125075411029,-0.2256915183280471,0.30680487309762317,0.3320586074096513,0.12020444021491644,0.08147320578072118,0.08447700980824538,-0.12519093870362916,-0.06774547462985842,-0.00040778954996630035,-0.08466707018080408,-0.16445685287999473,-0.10693604219883365,-0.056195758967403045,-0.023839407344954974,0.09716328828872654,-0.08097699376329444,0.03609329033462148,0.15090955145926174,-0.1857901171582838,-0.038836381091336476,-0.03385097555837035,0.17710910793086976,0.051186577162845255,-0.0231377411407806,0.061044924182562396,-0.03329861402389474,0.08287317852582904,0.037193767505130225,-0.006327756315031627,-0.027141862913493436,-0.007982283301234988,-0.008661349212543523,0.002498114040236657,0.0014793549453656074,-0.0410007853071049,0.04870466247715008,-0.0482884736944674,0.025294658790191347,-0.0023305743567939158,-0.04181212179913253,0.04471974014104127,0.001001747786555568,0.00919869916337679,0.04760532303166192,0.007736837991255702,0.007273153103719492,-0.01317705158288308,0.023770840579470605,0.015667227475015144,-0.012186890560558702,0.0031915577666698294,0.011068846728062631,0.004732142010920976,0.0031187994112733958,0.013011284698585434,0.008775493042684289,0.006940068127976616,-0.010426187829331086,-0.010793312265363793,-0.005058779137844079,0.003592637604825543,-0.0023181054056979136,-0.002787854934727348,-0.0027856657757939205,-0.0007650339932162225,0.003459061501039298,0.004454678901339166,-0.010010293175837447,0.0008787019194728164,-0.007119358996187708,-0.00013533647569756446,0.004627734858826671,-0.0010483949885578296,-0.010295513680414072,-0.0008067522143369941,0.0005897742375523141,0.0009677739417413653,0.0025086712627837913,-0.0017971143296677521,0.0004025188029471,9.60456075430609e-05,0.0003322525072081438
acc_x_band_1_3hz,0.030156302544879977,0.17563442381420324,0.05837565424064117,-0.04985591834958607,0.07438510392248102,0.08742371857903863,-0.004401316042027384,-0.08317804557686265,0.002783282354649849,-0.020434085605262275,0.04766091286253891,-0.014327985697819186,-0.06389391749195866,0.02517666598664102,-0.10787681486788728,-0.04189997588505269,-0.06333422642762747,-0.10879152198291696,-0.013258437864154544,0.07066692919125207,-0.04542516397056283,0.0970722161740917,0.09586858331081848,-0.06022314641292475,-0.0662544486771189,0.010800051088415372,-0.04767582192968892,0.01784272040674357,-0.06554508894491683,-0.07114879523094514,-0.056891553999710125,0.025014738918842306,0.06338630774052116,0.10240072703651024,0.044190819155710034,-0.02917883418238805,0.12933106500670016,-0.03340835116971902,-0.07725244165172451,-0.027353018054429478,-0.08672683590628352,0.16894166568765562,-0.027431465146489246,-0.2261268348083984,-0.03556203436542332,0.040129282441143777,-0.053225250770534464,-0.15000188148748103,0.19506061734851746,-0.03593115992962859,-0.050285386975506136,0.09387295757306077,0.01582934115971575,0.10963036935428135,0.35938632190262376,0.3736588079439271,-0.2703364594872471,-0.07429030464045178,-0.2893712605215473,-0.024473311536991192,0.21080450385771893,0.0834076099960168,0.15459254273509168,-0.001258872214942447,0.06311312326681624,-0.058179993667289556,0.11695564287837032,0.05997274710379924,0.044377812745840226,-0.00725134940103634,0.022988647422751522,-0.0038818726629212185,0.045602027740676766,-0.01830601883738843,0.005685269788483216,0.018628659380295606,0.058169613512390424,-0.1325587748339085,0.10942338208705599,0.03221715006876855,0.025048940740338387,-0.02317485754185245,-0.059600087617803284,-0.06657017631834208,-0.008141100243408491,-0.08766610911387282,-0.1609380738533846,-0.014767610767291259,-0.019150579563447297,-0.05301693415691272,0.06363344771463746,0.02284615338536126,-0.10627293693883591,-0.01406029975194627,0.028897435479571854,0.020410776177621055,-0.003586983829691626,-0.007940549338671266,2.189024017412288e-06,0.006269661040343658,0.002175996941912117
