feature,feature_label,pc_1_loading,pc_1_loading_abs,pc_2_loading,pc_2_loading_abs
acc_magnitude_rms,Acceleration magnitude (RMS),0.17992519665911821,0.17992519665911821,0.004893720975120314,0.004893720975120314
acc_magnitude_std,Acceleration magnitude (standard deviation),0.17769871804148063,0.17769871804148063,0.009043247054389634,0.009043247054389634
acc_y_std,Vertical acceleration (standard deviation),0.1745787574975808,0.1745787574975808,-0.025388218114446404,0.025388218114446404
gyro_magnitude_mean,Gyroscope magnitude (mean),0.17047714506812237,0.17047714506812237,0.07323782827870347,0.07323782827870347
gyro_magnitude_median,Gyroscope magnitude (median),0.17034055321327016,0.17034055321327016,0.04226832226226847,0.04226832226226847
gyro_magnitude_rms,Gyroscope magnitude (RMS),0.1687264899870567,0.1687264899870567,0.08120510132915114,0.08120510132915114
gyro_x_rms,Roll rate (RMS),0.16823129013964266,0.16823129013964266,-0.06556420401575329,0.06556420401575329
gyro_x_std,Roll rate (standard deviation),0.16785765058647964,0.16785765058647964,-0.06440887104632725,0.06440887104632725
acc_x_median,Lateral acceleration (median),-0.0657981572114904,0.0657981572114904,0.17959287229192228,0.17959287229192228
acc_x_mean,Lateral acceleration (mean),-0.06296039106647636,0.06296039106647636,0.18230591549984906,0.18230591549984906
acc_x_rms,Lateral acceleration (RMS),0.046232457709419285,0.046232457709419285,0.18004543033155024,0.18004543033155024
gyro_z_rms,Yaw rate (RMS),0.011132759279384119,0.011132759279384119,0.196889047558403,0.196889047558403
gyro_z_std,Yaw rate (standard deviation),0.010007942389116826,0.010007942389116826,0.19710046593298647,0.19710046593298647
acc_x_max,Lateral acceleration (maximum),0.00864183328562177,0.00864183328562177,0.1966556492381536,0.1966556492381536
gyro_z_min,Yaw rate (minimum),-0.0057768101467289045,0.0057768101467289045,-0.19391156869784257,0.19391156869784257
gyro_z_band_1_3hz,Yaw rate (band power 1-3 Hz),-0.002202546241251981,0.002202546241251981,0.19122294835931455,0.19122294835931455
