C,participant,context,session,axis,n_outliers,pct_outliers
1.5,Ana,crowded,session_1,acc_x,0,0.0
1.5,Ana,crowded,session_1,acc_y,81,0.44753853804077576
1.5,Ana,crowded,session_1,acc_z,48,0.26520802254268194
1.5,Ana,crowded,session_1,gyro_x,0,0.0
1.5,Ana,crowded,session_1,gyro_y,0,0.0
1.5,Ana,crowded,session_1,gyro_z,3,0.01657550140891762
1.5,Ana,crowded,session_2,acc_x,28,0.1701403658017865
1.5,Ana,crowded,session_2,acc_y,68,0.41319803123291
1.5,Ana,crowded,session_2,acc_z,93,0.5651090721273622
1.5,Ana,crowded,session_2,gyro_x,0,0.0
1.5,Ana,crowded,session_2,gyro_y,5,0.03038220817889044
1.5,Ana,crowded,session_2,gyro_z,35,0.21267545725223308
1.5,Asena,crowded,session_1,acc_x,14,0.07811192322713831
1.5,Asena,crowded,session_1,acc_y,35,0.19527980806784578
1.5,Asena,crowded,session_1,acc_z,93,0.5188863471517046
1.5,Asena,crowded,session_1,gyro_x,0,0.0
1.5,Asena,crowded,session_1,gyro_y,8,0.04463538470122189
1.5,Asena,crowded,session_1,gyro_z,0,0.0
1.5,Asena,crowded,session_2,acc_x,27,0.15063601874581567
1.5,Asena,crowded,session_2,acc_y,55,0.3068511492970319
1.5,Asena,crowded,session_2,acc_z,53,0.29569292568623073
1.5,Asena,crowded,session_2,gyro_x,0,0.0
1.5,Asena,crowded,session_2,gyro_y,22,0.12274045971881277
1.5,Asena,crowded,session_2,gyro_z,2,0.01115822361080116
1.5,Darius,crowded,session_1,acc_x,60,0.3435639028859368
1.5,Darius,crowded,session_1,acc_y,137,0.7844709115895556
1.5,Darius,crowded,session_1,acc_z,88,0.5038937242327073
1.5,Darius,crowded,session_1,gyro_x,0,0.0
1.5,Darius,crowded,session_1,gyro_y,28,0.1603298213467705
1.5,Darius,crowded,session_1,gyro_z,0,0.0
1.5,Darius,crowded,session_2,acc_x,61,0.3408011620760936
1.5,Darius,crowded,session_2,acc_y,138,0.7709927928934578
1.5,Darius,crowded,session_2,acc_z,87,0.48606067378065815
1.5,Darius,crowded,session_2,gyro_x,0,0.0
1.5,Darius,crowded,session_2,gyro_y,28,0.15643332029722332
1.5,Darius,crowded,session_2,gyro_z,0,0.0
