participant,context,session,source,n_rows,n_changed_rows,pct_changed_rows
Ana,crowded,session_1,Ana/Crowded/AnaCrowded1,18099,272,1.5028454610751976
Ana,crowded,session_2,Ana/Crowded/AnaCrowded3,16457,268,1.6284863583885276
Asena,crowded,session_1,Asena/Crowded/AsenaCrowded1,17923,212,1.1828376945823802
Asena,crowded,session_2,Asena/Crowded/AsenaCrowded2,17924,199,1.1102432492747154
Asena,normal,session_1,Asena/AsenaUni1,18033,348,1.9297953751455665
Asena,normal,session_2,Asena/AsenaUni3,18033,337,1.8687960960461376
Asena,normal,session_3,Asena/AsenaUni2,18033,246,1.36416569622359
Darius,crowded,session_1,Darius/Crowded/DariusCrowded1,17464,462,2.6454420522217132
Darius,crowded,session_2,Darius/Crowded/DariusCrowded2,17899,542,3.028102128610537
Darius,normal,session_1,Darius/DariusUni1,18034,282,1.5637129865809027
Darius,normal,session_2,Darius/DariusUni2,18033,320,1.7745244828924749
Darius,normal,session_3,Darius/DariusUni3,18033,296,1.6414351466755392
Jun,crowded,session_1,Jun/Crowded/JunCrowded1,18034,491,2.722635022734834
Jun,crowded,session_2,Jun/Crowded/JunCrowded2,18033,496,2.750512948483336
Jun,normal,session_1,Jun/JunUni3,18034,374,2.0738604857491403
Jun,normal,session_2,Jun/JunUni2,18036,437,2.422931913949878
Jun,normal,session_3,Jun/JunUni1,18039,413,2.2894838960031043
Oana,crowded,session_1,Oana/Crowded/OanaCrowded1,18072,631,3.491589198760513
Oana,crowded,session_2,Oana/Crowded/OanaCrowded2,18071,457,2.528913729179348
Oana,normal,session_1,Oana/OanaUni1,18033,234,1.2976210281151221
Oana,normal,session_2,Oana/OanaUni2,18039,232,1.2861023338322524
Oana,normal,session_3,Oana/OanaUni3,18032,249,1.3808784383318544
Pedro,crowded,session_1,Pedro/Crowded/PedroCrowded1,17901,372,2.078096195743255
Pedro,crowded,session_2,Pedro/Crowded/PedroCrowded3,17900,349,1.9497206703910615
Pedro,normal,session_1,Pedro/PedroUni1,18033,238,1.3198025841512782
Pedro,normal,session_2,Pedro/PedroUni2,18034,234,1.2975490739713875
Pedro,normal,session_3,Pedro/PedroUni3,18034,181,1.003659753798381
