threshold,participant,context,session,n_outliers,pct_outliers
1.2,Ana,crowded,session_1,2076,11.470246974970992
1.2,Ana,crowded,session_2,2087,12.68153369386887
1.2,Asena,crowded,session_1,2000,11.158846175305474
1.2,Asena,crowded,session_2,1922,10.723052889979915
1.2,Asena,normal,session_1,2248,12.466034492319636
1.2,Asena,normal,session_2,2267,12.571396883491376
1.2,Asena,normal,session_3,2014,11.168413464204514
1.2,Darius,crowded,session_1,2682,15.357306459001375
1.2,Darius,crowded,session_2,2877,16.073523660539696
1.2,Darius,normal,session_1,2054,11.389597427082178
1.2,Darius,normal,session_2,2178,12.077857261686907
1.2,Darius,normal,session_3,2090,11.589863028891477
1.2,Jun,crowded,session_1,2488,13.796162803593212
1.2,Jun,crowded,session_2,2594,14.384739089447125
1.2,Jun,normal,session_1,2235,12.393257180880559
1.2,Jun,normal,session_2,2302,12.76336216455977
1.2,Jun,normal,session_3,2078,11.519485559066467
1.2,Oana,crowded,session_1,3132,17.330677290836654
1.2,Oana,crowded,session_2,2604,14.409827901056943
1.2,Oana,normal,session_1,1903,10.552875284201187
1.2,Oana,normal,session_2,1955,10.837629580353678
1.2,Oana,normal,session_3,2114,11.72360248447205
1.2,Pedro,crowded,session_1,2429,13.569074353388078
1.2,Pedro,crowded,session_2,2222,12.41340782122905
1.2,Pedro,normal,session_1,1977,10.963234070870072
1.2,Pedro,normal,session_2,1993,11.051347454807585
1.2,Pedro,normal,session_3,1984,11.001441721193302
1.5,Ana,crowded,session_1,272,1.5028454610751976
1.5,Ana,crowded,session_2,268,1.6284863583885276
1.5,Asena,crowded,session_1,212,1.1828376945823802
1.5,Asena,crowded,session_2,199,1.1102432492747154
1.5,Asena,normal,session_1,348,1.9297953751455665
1.5,Asena,normal,session_2,337,1.8687960960461376
1.5,Asena,normal,session_3,246,1.3641656962235902
1.5,Darius,crowded,session_1,462,2.6454420522217132
1.5,Darius,crowded,session_2,542,3.028102128610537
1.5,Darius,normal,session_1,282,1.5637129865809027
1.5,Darius,normal,session_2,320,1.7745244828924749
1.5,Darius,normal,session_3,296,1.6414351466755392
1.5,Jun,crowded,session_1,491,2.7226350227348344
1.5,Jun,crowded,session_2,496,2.750512948483336
1.5,Jun,normal,session_1,374,2.0738604857491407
1.5,Jun,normal,session_2,437,2.422931913949878
1.5,Jun,normal,session_3,413,2.2894838960031043
1.5,Oana,crowded,session_1,631,3.4915891987605137
1.5,Oana,crowded,session_2,457,2.528913729179348
1.5,Oana,normal,session_1,234,1.2976210281151224
1.5,Oana,normal,session_2,232,1.2861023338322524
1.5,Oana,normal,session_3,249,1.3808784383318544
1.5,Pedro,crowded,session_1,372,2.0780961957432544
1.5,Pedro,crowded,session_2,349,1.9497206703910615
1.5,Pedro,normal,session_1,238,1.3198025841512782
1.5,Pedro,normal,session_2,234,1.2975490739713873
1.5,Pedro,normal,session_3,181,1.003659753798381
2.0,Ana,crowded,session_1,18,0.09945300845350571
2.0,Ana,crowded,session_2,32,0.19444613234489883
2.0,Asena,crowded,session_1,11,0.061373653964180104
2.0,Asena,crowded,session_2,17,0.09484490069180987
2.0,Asena,normal,session_1,49,0.2717240614429102
2.0,Asena,normal,session_2,33,0.18299783729828648
2.0,Asena,normal,session_3,17,0.09427161315366273
2.0,Darius,crowded,session_1,79,0.45235913879981676
2.0,Darius,crowded,session_2,92,0.5139951952623052
2.0,Darius,normal,session_1,27,0.1497172008428524
2.0,Darius,normal,session_2,43,0.23845172738867632
2.0,Darius,normal,session_3,26,0.1441801142350136
2.0,Jun,crowded,session_1,70,0.38815570588887655
2.0,Jun,crowded,session_2,86,0.47690345477735263
2.0,Jun,normal,session_1,58,0.32161472773649774
2.0,Jun,normal,session_2,79,0.43801286316256377
2.0,Jun,normal,session_3,75,0.41576584067852984
2.0,Oana,crowded,session_1,115,0.6363435148295706
2.0,Oana,crowded,session_2,53,0.29328758784793313
2.0,Oana,normal,session_1,10,0.05545389009038984
2.0,Oana,normal,session_2,26,0.14413215810189034
2.0,Oana,normal,session_3,15,0.08318544809228039
2.0,Pedro,crowded,session_1,43,0.24021004413161276
2.0,Pedro,crowded,session_2,51,0.2849162011173184
2.0,Pedro,normal,session_1,22,0.12199855819885765
2.0,Pedro,normal,session_2,24,0.1330819563047577
2.0,Pedro,normal,session_3,7,0.038815570588887655
